s5.4	""
s4.2	"linked data"
s4.2	"linked data"	rdf:subject	"data"
s4.2	"linked data"	rdf:predicate	"link"
s4.1	"existing linked data"
s4.1	"existing linked data"	rdf:subject	"link data"
s4.1	"link data"	rdfs:subClassOf	"data"
s4.1	"link data"	rdfs:member	"link"
s4.1	"existing linked data"	rdf:predicate	"exist"
s4	"the choice depends upon the application to which existing linked data will be put"
s4	"the choice depends upon the application to which existing linked data will be put"	rdf:subject	"choice"
s4	"the choice depends upon the application to which existing linked data will be put"	rdf:predicate	"depend"
s4	"the choice depends upon the application to which existing linked data will be put"	rdf:object	"upon the application to which exist link data will be put"
s4	"upon the application to which exist link data will be put"	rdfs:member	"application"
s4	"upon the application to which exist link data will be put"	rdfs:member	"link data"
s4	"link data"	rdfs:subClassOf	"data"
s4	"link data"	rdfs:member	"link"
s4	"will put"	rdfs:subClassOf	"put"
s4	"exist to application"	rdfs:member	"exist"
s4	"exist to application"	rdfs:member	"application"
s4	"will put upon application"	rdfs:member	"will put"
s4	"will put upon application"	rdfs:member	"application"
s3	"they have chemical structure"
s3	"they have chemical structure"	rdf:subject	"they"
s3	"they have chemical structure"	rdf:predicate	"have"
s3	"they have chemical structure"	rdf:object	"chemical structure"
s3	"chemical structure"	rdfs:subClassOf	"structure"
s3	"chemical structure"	rdfs:member	"chemical"
s2	"they have some other criteria"
s2	"they have some other criteria"	rdf:subject	"they"
s2	"they have some other criteria"	rdf:predicate	"have"
s2	"they have some other criteria"	rdf:object	"criterion"
s1	"they have the same drug name"
s1	"they have the same drug name"	rdf:subject	"they"
s1	"they have the same drug name"	rdf:predicate	"have"
s1	"they have the same drug name"	rdf:object	"drug name"
s1	"drug name"	rdfs:member	"drug"
s1	"drug name"	rdfs:subClassOf	"name"
