0	"new google news"	rdfs:subClassOf	"google news"
0	"structurally summarize"	rdfs:subClassOf	"summarize"
0	"asked questions"	rdfs:subClassOf	"questions"
0	"frequently asked"	rdfs:subClassOf	"asked"
0	"new google news"	rdfs:subClassOf	"google news"
0	"launch of new google news"	local:of_newGoogleNews	"launch"
0	"launch of new google news"	local:launch_of	"new google news"
0	"launch of new google news in 2018"	local:in_2018	"launch of new google news"
0	"launch of new google news in 2018"	local:launchofnewGoogleNews_in	"2018"
0	"news story in launch of new google news in 2018"	local:in_launchofnewGoogleNewsin2018	"news story"
0	"news story in launch of new google news in 2018"	local:newsstory_in	"launch of new google news in 2018"
0	"launch of new google news in 2018 of new google news"	local:of_newGoogleNews	"launch of new google news in 2018"
0	"launch of new google news in 2018 of new google news"	local:launchofnewGoogleNewsin2018_of	"new google news"
0	"structurally summarize in 2018 full coverage page"	local:in_2018fullcoveragepage	"structurally summarize"
0	"structurally summarize in 2018 full coverage page"	local:structurallysummarize_in	"2018 full coverage page"
1	"news summarization"	local:partOf	"news summarization techniques"
1	"new feature"	rdfs:subClassOf	"feature"
1	"new"	local:partOf	"new feature"
1	"summarization techniques"	rdfs:subClassOf	"techniques"
1	"new line"	rdfs:subClassOf	"line"
1	"research topic"	rdfs:subClassOf	"topic"
1	"summarization"	local:partOf	"summarization techniques"
1	"news"	local:partOf	"news summarization"
1	"news summarization techniques"	rdfs:subClassOf	"techniques"
1	"research"	local:partOf	"research topic"
1	"news summarization"	rdfs:subClassOf	"summarization"
1	"new"	local:partOf	"new line"
1	"news summarization techniques"	rdfs:subClassOf	"summarization techniques"
1	"has research topic"	rdfs:subClassOf	"research topic"
1	"has research topic for decades"	local:for_decades	"has research topic"
1	"has research topic for decades"	local:hasresearchtopic_for	"decades"
1	"usher in new line"	local:in_newline	"usher"
1	"usher in new line"	local:usher_in	"new line"
1	"new line of news summarization techniques"	local:of_newssummarizationtechniques	"new line"
1	"new line of news summarization techniques"	local:newline_of	"news summarization techniques"
2	"news story"	rdfs:subClassOf	"story"
2	"fundamental approaches"	rdfs:subClassOf	"approaches"
2	"fundamental"	local:partOf	"fundamental approaches"
2	"news"	local:partOf	"news story"
2	"two fundamental approaches"	rdfs:subClassOf	"fundamental approaches"
2	"associated with news story"	local:with_newsstory	"associated"
2	"associated with news story"	local:associated_with	"news story"
3	"news story"	rdfs:subClassOf	"story"
3	"fundamental approaches"	rdfs:subClassOf	"approaches"
3	"fundamental"	local:partOf	"fundamental approaches"
3	"news"	local:partOf	"news story"
3	"directly content"	rdfs:subClassOf	"content"
3	"two fundamental approaches"	rdfs:subClassOf	"fundamental approaches"
3	"questions from directly content"	local:from_directlycontent	"questions"
3	"questions from directly content"	local:questions_from	"directly content"
3	"directly content of news story"	local:of_newsstory	"directly content"
3	"directly content of news story"	local:directlycontent_of	"news story"
4	"interesting"	local:partOf	"interesting aspects"
4	"news"	local:partOf	"news articles"
4	"news articles"	rdfs:subClassOf	"articles"
4	"first"	local:partOf	"first study"
4	"news story"	rdfs:subClassOf	"story"
4	"news"	local:partOf	"news story"
4	"interesting aspects"	rdfs:subClassOf	"aspects"
4	"question pairs"	rdfs:subClassOf	"pairs"
4	"question"	local:partOf	"question pairs"
4	"first study"	rdfs:subClassOf	"study"
4	"structured summary"	rdfs:subClassOf	"summary"
4	"structured"	local:partOf	"structured summary"
4	"based approach"	rdfs:subClassOf	"approach"
4	"our knowledge"	rdfs:subClassOf	"knowledge"
4	"first study to best"	local:to_best	"first study"
4	"first study to best"	local:firststudy_to	"best"
4	"best of our knowledge"	local:of_ourknowledge	"best"
4	"best of our knowledge"	local:best_of	"our knowledge"
4	"first study to best of based approach"	local:of_basedapproach	"first study to best"
4	"first study to best of based approach"	local:firststudytobest_of	"based approach"
4	"structured summary of news articles"	local:of_newsarticles	"structured summary"
4	"structured summary of news articles"	local:structuredsummary_of	"news articles"
4	"news articles with question pairs"	local:with_questionpairs	"news articles"
4	"news articles with question pairs"	local:newsarticles_with	"question pairs"
4	"interesting aspects of news story"	local:of_newsstory	"interesting aspects"
4	"interesting aspects of news story"	local:interestingaspects_of	"news story"
5	"salient aspects"	rdfs:subClassOf	"aspects"
5	"news"	local:partOf	"news articles"
5	"news articles"	rdfs:subClassOf	"articles"
5	"first"	local:partOf	"first study"
5	"news story"	rdfs:subClassOf	"story"
5	"news"	local:partOf	"news story"
5	"salient"	local:partOf	"salient aspects"
5	"question pairs"	rdfs:subClassOf	"pairs"
5	"question"	local:partOf	"question pairs"
5	"first study"	rdfs:subClassOf	"study"
5	"structured summary"	rdfs:subClassOf	"summary"
5	"structured"	local:partOf	"structured summary"
5	"based approach"	rdfs:subClassOf	"approach"
5	"our knowledge"	rdfs:subClassOf	"knowledge"
5	"first study to best"	local:to_best	"first study"
5	"first study to best"	local:firststudy_to	"best"
5	"best of our knowledge"	local:of_ourknowledge	"best"
5	"best of our knowledge"	local:best_of	"our knowledge"
5	"first study to best of based approach"	local:of_basedapproach	"first study to best"
5	"first study to best of based approach"	local:firststudytobest_of	"based approach"
5	"structured summary of news articles"	local:of_newsarticles	"structured summary"
5	"structured summary of news articles"	local:structuredsummary_of	"news articles"
5	"news articles with question pairs"	local:with_questionpairs	"news articles"
5	"news articles with question pairs"	local:newsarticles_with	"question pairs"
5	"salient aspects of news story"	local:of_newsstory	"salient aspects"
5	"salient aspects of news story"	local:salientaspects_of	"news story"
6	"interesting"	local:partOf	"interesting aspects"
6	"news"	local:partOf	"news articles"
6	"news articles"	rdfs:subClassOf	"articles"
6	"answer"	local:partOf	"answer pairs"
6	"first"	local:partOf	"first study"
6	"news story"	rdfs:subClassOf	"story"
6	"news"	local:partOf	"news story"
6	"answer pairs"	rdfs:subClassOf	"pairs"
6	"interesting aspects"	rdfs:subClassOf	"aspects"
6	"first study"	rdfs:subClassOf	"study"
6	"structured summary"	rdfs:subClassOf	"summary"
6	"structured"	local:partOf	"structured summary"
6	"based approach"	rdfs:subClassOf	"approach"
6	"our knowledge"	rdfs:subClassOf	"knowledge"
6	"first study to best"	local:to_best	"first study"
6	"first study to best"	local:firststudy_to	"best"
