1	"digital"	rdfs:member	"digital age"
1	"classical forms"	rdfs:subClassOf	"forms"
1	"digital age"	rdfs:subClassOf	"age"
1	"classical"	rdfs:member	"classical forms"
1	"longer seem"	rdfs:subClassOf	"seem"
1	"no longer"	rdfs:subClassOf	"longer"
1	"narrative articles"	rdfs:subClassOf	"articles"
1	"printed narrative articles"	rdfs:subClassOf	"narrative articles"
1	"classical forms of publishing"	local:of_publishing	"classical forms"
1	"classical forms of publishing"	local:classicalforms_of	"publishing"
1	"classical forms of publishing centered"	local:_centered	"classical forms of publishing"
1	"classical forms of publishing centered"	local:classicalformsofpublishing_	"centered"
1	"centered around printed narrative articles"	local:around_printednarrativearticles	"centered"
1	"centered around printed narrative articles"	local:centered_around	"printed narrative articles"
1	"printed narrative articles longer seem"	local:_longerseem	"printed narrative articles"
1	"printed narrative articles longer seem"	local:printednarrativearticles_	"longer seem"
1	"well-suited in digital age"	local:in_digitalage	"well-suited"
1	"well-suited in digital age"	local:well-suited_in	"digital age"
1	"archiving"	vn.role:Agent	"classical forms of publishing centered"
1	"considered"	vn.role:Theme	"part"
1	"considered"	local:AM-TMP	"still"
1	"classical"	rdfs:member	"classical publishing"
1	"classical publishing"	rdfs:subClassOf	"publishing"
1	"publishing companies"	rdfs:subClassOf	"companies"
1	"classical publishing companies"	rdfs:subClassOf	"companies"
1	"publishing"	rdfs:member	"publishing companies"
1	"classical publishing"	rdfs:member	"classical publishing companies"
1	"classical publishing companies"	rdfs:subClassOf	"publishing companies"
1	"task of classical publishing companies"	local:of_classicalpublishingcompanies	"task"
1	"task of classical publishing companies"	local:task_of	"classical publishing companies"
1	"considered"	vn.role:Predicate	"task of classical publishing companies"
1	"digital"	rdfs:member	"digital age"
1	"classical forms"	rdfs:subClassOf	"forms"
1	"digital age"	rdfs:subClassOf	"age"
1	"classical"	rdfs:member	"classical forms"
1	"longer seem"	rdfs:subClassOf	"seem"
1	"no longer"	rdfs:subClassOf	"longer"
1	"narrative articles"	rdfs:subClassOf	"articles"
1	"printed narrative articles"	rdfs:subClassOf	"narrative articles"
1	"classical forms of publishing"	local:of_publishing	"classical forms"
