0	"use of blogs"	local:of_blogs	"use"
5	"extract"	rdfs:member	"extract interest"
5	"extract interest ontologies"	rdfs:subClassOf	"interest ontologies"
5	"classify"	vn.role:Predicate	"extract interest ontologies"
6	"user"	rdfs:member	"user ’"
6	"’"	rdfs:member	"’ s"
6	"user ’ s"	rdfs:subClassOf	"s"
6	"interest"	rdfs:member	"interest weight"
6	"’ s"	rdfs:subClassOf	"s"
6	"’ s interests"	rdfs:subClassOf	"interests"
6	"interest"	rdfs:member	"interest ontologies"
6	"top-down approach"	rdfs:subClassOf	"approach"
6	"top-down"	rdfs:member	"top-down approach"
6	"user ’"	rdfs:subClassOf	"’"
6	"user ’ s interests"	rdfs:subClassOf	"interests"
6	"s interests"	rdfs:subClassOf	"interests"
6	"’ s"	rdfs:member	"’ s interests"
6	"interest ontologies"	rdfs:subClassOf	"ontologies"
6	"user ’"	rdfs:member	"user ’ s"
6	"interest weight"	rdfs:subClassOf	"weight"
6	"user ’ s"	rdfs:member	"user ’ s interests"
6	"s"	rdfs:member	"s interests"
6	"semantically interests"	rdfs:subClassOf	"interests"
6	"user semantically interests"	rdfs:subClassOf	"semantically interests"
6	"express as hierarchy"	local:as_hierarchy	"express"
6	"express as hierarchy"	local:express_as	"hierarchy"
6	"hierarchy of classes"	local:of_classes	"hierarchy"
6	"hierarchy of classes"	local:hierarchy_of	"classes"
6	"express as hierarchy according_to interest weight"	local:according_to_interestweight	"express as hierarchy"
6	"express as hierarchy according_to interest weight"	local:expressashierarchy_according_to	"interest weight"
6	"interest weight by top-down approach"	local:by_top-downapproach	"interest weight"
6	"interest weight by top-down approach"	local:interestweight_by	"top-down approach"
6	"extract"	vn.role:Theme	"interest ontologies"
6	"interest"	rdfs:member	"interest ontologies"
6	"interest ontologies"	rdfs:subClassOf	"ontologies"
6	"express"	vn.role:Theme	"interest ontologies"
6	"user"	rdfs:member	"user ’"
6	"’"	rdfs:member	"’ s"
6	"user ’ s"	rdfs:subClassOf	"s"
6	"’ s"	rdfs:subClassOf	"s"
6	"’ s interests"	rdfs:subClassOf	"interests"
6	"user ’"	rdfs:subClassOf	"’"
6	"user ’ s interests"	rdfs:subClassOf	"interests"
6	"s interests"	rdfs:subClassOf	"interests"
6	"’ s"	rdfs:member	"’ s interests"
6	"user ’"	rdfs:member	"user ’ s"
