4	"rely"	local:AM-NEG	"not"
4	"additional knowledge"	rdfs:subClassOf	"knowledge"
4	"additional"	rdfs:member	"additional knowledge"
4	"rely"	vn.role:Theme	"additional knowledge"
5	"presented"	local:AM-LOC	"here"
5	"presented"	vn.role:Theme	"approach"
5	"presented"	local:AM-LOC	"here"
5	"here links"	rdfs:subClassOf	"links"
5	"network of owl"	local:of_owl	"network"
5	"network of owl"	local:network_of	"owl"
5	"presented"	vn.role:Agent	"network of owl"
5	"presented"	vn.role:Theme	"approach"
5	"presented approach"	rdfs:subClassOf	"approach"
5	"applied"	vn.role:Theme	"presented approach"
5	"applied"	local:AM-MOD	"can"
5	"presented approach"	rdfs:subClassOf	"approach"
5	"here presented"	rdfs:subClassOf	"presented"
5	"network of owl"	local:of_owl	"network"
5	"network of owl"	local:network_of	"owl"
5	"applied"	vn.role:Recipient	"network of owl"
6	"approach ability"	rdfs:subClassOf	"ability"
6	"sameas"	rdfs:member	"sameas links"
6	"approach"	rdfs:member	"approach ability"
6	"largest"	rdfs:member	"largest collection"
6	"largest collection"	rdfs:subClassOf	"collection"
6	"lod cloud"	rdfs:subClassOf	"cloud"
6	"identity links"	rdfs:subClassOf	"links"
6	"sameas links"	rdfs:subClassOf	"links"
6	"identity"	rdfs:member	"identity links"
6	"lod"	rdfs:member	"lod cloud"
6	"558m owl"	rdfs:subClassOf	"owl"
6	"presented approach ability"	rdfs:subClassOf	"approach ability"
6	"presented approach ability to scale"	local:to_scale	"presented approach ability"
6	"presented approach ability to scale"	local:presentedapproachability_to	"scale"
6	"evaluated on largest collection"	local:on_largestcollection	"evaluated"
6	"evaluated on largest collection"	local:evaluated_on	"largest collection"
6	"largest collection of identity links"	local:of_identitylinks	"largest collection"
6	"largest collection of identity links"	local:largestcollection_of	"identity links"
6	"identity links to date"	local:to_date	"identity links"
6	"identity links to date"	local:identitylinks_to	"date"
6	"containing over 558m owl"	local:over_558mowl	"containing"
6	"containing over 558m owl"	local:containing_over	"558m owl"
6	"scraped from lod cloud"	local:from_lodcloud	"scraped"
6	"scraped from lod cloud"	local:scraped_from	"lod cloud"
6	"illustrate"	vn.role:Theme	"evaluated on largest collection"
6	"presented"	vn.role:Agent	"here"
6	"approach ability"	rdfs:subClassOf	"ability"
6	"sameas"	rdfs:member	"sameas links"
6	"approach"	rdfs:member	"approach ability"
6	"largest"	rdfs:member	"largest collection"
6	"largest collection"	rdfs:subClassOf	"collection"
6	"lod cloud"	rdfs:subClassOf	"cloud"
6	"identity links"	rdfs:subClassOf	"links"
6	"sameas links"	rdfs:subClassOf	"links"
6	"identity"	rdfs:member	"identity links"
6	"lod"	rdfs:member	"lod cloud"
6	"558m owl"	rdfs:subClassOf	"owl"
6	"approach ability to scale"	local:to_scale	"approach ability"
6	"approach ability to scale"	local:approachability_to	"scale"
6	"evaluated on largest collection"	local:on_largestcollection	"evaluated"
6	"evaluated on largest collection"	local:evaluated_on	"largest collection"
