0	"-rcb- \"	local:partOf	"-rcb- \ -rrb-"
0	"-rcb- \"	rdfs:subClassOf	"\"
0	"positional"	local:partOf	"positional notation"
0	"notation"	local:partOf	"notation -rrb-"
0	"closed description logic \ -lrb-"	rdfs:subClassOf	"-lrb-"
0	"+ \"	local:partOf	"+ \ -rrb-"
0	"logic \"	rdfs:subClassOf	"\"
0	"-rcb- ^"	local:partOf	"-rcb- ^ +"
0	"+"	local:partOf	"+ \"
0	"dlr -rcb- ^ + \"	rdfs:subClassOf	"\"
0	"mathcal -lcb-"	rdfs:subClassOf	"-lcb-"
0	"+ \ -rrb-"	rdfs:subClassOf	"-rrb-"
0	"propositionally closed description"	rdfs:subClassOf	"description"
0	"closed description"	rdfs:subClassOf	"description"
0	"dlr -rcb-"	rdfs:subClassOf	"-rcb-"
0	"description"	local:partOf	"description logic"
0	"dlr -rcb- ^"	rdfs:subClassOf	"^"
0	"propositionally closed description logic \ -lrb-"	rdfs:subClassOf	"-lrb-"
0	"description logic"	local:partOf	"description logic \"
0	"dlr"	local:partOf	"dlr -rcb-"
0	"mathcal -lcb- dlr -rcb- \"	local:partOf	"mathcal -lcb- dlr -rcb- \ -rrb-"
0	"-lcb- dlr"	rdfs:subClassOf	"dlr"
0	"\"	local:partOf	"\ -rrb-"
0	"\ -lrb- \"	rdfs:subClassOf	"\"
0	"propositionally closed description"	local:partOf	"propositionally closed description logic"
0	"^ + \"	local:partOf	"^ + \ -rrb-"
0	"\ -rrb-"	rdfs:subClassOf	"-rrb-"
0	"mathcal -lcb- dlr -rcb- ^ + \ -rrb-"	rdfs:subClassOf	"-rrb-"
0	"local objectification"	rdfs:subClassOf	"objectification"
0	"mathcal -lcb- dlr"	rdfs:subClassOf	"dlr"
0	"-lcb- dlr -rcb- ^ +"	local:partOf	"-lcb- dlr -rcb- ^ + \"
0	"closed description logic \ -lrb- \"	rdfs:subClassOf	"\"
0	"propositionally"	local:partOf	"propositionally closed"
0	"^ +"	rdfs:subClassOf	"+"
0	"^ +"	local:partOf	"^ + \"
0	"external"	local:partOf	"external uniqueness"
0	"closed description logic"	rdfs:subClassOf	"logic"
0	"propositionally closed description logic \ -lrb- \"	rdfs:subClassOf	"\"
0	"positional notation"	rdfs:subClassOf	"notation"
0	"external uniqueness"	local:partOf	"external uniqueness dependencies"
0	"mathcal -lcb- dlr -rcb- \"	rdfs:subClassOf	"\"
0	"uniqueness"	local:partOf	"uniqueness dependencies"
0	"-lcb- dlr -rcb-"	local:partOf	"-lcb- dlr -rcb- \"
0	"+ \"	rdfs:subClassOf	"\"
0	"closed description"	local:partOf	"closed description logic"
0	"description logic \ -lrb- \"	rdfs:subClassOf	"\"
0	"^ + \"	rdfs:subClassOf	"\"
0	"-rcb-"	local:partOf	"-rcb- ^"
0	"-lcb- dlr -rcb- \"	local:partOf	"-lcb- dlr -rcb- \ -rrb-"
0	"\ -lrb-"	local:partOf	"\ -lrb- \"
0	"-lcb- dlr -rcb- ^ + \ -rrb-"	rdfs:subClassOf	"-rrb-"
0	"closed description logic \"	local:partOf	"closed description logic \ -lrb-"
0	"mathcal"	local:partOf	"mathcal -lcb-"
0	"-lcb- dlr -rcb- \"	rdfs:subClassOf	"\"
0	"-lcb- dlr -rcb- \ -rrb-"	rdfs:subClassOf	"-rrb-"
0	"positional notation"	local:partOf	"positional notation -rrb-"
0	"-lcb- dlr"	local:partOf	"-lcb- dlr -rcb-"
0	"logic"	local:partOf	"logic \"
0	"local"	local:partOf	"local objectification"
0	"mathcal -lcb- dlr -rcb-"	rdfs:subClassOf	"-rcb-"
0	"attribute-labelled tuples"	rdfs:subClassOf	"tuples"
0	"-rcb- \ -rrb-"	rdfs:subClassOf	"-rrb-"
0	"propositionally closed description logic \ -lrb-"	local:partOf	"propositionally closed description logic \ -lrb- \"
0	"^"	local:partOf	"^ +"
0	"external uniqueness"	rdfs:subClassOf	"uniqueness"
0	"mathcal -lcb-"	local:partOf	"mathcal -lcb- dlr"
0	"dlr -rcb- \"	rdfs:subClassOf	"\"
0	"description logic \ -lrb-"	local:partOf	"description logic \ -lrb- \"
0	"dlr -rcb- ^ + \ -rrb-"	rdfs:subClassOf	"-rrb-"
0	"propositionally closed"	local:partOf	"propositionally closed description"
0	"^ + \ -rrb-"	rdfs:subClassOf	"-rrb-"
0	"mathcal -lcb- dlr -rcb- ^ + \"	local:partOf	"mathcal -lcb- dlr -rcb- ^ + \ -rrb-"
0	"dlr -rcb-"	local:partOf	"dlr -rcb- ^"
0	"external uniqueness dependencies"	rdfs:subClassOf	"uniqueness dependencies"
0	"functional inclusion"	rdfs:subClassOf	"inclusion"
0	"able mathcal"	rdfs:subClassOf	"mathcal"
0	"global local objectification"	rdfs:subClassOf	"local objectification"
0	"\ mathcal"	rdfs:subClassOf	"mathcal"
0	"description logic \"	rdfs:subClassOf	"logic \"
0	"n-ary propositionally"	rdfs:subClassOf	"propositionally"
0	"dlr ^"	rdfs:subClassOf	"^"
0	"\ mathcal"	rdfs:subClassOf	"mathcal"
0	"extension of n-ary propositionally"	local:of_n-arypropositionally	"extension"
0	"extension of n-ary propositionally"	local:extension_of	"n-ary propositionally"
0	"able mathcal dlr"	local:_DLR	"able mathcal"
0	"able mathcal dlr"	local:ablemathcal_	"dlr"
0	"deal with attribute-labelled tuples"	local:with_attribute-labelledtuples	"deal"
0	"deal with attribute-labelled tuples"	local:deal_with	"attribute-labelled tuples"
0	"deal with attribute-labelled tuples with projections"	local:with_projections	"deal with attribute-labelled tuples"
0	"deal with attribute-labelled tuples with projections"	local:dealwithattribute-labelledtuples_with	"projections"
0	"projections of relations"	local:of_relations	"projections"
0	"projections of relations"	local:projections_of	"relations"
0	"deal with attribute-labelled tuples with projections with global local objectification"	local:with_globallocalobjectification	"deal with attribute-labelled tuples with projections"
0	"deal with attribute-labelled tuples with projections with global local objectification"	local:dealwithattribute-labelledtupleswithprojections_with	"global local objectification"
0	"global local objectification of relations"	local:of_relations	"global local objectification"
0	"global local objectification of relations"	local:globallocalobjectification_of	"relations"
1	"tbox"	local:partOf	"tbox axioms"
1	"tbox axioms"	rdfs:subClassOf	"axioms"
1	"equipped with tbox axioms"	local:with_tboxaxioms	"equipped"
1	"equipped with tbox axioms"	local:equipped_with	"tbox axioms"
2	"abox axioms"	rdfs:subClassOf	"axioms"
2	"abox"	local:partOf	"abox axioms"
2	"equipped with abox axioms"	local:with_aboxaxioms	"equipped"
2	"equipped with abox axioms"	local:equipped_with	"abox axioms"
3	"-rcb- ^ + \"	local:partOf	"-rcb- ^ + \ -rrb-"
3	"-lcb- dlr -rcb- ^"	local:partOf	"-lcb- dlr -rcb- ^ +"
3	"dlr -rcb- \"	local:partOf	"dlr -rcb- \ -rrb-"
3	"-lcb-"	local:partOf	"-lcb- dlr"
3	"mathcal -lcb- dlr -rcb- ^ +"	rdfs:subClassOf	"+"
3	"-lcb- dlr -rcb-"	rdfs:subClassOf	"-rcb-"
3	"dlr -rcb-"	local:partOf	"dlr -rcb- \"
3	"dlr -rcb- ^ +"	rdfs:subClassOf	"+"
3	"\ -rrb-"	local:partOf	"\ -rrb- knowledge"
3	"-lcb- dlr -rcb- ^ + \ -rrb- knowledge base"	rdfs:subClassOf	"base"
3	"dlr -rcb- ^ +"	local:partOf	"dlr -rcb- ^ + \"
3	"computational"	local:partOf	"computational complexity"
3	"dlr -rcb- \ -rrb-"	rdfs:subClassOf	"-rrb-"
3	"-lcb- dlr -rcb- ^ + \ -rrb-"	local:partOf	"-lcb- dlr -rcb- ^ + \ -rrb- knowledge"
3	"^ + \ -rrb- knowledge base"	rdfs:subClassOf	"base"
3	"\"	local:partOf	"\ -lrb-"
3	"dlr -rcb- ^ + \"	local:partOf	"dlr -rcb- ^ + \ -rrb-"
3	"-lcb- dlr -rcb- ^"	rdfs:subClassOf	"^"
3	"knowledge base"	rdfs:subClassOf	"base"
3	"+ \ -rrb- knowledge base"	rdfs:subClassOf	"base"
3	"common attributes"	rdfs:subClassOf	"attributes"
3	"mathcal -lcb- dlr -rcb-"	local:partOf	"mathcal -lcb- dlr -rcb- \"
3	"^ + \ -rrb- knowledge"	local:partOf	"^ + \ -rrb- knowledge base"
3	"dlr -rcb- ^"	local:partOf	"dlr -rcb- ^ +"
3	"-rcb- ^ +"	local:partOf	"-rcb- ^ + \"
3	"+ \ -rrb-"	local:partOf	"+ \ -rrb- knowledge"
3	"-rcb- ^ + \ -rrb- knowledge"	local:partOf	"-rcb- ^ + \ -rrb- knowledge base"
3	"-lrb-"	local:partOf	"-lrb- \"
3	"\ -lrb-"	rdfs:subClassOf	"-lrb-"
3	"-rcb- ^ + \ -rrb-"	rdfs:subClassOf	"-rrb-"
3	"mathcal -lcb- dlr -rcb- ^"	rdfs:subClassOf	"^"
3	"dlr -rcb- ^ + \ -rrb- knowledge base"	rdfs:subClassOf	"base"
3	"mathcal -lcb- dlr"	local:partOf	"mathcal -lcb- dlr -rcb-"
3	"-lrb- \"	rdfs:subClassOf	"\"
3	"mathcal -lcb- dlr -rcb- ^ + \"	rdfs:subClassOf	"\"
3	"syntactic restriction"	rdfs:subClassOf	"restriction"
3	"simple syntactic"	local:partOf	"simple syntactic restriction"
3	"-rcb- ^"	rdfs:subClassOf	"^"
3	"mathcal -lcb- dlr -rcb- ^"	local:partOf	"mathcal -lcb- dlr -rcb- ^ +"
3	"mathcal -lcb- dlr -rcb- \ -rrb-"	rdfs:subClassOf	"-rrb-"
3	"-lcb- dlr -rcb- ^ +"	rdfs:subClassOf	"+"
3	"mathcal -lcb- dlr -rcb- ^ +"	local:partOf	"mathcal -lcb- dlr -rcb- ^ + \"
3	"-lcb- dlr -rcb- ^ + \"	rdfs:subClassOf	"\"
3	"knowledge"	local:partOf	"knowledge base"
3	"mathcal -lcb- dlr -rcb-"	local:partOf	"mathcal -lcb- dlr -rcb- ^"
3	"-rcb-"	local:partOf	"-rcb- \"
3	"-lcb- dlr -rcb-"	local:partOf	"-lcb- dlr -rcb- ^"
3	"-rrb-"	local:partOf	"-rrb- knowledge"
3	"+ \ -rrb- knowledge"	rdfs:subClassOf	"knowledge"
3	"simple"	local:partOf	"simple syntactic"
3	"-rcb- ^ +"	rdfs:subClassOf	"+"
3	"computational complexity"	rdfs:subClassOf	"complexity"
3	"-rcb- ^ + \ -rrb- knowledge"	rdfs:subClassOf	"knowledge"
3	"-rcb- ^ + \"	rdfs:subClassOf	"\"
3	"-lcb- dlr -rcb- ^ + \"	local:partOf	"-lcb- dlr -rcb- ^ + \ -rrb-"
3	"-rcb- \"	local:partOf	"-rcb- \ -rrb-"
3	"-rcb- \"	rdfs:subClassOf	"\"
3	"simple syntactic restriction"	rdfs:subClassOf	"restriction"
3	"simple syntactic"	rdfs:subClassOf	"syntactic"
3	"\ -rrb- knowledge base"	rdfs:subClassOf	"base"
3	"+ \"	local:partOf	"+ \ -rrb-"
3	"-rrb- knowledge"	local:partOf	"-rrb- knowledge base"
3	"-rcb- ^"	local:partOf	"-rcb- ^ +"
3	"+"	local:partOf	"+ \"
3	"dlr -rcb- ^ + \"	rdfs:subClassOf	"\"
3	"mathcal -lcb-"	rdfs:subClassOf	"-lcb-"
3	"+ \ -rrb-"	rdfs:subClassOf	"-rrb-"
3	"same computational"	local:partOf	"same computational complexity"
3	"^ + \ -rrb- knowledge"	rdfs:subClassOf	"knowledge"
3	"dlr -rcb-"	rdfs:subClassOf	"-rcb-"
3	"-lcb- dlr -rcb- ^ + \ -rrb- knowledge"	local:partOf	"-lcb- dlr -rcb- ^ + \ -rrb- knowledge base"
3	"same computational complexity"	rdfs:subClassOf	"complexity"
3	"dlr -rcb- ^"	rdfs:subClassOf	"^"
3	"-rcb- ^ + \ -rrb-"	local:partOf	"-rcb- ^ + \ -rrb- knowledge"
3	"dlr"	local:partOf	"dlr -rcb-"
3	"syntactic"	local:partOf	"syntactic restriction"
3	"mathcal -lcb- dlr -rcb- \"	local:partOf	"mathcal -lcb- dlr -rcb- \ -rrb-"
3	"-lcb- dlr"	rdfs:subClassOf	"dlr"
3	"\"	local:partOf	"\ -rrb-"
3	"\ -lrb- \"	rdfs:subClassOf	"\"
3	"^ + \"	local:partOf	"^ + \ -rrb-"
3	"\ -rrb-"	rdfs:subClassOf	"-rrb-"
3	"mathcal -lcb- dlr -rcb- ^ + \ -rrb-"	rdfs:subClassOf	"-rrb-"
3	"mathcal -lcb- dlr"	rdfs:subClassOf	"dlr"
3	"\ -rrb- knowledge"	rdfs:subClassOf	"knowledge"
