3	"potentially relevant"	rdfs:member	"potentially relevant ontologies"
3	"relevant"	rdfs:member	"relevant ontologies"
3	"facilitate"	vn.role:Beneficiary	"locating"
3	"search engines"	rdfs:subClassOf	"engines"
3	"search"	rdfs:member	"search engines"
3	"number of search engines"	local:of_searchengines	"number"
3	"number of search engines"	local:number_of	"search engines"
3	"locating"	vn.role:Agent	"number of search engines"
3	"potentially relevant"	rdfs:subClassOf	"relevant"
3	"relevant ontologies"	rdfs:subClassOf	"ontologies"
3	"potentially"	rdfs:member	"potentially relevant"
3	"potentially relevant ontologies"	rdfs:subClassOf	"ontologies"
3	"potentially relevant"	rdfs:member	"potentially relevant ontologies"
3	"relevant"	rdfs:member	"relevant ontologies"
3	"locating"	vn.role:Theme	"relevant ontologies"
4	"ontology"	rdfs:member	"ontology libraries"
4	"ontology libraries"	rdfs:subClassOf	"libraries"
4	"number of ontology libraries"	local:of_ontologylibraries	"number"
4	"number of ontology libraries"	local:number_of	"ontology libraries"
4	"coming"	vn.role:Location	"number of ontology libraries"
4	"coming"	vn.role:other	"existence"
4	"potentially relevant"	rdfs:subClassOf	"relevant"
4	"relevant ontologies"	rdfs:subClassOf	"ontologies"
4	"potentially"	rdfs:member	"potentially relevant"
4	"potentially relevant ontologies"	rdfs:subClassOf	"ontologies"
4	"potentially relevant"	rdfs:member	"potentially relevant ontologies"
4	"relevant"	rdfs:member	"relevant ontologies"
4	"coming"	local:AM-PNC	"facilitate"
4	"ontology"	rdfs:member	"ontology libraries"
4	"ontology libraries"	rdfs:subClassOf	"libraries"
4	"number of ontology libraries"	local:of_ontologylibraries	"number"
4	"number of ontology libraries"	local:number_of	"ontology libraries"
4	"facilitate"	vn.role:Agent	"number of ontology libraries"
4	"potentially relevant"	rdfs:subClassOf	"relevant"
4	"relevant ontologies"	rdfs:subClassOf	"ontologies"
4	"potentially"	rdfs:member	"potentially relevant"
4	"potentially relevant ontologies"	rdfs:subClassOf	"ontologies"
4	"potentially relevant"	rdfs:member	"potentially relevant ontologies"
4	"relevant"	rdfs:member	"relevant ontologies"
4	"facilitate"	vn.role:Beneficiary	"retrieving"
4	"ontology"	rdfs:member	"ontology libraries"
4	"ontology libraries"	rdfs:subClassOf	"libraries"
4	"number of ontology libraries"	local:of_ontologylibraries	"number"
4	"number of ontology libraries"	local:number_of	"ontology libraries"
4	"retrieving"	vn.role:Agent	"number of ontology libraries"
4	"potentially relevant"	rdfs:subClassOf	"relevant"
4	"relevant ontologies"	rdfs:subClassOf	"ontologies"
4	"potentially"	rdfs:member	"potentially relevant"
4	"potentially relevant ontologies"	rdfs:subClassOf	"ontologies"
4	"potentially relevant"	rdfs:member	"potentially relevant ontologies"
4	"relevant"	rdfs:member	"relevant ontologies"
4	"retrieving"	vn.role:Theme	"relevant ontologies"
6	"existing ontologies"	rdfs:subClassOf	"ontologies"
6	"evaluate"	vn.role:Theme	"existing ontologies"
6	"libraries"	rdfs:member	"libraries relevance"
6	"ontology libraries relevance"	rdfs:subClassOf	"relevance"
6	"ontology"	rdfs:member	"ontology libraries"
6	"knowledge engineer"	rdfs:subClassOf	"engineer"
6	"ontology libraries"	rdfs:subClassOf	"libraries"
6	"libraries relevance"	rdfs:subClassOf	"relevance"
6	"knowledge"	rdfs:member	"knowledge engineer"
6	"ontology libraries"	rdfs:member	"ontology libraries relevance"
6	"relevance libraries"	rdfs:subClassOf	"libraries"
6	"relevance libraries terms"	rdfs:subClassOf	"terms"
6	"ontology relevance libraries"	rdfs:subClassOf	"relevance libraries"
6	"a ontology relevance libraries"	rdfs:subClassOf	"ontology relevance libraries"
6	"relevance to needs"	local:to_needs	"relevance"
6	"relevance to needs"	local:relevance_to	"needs"
