6	"occurrence frequency of subgraph pattern"	local:occurrencefrequency_of	"subgraph pattern"
6	"proposed"	vn.role:Topic	"depend on database-dependent properties"
6	"however heuristics"	rdfs:subClassOf	"heuristics"
6	"fail"	vn.role:Theme	"however heuristics"
6	"fail"	local:AM-TMP	"currently"
6	"occurrence frequency"	rdfs:subClassOf	"frequency"
6	"subgraph"	rdfs:member	"subgraph pattern"
6	"subgraph pattern"	rdfs:subClassOf	"pattern"
6	"occurrence"	rdfs:member	"occurrence frequency"
6	"database-dependent"	rdfs:member	"database-dependent properties"
6	"database-dependent properties"	rdfs:subClassOf	"properties"
6	"depend on database-dependent properties"	local:on_database-dependentproperties	"depend"
6	"depend on database-dependent properties"	local:depend_on	"database-dependent properties"
6	"database-dependent properties such_as occurrence frequency"	local:such_as_occurrencefrequency	"database-dependent properties"
6	"database-dependent properties such_as occurrence frequency"	local:database-dependentproperties_such_as	"occurrence frequency"
6	"occurrence frequency of subgraph pattern"	local:of_subgraphpattern	"occurrence frequency"
6	"occurrence frequency of subgraph pattern"	local:occurrencefrequency_of	"subgraph pattern"
6	"fail"	vn.role:indirect_object	"depend on database-dependent properties"
6	"however heuristics"	rdfs:subClassOf	"heuristics"
6	"depend"	vn.role:Theme	"however heuristics"
6	"occurrence frequency"	rdfs:subClassOf	"frequency"
6	"subgraph"	rdfs:member	"subgraph pattern"
6	"subgraph pattern"	rdfs:subClassOf	"pattern"
6	"occurrence"	rdfs:member	"occurrence frequency"
6	"database-dependent"	rdfs:member	"database-dependent properties"
6	"database-dependent properties"	rdfs:subClassOf	"properties"
6	"database-dependent properties such_as occurrence frequency"	local:such_as_occurrencefrequency	"database-dependent properties"
6	"database-dependent properties such_as occurrence frequency"	local:database-dependentproperties_such_as	"occurrence frequency"
6	"occurrence frequency of subgraph pattern"	local:of_subgraphpattern	"occurrence frequency"
6	"occurrence frequency of subgraph pattern"	local:occurrencefrequency_of	"subgraph pattern"
6	"depend"	vn.role:Location	"database-dependent properties such_as occurrence frequency"
7	"leads"	vn.role:Agent	"this"
7	"top-k"	rdfs:member	"top-k interpretations"
7	"top-k interpretations"	rdfs:subClassOf	"interpretations"
7	"leads"	local:AM-DIR	"problem"
7	"top-k"	rdfs:member	"top-k interpretations"
7	"top-k interpretations"	rdfs:subClassOf	"interpretations"
7	"generating"	vn.role:Theme2	"top-k interpretations"
8	"top-k"	rdfs:member	"top-k interpretations"
8	"top-k interpretations"	rdfs:subClassOf	"interpretations"
8	"aligned"	vn.role:Theme	"top-k interpretations"
8	"aligned"	local:AM-NEG	"not"
8	"user"	rdfs:member	"user intentions"
8	"user intentions"	rdfs:subClassOf	"intentions"
8	"aligned"	local:AM-MNR	"user intentions"
9	"query interpretation"	rdfs:subClassOf	"interpretation"
9	"keyword query interpretation"	rdfs:subClassOf	"interpretation"
9	"keyword query"	rdfs:member	"keyword query interpretation"
9	"keyword"	rdfs:member	"keyword query"
9	"keyword query"	rdfs:subClassOf	"query"
9	"query"	rdfs:member	"query interpretation"
9	"keyword query interpretation"	rdfs:subClassOf	"query interpretation"
9	"personalizes"	vn.role:Agent	"keyword query interpretation"
9	"user ’"	rdfs:subClassOf	"’"
9	"’ s query"	rdfs:subClassOf	"query"
9	"query"	rdfs:member	"query context"
9	"interpretation process"	rdfs:subClassOf	"process"
9	"’"	rdfs:member	"’ s"
9	"s query"	rdfs:subClassOf	"query"
9	"’ s query"	rdfs:member	"’ s query context"
9	"user"	rdfs:member	"user ’"
9	"user ’ s query"	rdfs:subClassOf	"query"
9	"’ s"	rdfs:member	"’ s query"
9	"s"	rdfs:member	"s query"
9	"user ’ s"	rdfs:member	"user ’ s query"
9	"user ’"	rdfs:member	"user ’ s"
9	"’ s query context"	rdfs:subClassOf	"context"
9	"interpretation"	rdfs:member	"interpretation process"
9	"query context"	rdfs:subClassOf	"context"
9	"s query"	rdfs:member	"s query context"
9	"s query context"	rdfs:subClassOf	"context"
9	"user ’ s"	rdfs:subClassOf	"s"
9	"user ’ s query context"	rdfs:subClassOf	"context"
9	"user ’ s query"	rdfs:member	"user ’ s query context"
9	"’ s"	rdfs:subClassOf	"s"
9	"user query context"	rdfs:subClassOf	"query context"
9	"interpretation process based"	local:_based	"interpretation process"
9	"interpretation process based"	local:interpretationprocess_	"based"
9	"based on user query context"	local:on_userquerycontext	"based"
9	"based on user query context"	local:based_on	"user query context"
9	"personalizes"	vn.role:Patient	"interpretation process based"
9	"interpretation process"	rdfs:subClassOf	"process"
9	"interpretation"	rdfs:member	"interpretation process"
9	"based"	vn.role:Cause	"interpretation process"
9	"query"	rdfs:member	"query context"
9	"s query"	rdfs:member	"s query context"
9	"s query context"	rdfs:subClassOf	"context"
9	"’ s"	rdfs:subClassOf	"s"
9	"user ’ s"	rdfs:subClassOf	"s"
9	"’ s"	rdfs:member	"’ s query"
9	"user ’ s query context"	rdfs:subClassOf	"context"
9	"user ’ s query"	rdfs:member	"user ’ s query context"
9	"’ s query"	rdfs:subClassOf	"query"
9	"s"	rdfs:member	"s query"
9	"user ’ s"	rdfs:member	"user ’ s query"
9	"user ’"	rdfs:member	"user ’ s"
9	"s query"	rdfs:subClassOf	"query"
9	"’"	rdfs:member	"’ s"
9	"’ s query context"	rdfs:subClassOf	"context"
