6	"indirectly affected agent change"	local:agent_change	"indirectly affected"
6	"indirectly affected agent change"	local:indirectlyaffected_agent	"change"
6	"distinguishing"	vn.role:Patient	"has yet tackled"
6	"affected"	vn.role:Cause	"concept"
6	"affected"	local:AM-MNR	"indirectly"
6	"yet has"	rdfs:subClassOf	"has"
6	"affected"	vn.role:Experiencer	"yet has"
7	"semantic diff"	rdfs:subClassOf	"diff"
7	"semantic diff"	rdfs:member	"semantic diff ”"
7	"diff"	rdfs:member	"diff ”"
7	"semantic diff ”"	rdfs:subClassOf	"”"
7	"first issue"	rdfs:subClassOf	"issue"
7	"semantic"	rdfs:member	"semantic diff"
7	"diff ”"	rdfs:subClassOf	"”"
7	"first"	rdfs:member	"first issue"
7	"principled notions"	rdfs:subClassOf	"notions"
7	"various principled notions"	rdfs:subClassOf	"principled notions"
7	"various principled notions of semantic diff"	local:of_semanticdiff	"various principled notions"
7	"various principled notions of semantic diff"	local:variousprinciplednotions_of	"semantic diff"
7	"address"	vn.role:Theme	"first issue"
7	"deductive"	rdfs:member	"deductive inseparability"
7	"deductive inseparability"	rdfs:subClassOf	"inseparability"
7	"address"	local:AM-MNR	"deductive inseparability"
7	"deductive"	rdfs:member	"deductive inseparability"
7	"deductive inseparability"	rdfs:subClassOf	"inseparability"
7	"based"	vn.role:indirect_object	"deductive inseparability"
7	"semantic diff"	rdfs:subClassOf	"diff"
7	"deductive inseparability"	rdfs:subClassOf	"inseparability"
7	"semantic diff"	rdfs:member	"semantic diff ”"
7	"diff"	rdfs:member	"diff ”"
7	"semantic diff ”"	rdfs:subClassOf	"”"
7	"first issue"	rdfs:subClassOf	"issue"
7	"semantic"	rdfs:member	"semantic diff"
7	"diff ”"	rdfs:subClassOf	"”"
7	"deductive"	rdfs:member	"deductive inseparability"
7	"first"	rdfs:member	"first issue"
7	"principled notions"	rdfs:subClassOf	"notions"
7	"various principled notions"	rdfs:subClassOf	"principled notions"
7	"first issue various principled notions"	local:_variousprinciplednotions	"first issue"
7	"first issue various principled notions"	local:firstissue_	"various principled notions"
7	"various principled notions of semantic diff"	local:of_semanticdiff	"various principled notions"
7	"various principled notions of semantic diff"	local:variousprinciplednotions_of	"semantic diff"
7	"based on deductive inseparability"	local:on_deductiveinseparability	"based"
7	"based on deductive inseparability"	local:based_on	"deductive inseparability"
7	"proposed"	vn.role:Topic	"address"
7	"proposed"	local:AM-LOC	"literature"
8	"semantic diff"	rdfs:subClassOf	"diff"
8	"semantic diff"	rdfs:member	"semantic diff ”"
8	"diff"	rdfs:member	"diff ”"
8	"semantic diff ”"	rdfs:subClassOf	"”"
8	"first issue"	rdfs:subClassOf	"issue"
8	"semantic"	rdfs:member	"semantic diff"
8	"diff ”"	rdfs:subClassOf	"”"
8	"first"	rdfs:member	"first issue"
8	"principled notions"	rdfs:subClassOf	"notions"
8	"various principled notions"	rdfs:subClassOf	"principled notions"
8	"various principled notions of semantic diff"	local:of_semanticdiff	"various principled notions"
8	"various principled notions of semantic diff"	local:variousprinciplednotions_of	"semantic diff"
8	"address"	vn.role:Theme	"first issue"
8	"deductive"	rdfs:member	"deductive inseparability"
8	"deductive inseparability"	rdfs:subClassOf	"inseparability"
8	"address"	local:AM-MNR	"deductive inseparability"
8	"deductive"	rdfs:member	"deductive inseparability"
8	"deductive inseparability"	rdfs:subClassOf	"inseparability"
8	"based"	vn.role:indirect_object	"deductive inseparability"
8	"semantic diff"	rdfs:subClassOf	"diff"
8	"deductive inseparability"	rdfs:subClassOf	"inseparability"
8	"semantic diff"	rdfs:member	"semantic diff ”"
8	"diff"	rdfs:member	"diff ”"
8	"semantic diff ”"	rdfs:subClassOf	"”"
8	"first issue"	rdfs:subClassOf	"issue"
8	"semantic"	rdfs:member	"semantic diff"
8	"diff ”"	rdfs:subClassOf	"”"
8	"deductive"	rdfs:member	"deductive inseparability"
8	"first"	rdfs:member	"first issue"
8	"principled notions"	rdfs:subClassOf	"notions"
8	"various principled notions"	rdfs:subClassOf	"principled notions"
8	"first issue various principled notions"	local:_variousprinciplednotions	"first issue"
8	"first issue various principled notions"	local:firstissue_	"various principled notions"
8	"various principled notions of semantic diff"	local:of_semanticdiff	"various principled notions"
8	"various principled notions of semantic diff"	local:variousprinciplednotions_of	"semantic diff"
8	"based on deductive inseparability"	local:on_deductiveinseparability	"based"
8	"based on deductive inseparability"	local:based_on	"deductive inseparability"
8	"shown"	vn.role:Theme	"address"
8	"expressively restricted case"	rdfs:subClassOf	"case"
8	"restricted case"	rdfs:subClassOf	"case"
8	"expressively restricted"	rdfs:member	"expressively restricted case"
8	"expressively restricted"	rdfs:subClassOf	"restricted"
8	"restricted"	rdfs:member	"restricted case"
8	"expressively"	rdfs:member	"expressively restricted"
8	"computationally practical"	rdfs:subClassOf	"practical"
8	"computationally practical for restricted case"	local:for_restrictedcase	"computationally practical"
8	"computationally practical for restricted case"	local:computationallypractical_for	"restricted case"
8	"restricted case of elhr-terminologies"	local:of_elhr-terminologies	"restricted case"
8	"restricted case of elhr-terminologies"	local:restrictedcase_of	"elhr-terminologies"
8	"shown"	vn.role:Theme	"computationally practical for restricted case"
9	"arise"	vn.role:Location	"however"
9	"arise"	local:AM-ADV	"even"
9	"limited"	rdfs:member	"limited logics"
9	"limited logics"	rdfs:subClassOf	"logics"
9	"arise"	vn.role:indirect_object	"limited logics"
9	"web ontology"	rdfs:member	"web ontology language"
9	"web"	rdfs:member	"web ontology"
9	"ontology"	rdfs:member	"ontology language"
9	"ontology language"	rdfs:subClassOf	"language"
9	"web ontology language"	rdfs:subClassOf	"language"
9	"web ontology"	rdfs:subClassOf	"ontology"
9	"web ontology language"	rdfs:subClassOf	"ontology language"
9	"more difficult"	rdfs:subClassOf	"difficult"
9	"first gets"	rdfs:subClassOf	"gets"
9	"becoming for logics"	local:for_logics	"becoming"
9	"becoming for logics"	local:becoming_for	"logics"
9	"logics such_as sroiq"	local:such_as_sroiq	"logics"
9	"logics such_as sroiq"	local:logics_such_as	"sroiq"
9	"arise"	local:AM-TMP	"alc"
9	"gets"	vn.role:Patient	"alc"
9	"web ontology"	rdfs:member	"web ontology language"
9	"web"	rdfs:member	"web ontology"
9	"ontology"	rdfs:member	"ontology language"
9	"ontology language"	rdfs:subClassOf	"language"
9	"web ontology language"	rdfs:subClassOf	"language"
9	"web ontology"	rdfs:subClassOf	"ontology"
