11	"given"	vn.role:object	"identity context"
11	"identity context"	rdfs:subClassOf	"context"
11	"identity"	rdfs:member	"identity context"
11	"propagated"	vn.role:Location	"identity context"
11	"propagated"	local:AM-MOD	"can"
11	"identical entities"	rdfs:subClassOf	"entities"
11	"identical"	rdfs:member	"identical entities"
11	"contextually identical"	rdfs:subClassOf	"identical"
11	"contextually identical"	rdfs:member	"contextually identical entities"
11	"contextually"	rdfs:member	"contextually identical"
11	"contextually identical entities"	rdfs:subClassOf	"entities"
11	"propagated"	vn.role:indirect_object	"identical entities"
12	"sentence"	rdfs:member	"sentence embedding"
12	"sentence embedding"	rdfs:subClassOf	"embedding"
12	"based"	vn.role:indirect_object	"sentence embedding"
13	"achieved"	vn.role:Agent	"approach"
13	"promising results"	rdfs:subClassOf	"results"
13	"achieved"	vn.role:Theme	"promising results"
14	"desired"	vn.role:Theme	"results"
14	"desired results"	rdfs:subClassOf	"results"
14	"meet"	vn.role:Theme1	"desired results"
14	"meet"	vn.role:Theme2	"users"
14	"needs"	vn.role:Agent	"users"
14	"knowledge graph"	rdfs:subClassOf	"graph"
14	"knowledge"	rdfs:member	"knowledge graph"
14	"needs"	local:AM-TMP	"querying"
14	"querying"	vn.role:Agent	"users"
14	"knowledge graph"	rdfs:subClassOf	"graph"
14	"knowledge"	rdfs:member	"knowledge graph"
14	"querying"	vn.role:Theme	"knowledge graph"
15	"use"	rdfs:member	"use cases"
15	"use cases"	rdfs:subClassOf	"cases"
15	"demonstrate"	vn.role:Recipient	"use cases"
15	"desired"	rdfs:member	"desired results"
15	"desired results"	rdfs:subClassOf	"results"
15	"demonstrate"	vn.role:Cause	"helps"
15	"identifying"	vn.role:Theme	"properties"
15	"helps"	vn.role:Agent	"identifying"
15	"desired"	rdfs:member	"desired results"
15	"desired results"	rdfs:subClassOf	"results"
15	"helps"	vn.role:Beneficiary	"achieve"
15	"achieve"	vn.role:Agent	"users"
15	"desired results"	rdfs:subClassOf	"results"
15	"achieve"	vn.role:Theme	"desired results"
15	"desired"	vn.role:Theme	"results"
17	"desired"	vn.role:Theme	"results"
17	"desired results"	rdfs:subClassOf	"results"
17	"meet"	vn.role:Theme1	"desired results"
17	"users"	rdfs:member	"users needs"
17	"users needs"	rdfs:subClassOf	"needs"
17	"meet"	vn.role:Theme2	"users needs"
17	"accurate"	rdfs:member	"accurate answers"
17	"accurate answers"	rdfs:subClassOf	"answers"
17	"complete accurate answers"	rdfs:subClassOf	"accurate answers"
17	"more complete"	rdfs:subClassOf	"complete"
17	"meet"	local:AM-TMP	"querying"
17	"needs"	vn.role:Agent	"users"
17	"accurate"	rdfs:member	"accurate answers"
17	"accurate answers"	rdfs:subClassOf	"answers"
17	"complete accurate answers"	rdfs:subClassOf	"accurate answers"
17	"more complete"	rdfs:subClassOf	"complete"
17	"needs"	local:AM-TMP	"querying"
17	"querying"	vn.role:Agent	"users"
17	"accurate"	rdfs:member	"accurate answers"
17	"accurate answers"	rdfs:subClassOf	"answers"
17	"complete accurate answers"	rdfs:subClassOf	"accurate answers"
17	"querying"	vn.role:Theme	"complete accurate answers"
