4	"knowledge ”"	rdfs:subClassOf	"”"
4	"knowledge"	rdfs:member	"knowledge ”"
4	"buried knowledge"	rdfs:subClassOf	"knowledge"
4	"become"	vn.role:indirect_object	"buried knowledge"
4	"knowledge ”"	rdfs:subClassOf	"”"
4	"knowledge"	rdfs:member	"knowledge ”"
4	"buried"	vn.role:Theme	"knowledge"
5	"enabling"	vn.role:Agent	"knowledge"
5	"topic"	rdfs:member	"topic trends"
5	"topic trends"	rdfs:subClassOf	"trends"
5	"enabling"	vn.role:Patient	"spotting"
6	"uses"	vn.role:Agent	"work"
6	"semantic technologies"	rdfs:subClassOf	"technologies"
6	"semantic"	rdfs:member	"semantic technologies"
6	"uses"	vn.role:Theme	"semantic technologies"
6	"buried knowledge"	rdfs:subClassOf	"knowledge"
6	"extract buried knowledge"	rdfs:subClassOf	"buried knowledge"
6	"uses"	vn.role:Recipient	"extract buried knowledge"
6	"buried knowledge"	rdfs:subClassOf	"knowledge"
6	"extract"	vn.role:Theme	"buried knowledge"
6	"buried"	vn.role:Destination	"knowledge"
7	"enabling"	vn.role:Agent	"knowledge"
7	"expertise finding"	rdfs:subClassOf	"finding"
7	"enabling"	vn.role:Patient	"spotting"
7	"finding"	vn.role:Agent	"expertise"
7	"finding"	vn.role:Agent	"spotting"
8	"claim"	local:AM-DIS	"specifically"
8	"claim"	vn.role:Agent	"we"
8	"user"	rdfs:member	"user profiles"
8	"s"	rdfs:member	"s expertise"
8	"people ’"	rdfs:subClassOf	"’"
8	"dynamic user"	rdfs:subClassOf	"user"
8	"dynamic user profiles"	rdfs:subClassOf	"profiles"
8	"dynamic user"	rdfs:member	"dynamic user profiles"
8	"people"	rdfs:member	"people ’"
8	"user profiles"	rdfs:subClassOf	"profiles"
8	"dynamic"	rdfs:member	"dynamic user"
8	"s expertise"	rdfs:subClassOf	"expertise"
8	"dynamic user profiles"	rdfs:subClassOf	"user profiles"
8	"people content"	rdfs:subClassOf	"content"
8	"people expertise"	rdfs:subClassOf	"expertise"
8	"automatically model"	rdfs:subClassOf	"model"
8	"claim"	vn.role:Topic	"possible"
8	"model"	local:AM-MNR	"automatically"
8	"s expertise"	rdfs:subClassOf	"expertise"
8	"s"	rdfs:member	"s expertise"
8	"people expertise"	rdfs:subClassOf	"expertise"
8	"model"	vn.role:Theme	"people expertise"
8	"user"	rdfs:member	"user profiles"
8	"dynamic user"	rdfs:subClassOf	"user"
8	"dynamic user profiles"	rdfs:subClassOf	"profiles"
8	"dynamic user"	rdfs:member	"dynamic user profiles"
8	"user profiles"	rdfs:subClassOf	"profiles"
8	"dynamic"	rdfs:member	"dynamic user"
8	"dynamic user profiles"	rdfs:subClassOf	"user profiles"
8	"people content"	rdfs:subClassOf	"content"
8	"model"	local:AM-MNR	"annotating"
8	"people content"	rdfs:subClassOf	"content"
8	"annotating"	vn.role:Theme	"people content"
8	"derive dynamic user"	rdfs:member	"derive dynamic user profiles"
8	"derive dynamic"	rdfs:member	"derive dynamic user"
8	"user"	rdfs:member	"user profiles"
8	"dynamic user"	rdfs:subClassOf	"user"
8	"derive dynamic"	rdfs:subClassOf	"dynamic"
8	"dynamic user profiles"	rdfs:subClassOf	"profiles"
8	"dynamic user"	rdfs:member	"dynamic user profiles"
8	"user profiles"	rdfs:subClassOf	"profiles"
8	"dynamic"	rdfs:member	"dynamic user"
8	"derive dynamic user"	rdfs:subClassOf	"user"
