0	"propose"	local:AM-TMP	"article"
3	"detection mechanism"	rdfs:subClassOf	"mechanism"
3	"automatic change detection"	rdfs:member	"automatic change detection mechanism"
3	"change detection"	rdfs:subClassOf	"detection"
3	"change detection mechanism"	rdfs:subClassOf	"detection mechanism"
3	"automatic change detection mechanism"	rdfs:subClassOf	"change detection mechanism"
3	"complemented"	vn.role:indirect_object	"automatic change detection mechanism"
4	"new ontology evolution approach"	rdfs:subClassOf	"approach"
4	"ontology evolution"	rdfs:subClassOf	"evolution"
4	"new ontology evolution"	rdfs:subClassOf	"evolution"
4	"new"	rdfs:member	"new ontology"
4	"ontology evolution"	rdfs:member	"ontology evolution approach"
4	"new ontology evolution"	rdfs:member	"new ontology evolution approach"
4	"ontology"	rdfs:member	"ontology evolution"
4	"new ontology"	rdfs:subClassOf	"ontology"
4	"ontology evolution approach"	rdfs:subClassOf	"approach"
4	"evolution approach"	rdfs:subClassOf	"approach"
4	"new ontology"	rdfs:member	"new ontology evolution"
4	"evolution"	rdfs:member	"evolution approach"
4	"ontology evolution approach"	rdfs:subClassOf	"evolution approach"
4	"new ontology evolution approach"	rdfs:subClassOf	"ontology evolution approach"
4	"combines"	vn.role:Agent	"new ontology evolution approach"
4	"combines"	vn.role:Patient	"changes"
5	"change detection"	rdfs:member	"change detection mechanism"
5	"detection mechanism"	rdfs:member	"detection mechanism approach"
5	"automatic change detection mechanism"	rdfs:member	"automatic change detection mechanism approach"
5	"automatic change detection"	rdfs:subClassOf	"detection"
5	"automatic change detection mechanism"	rdfs:subClassOf	"mechanism"
5	"automatic change detection mechanism approach"	rdfs:subClassOf	"approach"
5	"change detection mechanism approach"	rdfs:subClassOf	"approach"
5	"automatic"	rdfs:member	"automatic change"
5	"change detection mechanism"	rdfs:subClassOf	"mechanism"
5	"change"	rdfs:member	"change detection"
5	"mechanism"	rdfs:member	"mechanism approach"
5	"detection"	rdfs:member	"detection mechanism"
5	"automatic change"	rdfs:member	"automatic change detection"
5	"detection mechanism approach"	rdfs:subClassOf	"approach"
5	"change detection mechanism"	rdfs:member	"change detection mechanism approach"
5	"automatic change"	rdfs:subClassOf	"change"
5	"detection mechanism"	rdfs:subClassOf	"mechanism"
5	"mechanism approach"	rdfs:subClassOf	"approach"
5	"automatic change detection"	rdfs:member	"automatic change detection mechanism"
5	"change detection"	rdfs:subClassOf	"detection"
5	"detection mechanism approach"	rdfs:subClassOf	"mechanism approach"
5	"change detection mechanism approach"	rdfs:subClassOf	"detection mechanism approach"
5	"automatic change detection mechanism approach"	rdfs:subClassOf	"change detection mechanism approach"
