6	"event entity resolution -rrb-"	rdfs:subClassOf	"entity resolution -rrb-"
6	"structured event entity resolution -rrb-"	rdfs:subClassOf	"event entity resolution -rrb-"
6	"feature sets for structured event entity resolution -rrb-"	local:for_structuredevententityresolution-rrb-	"feature sets"
6	"feature sets for structured event entity resolution -rrb-"	local:featuresets_for	"structured event entity resolution -rrb-"
6	"advances in deep neural embeddings"	local:in_deepneuralembeddings	"advances"
6	"advances in deep neural embeddings"	local:advances_in	"deep neural embeddings"
6	"combines on text"	local:on_text	"combines"
6	"combines on text"	local:combines_on	"text"
6	"combines on text on graph"	local:on_graph	"combines on text"
6	"combines on text on graph"	local:combinesontext_on	"graph"
6	"text with supervised inputs"	local:with_supervisedinputs	"text"
6	"text with supervised inputs"	local:text_with	"supervised inputs"
6	"supervised inputs from domain experts"	local:from_domainexperts	"supervised inputs"
6	"supervised inputs from domain experts"	local:supervisedinputs_from	"domain experts"
6	"present"	vn.role:Theme	"augmented"
6	"augmented"	local:AM-LOC	"paper"
6	"augseer"	rdfs:member	"augseer -lrb-"
6	"augseer -lrb-"	rdfs:subClassOf	"-lrb-"
6	"approach augseer -lrb-"	local:_augseer-lrb-	"approach"
6	"approach augseer -lrb-"	local:approach_	"augseer -lrb-"
6	"augmented"	vn.role:Agent	"approach augseer -lrb-"
6	"domain experts"	rdfs:subClassOf	"experts"
6	"structured event entity resolution"	rdfs:member	"structured event entity resolution -rrb-"
6	"graph data"	rdfs:subClassOf	"data"
6	"event entity resolution"	rdfs:member	"event entity resolution -rrb-"
6	"neural embeddings"	rdfs:subClassOf	"embeddings"
6	"structured event entity"	rdfs:member	"structured event entity resolution"
6	"domain"	rdfs:member	"domain experts"
6	"structured event entity resolution"	rdfs:subClassOf	"resolution"
6	"deep neural embeddings"	rdfs:subClassOf	"embeddings"
6	"graph"	rdfs:member	"graph data"
6	"entity resolution -rrb-"	rdfs:subClassOf	"-rrb-"
6	"deep neural"	rdfs:member	"deep neural embeddings"
6	"structured event"	rdfs:subClassOf	"event"
6	"entity resolution"	rdfs:subClassOf	"resolution"
6	"event entity resolution"	rdfs:subClassOf	"resolution"
6	"entity resolution"	rdfs:member	"entity resolution -rrb-"
6	"combines"	rdfs:member	"combines advances"
6	"deep"	rdfs:member	"deep neural"
6	"event entity"	rdfs:subClassOf	"entity"
6	"feature sets"	rdfs:subClassOf	"sets"
6	"feature"	rdfs:member	"feature sets"
6	"deep neural"	rdfs:subClassOf	"neural"
6	"neural"	rdfs:member	"neural embeddings"
6	"event"	rdfs:member	"event entity"
6	"event entity"	rdfs:member	"event entity resolution"
6	"entity"	rdfs:member	"entity resolution"
6	"resolution -rrb-"	rdfs:subClassOf	"-rrb-"
6	"resolution"	rdfs:member	"resolution -rrb-"
6	"structured event"	rdfs:member	"structured event entity"
6	"combines advances"	rdfs:subClassOf	"advances"
6	"structured event entity resolution -rrb-"	rdfs:subClassOf	"-rrb-"
6	"structured event entity"	rdfs:subClassOf	"entity"
6	"structured"	rdfs:member	"structured event"
6	"event entity resolution -rrb-"	rdfs:subClassOf	"-rrb-"
6	"supervised inputs"	rdfs:subClassOf	"inputs"
6	"minimally supervised"	rdfs:subClassOf	"supervised"
6	"deep neural embeddings"	rdfs:subClassOf	"neural embeddings"
6	"entity resolution -rrb-"	rdfs:subClassOf	"resolution -rrb-"
6	"event entity resolution -rrb-"	rdfs:subClassOf	"entity resolution -rrb-"
6	"structured event entity resolution -rrb-"	rdfs:subClassOf	"event entity resolution -rrb-"
6	"feature sets for structured event entity resolution -rrb-"	local:for_structuredevententityresolution-rrb-	"feature sets"
6	"feature sets for structured event entity resolution -rrb-"	local:featuresets_for	"structured event entity resolution -rrb-"
6	"advances in deep neural embeddings"	local:in_deepneuralembeddings	"advances"
6	"advances in deep neural embeddings"	local:advances_in	"deep neural embeddings"
6	"combines on text"	local:on_text	"combines"
6	"combines on text"	local:combines_on	"text"
6	"combines on text on graph"	local:on_graph	"combines on text"
6	"combines on text on graph"	local:combinesontext_on	"graph"
6	"text with supervised inputs"	local:with_supervisedinputs	"text"
6	"text with supervised inputs"	local:text_with	"supervised inputs"
6	"supervised inputs from domain experts"	local:from_domainexperts	"supervised inputs"
6	"supervised inputs from domain experts"	local:supervisedinputs_from	"domain experts"
6	"augmented"	vn.role:Instrument	"feature sets for structured event entity resolution -rrb-"
6	"event entity resolution"	rdfs:subClassOf	"resolution"
6	"structured event entity resolution"	rdfs:member	"structured event entity resolution -rrb-"
6	"entity"	rdfs:member	"entity resolution"
6	"resolution -rrb-"	rdfs:subClassOf	"-rrb-"
6	"resolution"	rdfs:member	"resolution -rrb-"
6	"event entity resolution"	rdfs:member	"event entity resolution -rrb-"
6	"structured event"	rdfs:member	"structured event entity"
6	"entity resolution"	rdfs:member	"entity resolution -rrb-"
6	"structured event entity"	rdfs:member	"structured event entity resolution"
6	"structured event entity resolution"	rdfs:subClassOf	"resolution"
6	"structured event entity resolution -rrb-"	rdfs:subClassOf	"-rrb-"
6	"structured event"	rdfs:subClassOf	"event"
6	"structured"	rdfs:member	"structured event"
6	"structured event entity"	rdfs:subClassOf	"entity"
6	"event"	rdfs:member	"event entity"
6	"entity resolution -rrb-"	rdfs:subClassOf	"-rrb-"
6	"event entity"	rdfs:member	"event entity resolution"
6	"event entity"	rdfs:subClassOf	"entity"
6	"entity resolution"	rdfs:subClassOf	"resolution"
6	"event entity resolution -rrb-"	rdfs:subClassOf	"-rrb-"
6	"entity resolution -rrb-"	rdfs:subClassOf	"resolution -rrb-"
6	"event entity resolution -rrb-"	rdfs:subClassOf	"entity resolution -rrb-"
6	"structured event entity resolution -rrb-"	rdfs:subClassOf	"event entity resolution -rrb-"
6	"combines"	vn.role:Agent	"structured event entity resolution -rrb-"
6	"domain experts"	rdfs:subClassOf	"experts"
6	"graph data"	rdfs:subClassOf	"data"
6	"neural embeddings"	rdfs:subClassOf	"embeddings"
6	"domain"	rdfs:member	"domain experts"
6	"deep neural embeddings"	rdfs:subClassOf	"embeddings"
6	"deep neural"	rdfs:subClassOf	"neural"
6	"deep"	rdfs:member	"deep neural"
6	"neural"	rdfs:member	"neural embeddings"
6	"deep neural"	rdfs:member	"deep neural embeddings"
6	"graph"	rdfs:member	"graph data"
6	"supervised inputs"	rdfs:subClassOf	"inputs"
6	"minimally supervised"	rdfs:subClassOf	"supervised"
6	"deep neural embeddings"	rdfs:subClassOf	"neural embeddings"
6	"advances in deep neural embeddings"	local:in_deepneuralembeddings	"advances"
6	"advances in deep neural embeddings"	local:advances_in	"deep neural embeddings"
6	"advances in deep neural embeddings on text"	local:on_text	"advances in deep neural embeddings"
6	"advances in deep neural embeddings on text"	local:advancesindeepneuralembeddings_on	"text"
6	"advances in deep neural embeddings on text on graph data"	local:on_graphdata	"advances in deep neural embeddings on text"
6	"advances in deep neural embeddings on text on graph data"	local:advancesindeepneuralembeddingsontext_on	"graph data"
6	"text with supervised inputs"	local:with_supervisedinputs	"text"
6	"text with supervised inputs"	local:text_with	"supervised inputs"
6	"supervised inputs from domain experts"	local:from_domainexperts	"supervised inputs"
6	"supervised inputs from domain experts"	local:supervisedinputs_from	"domain experts"
6	"combines"	vn.role:Patient	"advances in deep neural embeddings on text on graph data"
6	"supervised"	local:AM-MNR	"minimally"
6	"supervised"	vn.role:Location	"inputs"
7	"operate"	vn.role:Patient	"augseer"
7	"operate"	local:AM-MOD	"can"
7	"online scenarios"	rdfs:subClassOf	"scenarios"
7	"online"	rdfs:member	"online scenarios"
7	"operate"	local:AM-MNR	"online scenarios"
8	"operate"	vn.role:Patient	"augseer"
8	"operate"	local:AM-MOD	"can"
8	"batch scenarios"	rdfs:subClassOf	"scenarios"
8	"batch"	rdfs:member	"batch scenarios"
8	"operate"	local:AM-MNR	"batch scenarios"
13	"text-based approaches"	rdfs:subClassOf	"approaches"
13	"text-based"	rdfs:member	"text-based approaches"
13	"found"	local:AM-LOC	"text-based approaches"
13	"good solution"	rdfs:subClassOf	"solution"
13	"good"	rdfs:member	"good solution"
13	"semantic"	rdfs:member	"semantic information"
13	"semantic information"	rdfs:subClassOf	"information"
13	"poorly perform"	rdfs:subClassOf	"perform"
13	"importance of semantic information"	local:of_semanticinformation	"importance"
13	"importance of semantic information"	local:importance_of	"semantic information"
13	"found"	local:AM-PNC	"poorly perform"
13	"text-based approaches"	rdfs:subClassOf	"approaches"
13	"text-based"	rdfs:member	"text-based approaches"
13	"perform"	local:AM-LOC	"text-based approaches"
13	"good"	rdfs:member	"good solution"
13	"good solution"	rdfs:subClassOf	"solution"
13	"semantic information"	rdfs:subClassOf	"information"
13	"semantic"	rdfs:member	"semantic information"
13	"importance of semantic information"	local:of_semanticinformation	"importance"
13	"importance of semantic information"	local:importance_of	"semantic information"
13	"perform"	vn.role:Theme	"poorly"
13	"demonstrating"	vn.role:Recipient	"poorly"
13	"good"	rdfs:member	"good solution"
13	"good solution"	rdfs:subClassOf	"solution"
13	"semantic information"	rdfs:subClassOf	"information"
13	"semantic"	rdfs:member	"semantic information"
13	"importance of semantic information"	local:of_semanticinformation	"importance"
13	"importance of semantic information"	local:importance_of	"semantic information"
13	"demonstrating"	vn.role:Cause	"importance of semantic information"
13	"good"	rdfs:member	"good solution"
13	"good solution"	rdfs:subClassOf	"solution"
13	"devising"	vn.role:Product	"good solution"
14	"use"	vn.role:Agent	"we"
14	"use"	local:AM-DIS	"also"
14	"sub-event clustering"	rdfs:member	"sub-event clustering visualizations"
14	"clustering"	rdfs:member	"clustering visualizations"
14	"sub-event"	rdfs:member	"sub-event clustering"
14	"clustering visualizations"	rdfs:subClassOf	"visualizations"
14	"sub-event clustering"	rdfs:subClassOf	"clustering"
14	"sub-event clustering visualizations"	rdfs:subClassOf	"visualizations"
14	"sub-event clustering visualizations"	rdfs:subClassOf	"clustering visualizations"
