s7.2	"proposed"
s2.1	"standard methods"	rdfs:subClassOf	"methods"
s2.1	"full classical"	rdfs:member	"full"
s2.1	"standard methods"	rdfs:member	"standard"
s2.1	"full classical firstorder"	rdfs:subClassOf	"firstorder"
s2.1	"firstorder predicate logic"	rdfs:subClassOf	"logic"
s2.1	"predicate logic"	rdfs:subClassOf	"logic"
s2.1	"classical firstorder predicate logic"	rdfs:member	"classical firstorder predicate"
s2.1	"predicate logic"	rdfs:member	"predicate"
s2.1	"firstorder predicate"	rdfs:member	"firstorder"
s2.1	"potentially used"	rdfs:subClassOf	"used"
s2.1	"can potentially used"	rdfs:subClassOf	"potentially used"
s2.1	"firstorder predicate logic"	rdfs:subClassOf	"predicate logic"
s2.1	"classical firstorder predicate logic"	rdfs:subClassOf	"firstorder predicate logic"
s2.1	"full classical firstorder predicate logic"	rdfs:subClassOf	"classical firstorder predicate logic"
s2.1	"automated reasoning"	rdfs:subClassOf	"reasoning"
s2.1	"standard methods of automated reasoning"	rdfs:member	"standard methods"
s2.1	"standard methods of automated reasoning"	rdfs:member	"automated reasoning"
s2.1	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"standard methods of automated reasoning"
s2.1	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"full classical firstorder predicate logic"
s2.1	"the standard methods of automated reasoning for full classical firstorder predicate logic can potentially be used a description logic reasoners to solve owl a description logic reasoning tasks"	rdf:predicate	"reasoners"
s2.1	"the standard methods of automated reasoning for full classical firstorder predicate logic can potentially be used a description logic reasoners to solve owl a description logic reasoning tasks"	local:AM-PNC	"solve OWL a Description Logic reasoning tasks"
s2.1	"solve owl a description logic reasoning tasks"	rdfs:member	"description logic"
s2.1	"solve owl a description logic reasoning tasks"	rdfs:member	"owl"
s2.1	"solve owl a description logic reasoning tasks"	rdfs:member	"tasks"
s2.1	"description logic"	rdfs:subClassOf	"logic"
s2.1	"description logic"	rdfs:member	"description"
s2.1	"reasoning tasks"	rdfs:subClassOf	"tasks"
s2.1	"logic reasoning tasks"	rdfs:subClassOf	"reasoning tasks"
s2.1	"description logic reasoning tasks"	rdfs:subClassOf	"logic reasoning tasks"
s2	"therefore the standard methods of automated reasoning for full classical firstorder predicate logic can potentially used a description logic reasoners to solve owl a description logic reasoning tasks"
s2	"therefore the standard methods of automated reasoning for full classical firstorder predicate logic can potentially used a description logic reasoners to solve owl a description logic reasoning tasks"	rdf:subject	"standard methods of automated reasoning for full classical firstorder predicate logic"
s2	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"full classical firstorder predicate logic"
s2	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"standard methods"
s2	"classical firstorder"	rdfs:member	"classical"
s2	"full classical firstorder predicate logic"	rdfs:subClassOf	"logic"
s2	"firstorder predicate logic"	rdfs:member	"firstorder predicate"
s2	"classical firstorder predicate logic"	rdfs:subClassOf	"logic"
s2	"classical firstorder predicate"	rdfs:member	"classical firstorder"
s2	"full classical firstorder predicate"	rdfs:subClassOf	"predicate"
s2	"full classical firstorder"	rdfs:member	"full classical"
s2	"full classical"	rdfs:subClassOf	"classical"
s2	"classical firstorder predicate"	rdfs:subClassOf	"predicate"
s2	"full classical firstorder predicate logic"	rdfs:member	"full classical firstorder predicate"
s2	"classical firstorder"	rdfs:subClassOf	"firstorder"
s2	"full classical firstorder predicate"	rdfs:member	"full classical firstorder"
s2	"firstorder predicate"	rdfs:subClassOf	"predicate"
s2	"standard methods"	rdfs:subClassOf	"methods"
s2	"full classical"	rdfs:member	"full"
s2	"standard methods"	rdfs:member	"standard"
s2	"full classical firstorder"	rdfs:subClassOf	"firstorder"
s2	"firstorder predicate logic"	rdfs:subClassOf	"logic"
s2	"predicate logic"	rdfs:subClassOf	"logic"
s2	"classical firstorder predicate logic"	rdfs:member	"classical firstorder predicate"
s2	"predicate logic"	rdfs:member	"predicate"
s2	"firstorder predicate"	rdfs:member	"firstorder"
s2	"firstorder predicate logic"	rdfs:subClassOf	"predicate logic"
s2	"classical firstorder predicate logic"	rdfs:subClassOf	"firstorder predicate logic"
s2	"full classical firstorder predicate logic"	rdfs:subClassOf	"classical firstorder predicate logic"
s2	"automated reasoning"	rdfs:subClassOf	"reasoning"
s2	"standard methods of automated reasoning"	rdfs:member	"standard methods"
s2	"standard methods of automated reasoning"	rdfs:member	"automated reasoning"
s2	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"standard methods of automated reasoning"
s2	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"full classical firstorder predicate logic"
s2	"therefore the standard methods of automated reasoning for full classical firstorder predicate logic can potentially used a description logic reasoners to solve owl a description logic reasoning tasks"	rdf:predicate	"use"
s2	"therefore the standard methods of automated reasoning for full classical firstorder predicate logic can potentially used a description logic reasoners to solve owl a description logic reasoning tasks"	rdf:object	"Description Logic reasoners to solve OWL a Description Logic reasoning tasks"
s2	"description logic reasoners to solve owl a description logic reasoning tasks"	rdfs:member	"description logic"
s2	"description logic reasoners to solve owl a description logic reasoning tasks"	rdfs:member	"tasks"
s2	"description logic reasoners to solve owl a description logic reasoning tasks"	rdfs:member	"owl"
s2	"description logic reasoners to solve owl a description logic reasoning tasks"	rdfs:member	"description logic reasoners"
s2	"description logic reasoners"	rdfs:member	"description logic"
s2	"description logic"	rdfs:member	"description"
s2	"description logic"	rdfs:subClassOf	"logic"
s2	"logic reasoners"	rdfs:subClassOf	"reasoners"
s2	"description logic reasoners"	rdfs:subClassOf	"reasoners"
s2	"logic reasoners"	rdfs:member	"logic"
s2	"reasoning tasks"	rdfs:subClassOf	"tasks"
s2	"logic reasoning tasks"	rdfs:subClassOf	"reasoning tasks"
s2	"description logic reasoning tasks"	rdfs:subClassOf	"logic reasoning tasks"
s2	"description logic reasoners"	rdfs:subClassOf	"logic reasoners"
s2	"therefore the standard methods of automated reasoning for full classical firstorder predicate logic can potentially used a description logic reasoners to solve owl a description logic reasoning tasks"	local:AM-ADV	"potentially"
s2	"therefore the standard methods of automated reasoning for full classical firstorder predicate logic can potentially used a description logic reasoners to solve owl a description logic reasoning tasks"	local:AM-DIS	"Therefore"
s2	"therefore the standard methods of automated reasoning for full classical firstorder predicate logic can potentially used a description logic reasoners to solve owl a description logic reasoning tasks"	local:AM-MOD	"can"
s1	"owl a description logic corresponds to a description logic"
s1	"owl a description logic corresponds to a description logic"	rdf:subject	"OWL a Description Logic"
s1	"description logic"	rdfs:subClassOf	"logic"
s1	"description logic"	rdfs:member	"description"
s1	"owl a description logic corresponds to a description logic"	rdf:predicate	"correspond"
s1	"owl a description logic corresponds to a description logic"	rdf:object	"Description Logic"
s1	"description logic"	rdfs:subClassOf	"logic"
s1	"description logic"	rdfs:member	"description"
