s7.2	"proposed"
s5.1	"some experiments explore the feasibility of using existing generalpurpose classical firstorder predicate logic provers to reason with owl a description logic"	rdf:subject	"experiments"
s5.1	"some experiments explore the feasibility of using existing generalpurpose classical firstorder predicate logic provers to reason with owl a description logic"	rdf:predicate	"explore"
s5.1	"some experiments explore the feasibility of using existing generalpurpose classical firstorder predicate logic provers to reason with owl a description logic"	rdf:object	"feasibility of using existing generalpurpose classical firstorder predicate logic provers"
s5.1	"feasibility of using existing generalpurpose classical firstorder predicate logic provers"	rdfs:member	"feasibility"
s5.1	"feasibility of using existing generalpurpose classical firstorder predicate logic provers"	rdfs:member	"generalpurpose classical firstorder predicate logic provers"
s5.1	"predicate logic provers"	rdfs:subClassOf	"provers"
s5.1	"generalpurpose classical"	rdfs:member	"generalpurpose"
s5.1	"predicate logic provers"	rdfs:member	"predicate logic"
s5.1	"classical firstorder predicate logic provers"	rdfs:member	"classical firstorder predicate logic"
s5.1	"firstorder predicate logic provers"	rdfs:subClassOf	"provers"
s5.1	"classical firstorder"	rdfs:member	"classical"
s5.1	"logic provers"	rdfs:subClassOf	"provers"
s5.1	"classical firstorder predicate logic provers"	rdfs:subClassOf	"provers"
s5.1	"generalpurpose classical firstorder predicate"	rdfs:member	"generalpurpose classical firstorder"
s5.1	"firstorder predicate logic"	rdfs:member	"firstorder predicate"
s5.1	"classical firstorder predicate logic"	rdfs:subClassOf	"logic"
s5.1	"classical firstorder predicate"	rdfs:member	"classical firstorder"
s5.1	"generalpurpose classical"	rdfs:subClassOf	"classical"
s5.1	"generalpurpose classical firstorder predicate logic provers"	rdfs:subClassOf	"provers"
s5.1	"generalpurpose classical firstorder"	rdfs:subClassOf	"firstorder"
s5.1	"generalpurpose classical firstorder predicate"	rdfs:subClassOf	"predicate"
s5.1	"classical firstorder predicate"	rdfs:subClassOf	"predicate"
s5.1	"classical firstorder"	rdfs:subClassOf	"firstorder"
s5.1	"firstorder predicate logic provers"	rdfs:member	"firstorder predicate logic"
s5.1	"generalpurpose classical firstorder predicate logic"	rdfs:member	"generalpurpose classical firstorder predicate"
s5.1	"firstorder predicate"	rdfs:subClassOf	"predicate"
s5.1	"generalpurpose classical firstorder"	rdfs:member	"generalpurpose classical"
s5.1	"firstorder predicate logic"	rdfs:subClassOf	"logic"
s5.1	"predicate logic"	rdfs:subClassOf	"logic"
s5.1	"classical firstorder predicate logic"	rdfs:member	"classical firstorder predicate"
s5.1	"predicate logic"	rdfs:member	"predicate"
s5.1	"logic provers"	rdfs:member	"logic"
s5.1	"firstorder predicate"	rdfs:member	"firstorder"
s5.1	"generalpurpose classical firstorder predicate logic"	rdfs:subClassOf	"logic"
s5.1	"generalpurpose classical firstorder predicate logic provers"	rdfs:member	"generalpurpose classical firstorder predicate logic"
s5.1	"predicate logic provers"	rdfs:subClassOf	"logic provers"
s5.1	"firstorder predicate logic provers"	rdfs:subClassOf	"predicate logic provers"
s5.1	"classical firstorder predicate logic provers"	rdfs:subClassOf	"firstorder predicate logic provers"
s5.1	"generalpurpose classical firstorder predicate logic provers"	rdfs:subClassOf	"classical firstorder predicate logic provers"
s5.1	"existing generalpurpose classical firstorder predicate logic provers"	rdfs:subClassOf	"generalpurpose classical firstorder predicate logic provers"
s5.1	"some experiments explore the feasibility of using existing generalpurpose classical firstorder predicate logic provers to reason with owl a description logic"	local:AM-PNC	"reason with OWL a Description Logic"
s5.1	"reason with owl a description logic"	rdfs:member	"description logic"
s5.1	"reason with owl a description logic"	rdfs:member	"reason"
s5.1	"reason with owl a description logic"	rdfs:member	"owl"
s5.1	"description logic"	rdfs:subClassOf	"logic"
s5.1	"description logic"	rdfs:member	"description"
s5.1	"reason with owl"	rdfs:member	"reason"
s5.1	"reason with owl"	rdfs:member	"owl"
s5	"some experiments designed to explore the feasibility of using existing generalpurpose classical firstorder predicate logic provers to reason with owl a description logic"
s5	"some experiments designed to explore the feasibility of using existing generalpurpose classical firstorder predicate logic provers to reason with owl a description logic"	rdf:subject	"experiments"
s5	"some experiments designed to explore the feasibility of using existing generalpurpose classical firstorder predicate logic provers to reason with owl a description logic"	rdf:predicate	"design"
s5	"some experiments designed to explore the feasibility of using existing generalpurpose classical firstorder predicate logic provers to reason with owl a description logic"	rdf:object	"explore the feasibility of using existing generalpurpose classical firstorder predicate logic provers"
s5	"explore the feasibility of using existing generalpurpose classical firstorder predicate logic provers"	rdfs:member	"feasibility"
s5	"explore the feasibility of using existing generalpurpose classical firstorder predicate logic provers"	rdfs:member	"generalpurpose classical firstorder predicate logic provers"
s5	"predicate logic provers"	rdfs:subClassOf	"provers"
s5	"generalpurpose classical"	rdfs:member	"generalpurpose"
s5	"predicate logic provers"	rdfs:member	"predicate logic"
s5	"classical firstorder predicate logic provers"	rdfs:member	"classical firstorder predicate logic"
s5	"firstorder predicate logic provers"	rdfs:subClassOf	"provers"
s5	"classical firstorder"	rdfs:member	"classical"
s5	"logic provers"	rdfs:subClassOf	"provers"
s5	"classical firstorder predicate logic provers"	rdfs:subClassOf	"provers"
s5	"generalpurpose classical firstorder predicate"	rdfs:member	"generalpurpose classical firstorder"
s5	"firstorder predicate logic"	rdfs:member	"firstorder predicate"
s5	"classical firstorder predicate logic"	rdfs:subClassOf	"logic"
s5	"classical firstorder predicate"	rdfs:member	"classical firstorder"
s5	"generalpurpose classical"	rdfs:subClassOf	"classical"
s5	"generalpurpose classical firstorder predicate logic provers"	rdfs:subClassOf	"provers"
s5	"generalpurpose classical firstorder"	rdfs:subClassOf	"firstorder"
s5	"generalpurpose classical firstorder predicate"	rdfs:subClassOf	"predicate"
s5	"classical firstorder predicate"	rdfs:subClassOf	"predicate"
s5	"classical firstorder"	rdfs:subClassOf	"firstorder"
