6	"semantic web technologies"	rdfs:subClassOf	"web technologies"
6	"use of semantic web technologies"	local:of_semanticwebtechnologies	"use"
6	"use of semantic web technologies"	local:use_of	"semantic web technologies"
6	"handling on file nested file collections"	local:on_filenestedfilecollections	"handling"
6	"handling on file nested file collections"	local:handling_on	"file nested file collections"
6	"include"	vn.role:Theme	"use of semantic web technologies"
6	"file collections"	rdfs:subClassOf	"collections"
6	"metadata constraints"	rdfs:subClassOf	"constraints"
6	"file"	rdfs:member	"file collections"
6	"metadata"	rdfs:member	"metadata constraints"
6	"nested file collections"	rdfs:subClassOf	"file collections"
6	"file nested file collections"	rdfs:subClassOf	"nested file collections"
6	"metadata constraints on file nested file collections"	local:on_filenestedfilecollections	"metadata constraints"
6	"metadata constraints on file nested file collections"	local:metadataconstraints_on	"file nested file collections"
6	"handling"	vn.role:object	"metadata constraints on file nested file collections"
7	"include"	vn.role:Location	"paper"
7	"include"	vn.role:Theme	"3"
7	"generate"	vn.role:Theme1	"sub-workflows"
7	"generate"	vn.role:Theme2	"metadata"
8	"needed"	vn.role:Patient	"metadata"
8	"workflow creation"	rdfs:subClassOf	"creation"
8	"workflow"	rdfs:member	"workflow creation"
8	"needed"	local:AM-PNC	"workflow creation"
9	"include"	vn.role:Location	"paper"
9	"workflow"	rdfs:member	"workflow component"
9	"workflow component"	rdfs:subClassOf	"component"
9	"metadata constraints"	rdfs:subClassOf	"constraints"
9	"metadata"	rdfs:member	"metadata constraints"
9	"propagation of metadata constraints"	local:of_metadataconstraints	"propagation"
9	"propagation of metadata constraints"	local:propagation_of	"metadata constraints"
9	"propagation of metadata constraints from inputs"	local:from_inputs	"propagation of metadata constraints"
9	"propagation of metadata constraints from inputs"	local:propagationofmetadataconstraints_from	"inputs"
9	"inputs to outputs"	local:to_outputs	"inputs"
9	"inputs to outputs"	local:inputs_to	"outputs"
9	"propagation of metadata constraints from inputs in workflow component"	local:in_workflowcomponent	"propagation of metadata constraints from inputs"
9	"propagation of metadata constraints from inputs in workflow component"	local:propagationofmetadataconstraintsfrominputs_in	"workflow component"
9	"include"	vn.role:Theme	"2"
10	"show"	vn.role:Agent	"we"
10	"science"	rdfs:member	"science application"
10	"new"	rdfs:member	"new files"
