8	"rdfs"	rdfs:member	"rdfs vocabulary"
8	"directly traversing"	rdfs:subClassOf	"traversing"
8	"semantics of rdfs vocabulary"	local:of_rdfsvocabulary	"semantics"
8	"semantics of rdfs vocabulary"	local:semantics_of	"rdfs vocabulary"
8	"considering"	vn.role:Theme	"semantics of rdfs vocabulary"
8	"rdfs"	rdfs:member	"rdfs vocabulary"
8	"rdfs vocabulary"	rdfs:subClassOf	"vocabulary"
8	"semantics of rdfs vocabulary"	local:of_rdfsvocabulary	"semantics"
8	"semantics of rdfs vocabulary"	local:semantics_of	"rdfs vocabulary"
8	"traversing"	vn.role:Theme1	"semantics of rdfs vocabulary"
8	"traversing"	local:AM-MNR	"directly"
8	"input"	rdfs:member	"input graph"
8	"input graph"	rdfs:subClassOf	"graph"
8	"traversing"	vn.role:Theme2	"input graph"
9	"show"	local:AM-ADV	"expressiveness"
9	"show"	vn.role:Agent	"we"
9	"answer"	vn.role:Agent	"nsparql"
9	"answer"	vn.role:Predicate	"queries"
10	"show"	vn.role:Agent	"we"
10	"show"	local:AM-DIS	"also"
10	"last"	rdfs:member	"last result"
10	"last result"	rdfs:subClassOf	"result"
10	"show"	vn.role:Theme	"necessary"
10	"obtain"	vn.role:Asset	"we"
10	"last"	rdfs:member	"last result"
10	"last result"	rdfs:subClassOf	"result"
10	"obtain"	vn.role:object	"last result"
11	"study"	vn.role:Agent	"we"
11	"nested regular expressions"	rdfs:subClassOf	"expressions"
11	"nested regular"	rdfs:member	"nested regular expressions"
11	"regular"	rdfs:member	"regular expressions"
11	"regular expressions"	rdfs:subClassOf	"expressions"
11	"nested regular"	rdfs:subClassOf	"regular"
11	"nested"	rdfs:member	"nested regular"
11	"nested regular expressions"	rdfs:subClassOf	"regular expressions"
11	"expressiveness of combination"	local:of_combination	"expressiveness"
11	"expressiveness of combination"	local:expressiveness_of	"combination"
11	"combination of nested regular expressions"	local:of_nestedregularexpressions	"combination"
11	"combination of nested regular expressions"	local:combination_of	"nested regular expressions"
11	"study"	vn.role:Theme	"expressiveness of combination"
12	"study"	vn.role:Agent	"we"
12	"sparql"	rdfs:member	"sparql operators"
12	"sparql operators"	rdfs:subClassOf	"operators"
12	"expressiveness of combination"	local:of_combination	"expressiveness"
12	"expressiveness of combination"	local:expressiveness_of	"combination"
12	"combination of sparql operators"	local:of_sparqloperators	"combination"
12	"combination of sparql operators"	local:combination_of	"sparql operators"
12	"study"	vn.role:Theme	"expressiveness of combination"
13	"complexity of evaluation"	local:of_evaluation	"complexity"
13	"complexity of evaluation"	local:complexity_of	"evaluation"
13	"prove"	local:AM-ADV	"complexity of evaluation"
13	"prove"	vn.role:Agent	"we"
13	"regular expression e"	rdfs:subClassOf	"e"
13	"rdf graph"	rdfs:member	"rdf graph g"
13	"regular expression"	rdfs:subClassOf	"expression"
13	"rdf graph g"	rdfs:subClassOf	"g"
13	"time o"	rdfs:subClassOf	"o"
13	"graph g"	rdfs:subClassOf	"g"
13	"time"	rdfs:member	"time o"
13	"regular"	rdfs:member	"regular expression"
13	"nested regular expression"	rdfs:subClassOf	"expression"
13	"regular expression"	rdfs:member	"regular expression e"
13	"rdf"	rdfs:member	"rdf graph"
13	"nested regular"	rdfs:subClassOf	"regular"
13	"expression"	rdfs:member	"expression e"
13	"rdf graph"	rdfs:subClassOf	"graph"
13	"graph"	rdfs:member	"graph g"
13	"nested regular expression"	rdfs:member	"nested regular expression e"
13	"nested regular expression e"	rdfs:subClassOf	"e"
13	"nested"	rdfs:member	"nested regular"
13	"nested regular"	rdfs:member	"nested regular expression"
13	"expression e"	rdfs:subClassOf	"e"
13	"can computed"	rdfs:subClassOf	"computed"
13	"rdf graph g"	rdfs:subClassOf	"graph g"
13	"nested regular expression"	rdfs:subClassOf	"regular expression"
13	"evaluation of nested regular expression"	local:of_nestedregularexpression	"evaluation"
13	"evaluation of nested regular expression"	local:evaluation_of	"nested regular expression"
13	"e over rdf graph g"	local:over_rdfgraphg	"e"
13	"e over rdf graph g"	local:e_over	"rdf graph g"
13	"can computed in time o"	local:in_timeo	"can computed"
13	"can computed in time o"	local:cancomputed_in	"time o"
13	"prove"	vn.role:Theme	"evaluation of nested regular expression"
13	"regular expression e"	rdfs:subClassOf	"e"
13	"rdf graph"	rdfs:member	"rdf graph g"
13	"regular expression"	rdfs:subClassOf	"expression"
13	"rdf graph g"	rdfs:subClassOf	"g"
13	"graph g"	rdfs:subClassOf	"g"
13	"regular"	rdfs:member	"regular expression"
13	"nested regular expression"	rdfs:subClassOf	"expression"
13	"regular expression"	rdfs:member	"regular expression e"
13	"rdf"	rdfs:member	"rdf graph"
13	"nested regular"	rdfs:subClassOf	"regular"
13	"expression"	rdfs:member	"expression e"
13	"rdf graph"	rdfs:subClassOf	"graph"
13	"graph"	rdfs:member	"graph g"
13	"nested regular expression"	rdfs:member	"nested regular expression e"
13	"nested regular expression e"	rdfs:subClassOf	"e"
13	"nested"	rdfs:member	"nested regular"
13	"nested regular"	rdfs:member	"nested regular expression"
13	"expression e"	rdfs:subClassOf	"e"
13	"rdf graph g"	rdfs:subClassOf	"graph g"
13	"nested regular expression"	rdfs:subClassOf	"regular expression"
13	"evaluation of nested regular expression"	local:of_nestedregularexpression	"evaluation"
13	"evaluation of nested regular expression"	local:evaluation_of	"nested regular expression"
