5	"number of research directions"	local:of_researchdirections	"number"
5	"number of research directions"	local:number_of	"research directions"
5	"enables"	vn.role:Patient	"number of research directions"
6	"research"	rdfs:member	"research directions"
6	"research directions"	rdfs:subClassOf	"directions"
6	"contributing"	vn.role:Theme1	"research directions"
6	"semantic web"	rdfs:subClassOf	"web"
6	"semantic"	rdfs:member	"semantic web"
6	"meaningful semantic web"	rdfs:subClassOf	"web"
6	"meaningful semantic"	rdfs:member	"meaningful semantic web"
6	"meaningful"	rdfs:member	"meaningful semantic"
6	"meaningful semantic"	rdfs:subClassOf	"semantic"
6	"meaningful semantic web"	rdfs:subClassOf	"semantic web"
6	"realization of meaningful semantic web"	local:of_meaningfulsemanticweb	"realization"
6	"realization of meaningful semantic web"	local:realization_of	"meaningful semantic web"
6	"contributing"	vn.role:indirect_object	"realization of meaningful semantic web"
7	"encyclopedic knowledge patterns"	rdfs:subClassOf	"patterns"
7	"knowledge patterns"	rdfs:subClassOf	"patterns"
7	"knowledge"	rdfs:member	"knowledge patterns"
7	"encyclopedic"	rdfs:member	"encyclopedic knowledge"
7	"encyclopedic knowledge"	rdfs:subClassOf	"knowledge"
7	"encyclopedic knowledge"	rdfs:member	"encyclopedic knowledge patterns"
7	"encyclopedic knowledge patterns"	rdfs:subClassOf	"knowledge patterns"
7	"discovered"	vn.role:Theme	"encyclopedic knowledge patterns"
7	"wikipedia page"	rdfs:subClassOf	"page"
7	"wikipedia page links"	rdfs:member	"wikipedia page links dataset"
7	"wikipedia page"	rdfs:member	"wikipedia page links"
7	"page links"	rdfs:member	"page links dataset"
7	"links"	rdfs:member	"links dataset"
7	"wikipedia page links dataset"	rdfs:subClassOf	"dataset"
7	"links dataset"	rdfs:subClassOf	"dataset"
7	"page links"	rdfs:subClassOf	"links"
7	"wikipedia"	rdfs:member	"wikipedia page"
7	"page"	rdfs:member	"page links"
7	"wikipedia page links"	rdfs:subClassOf	"links"
7	"page links dataset"	rdfs:subClassOf	"dataset"
7	"wikipedia page links"	rdfs:subClassOf	"page links"
7	"discovered"	vn.role:Agent	"dataset"
7	"wikipedia page"	rdfs:subClassOf	"page"
7	"wikipedia page links"	rdfs:member	"wikipedia page links dataset"
7	"wikipedia page"	rdfs:member	"wikipedia page links"
7	"page links"	rdfs:member	"page links dataset"
7	"links"	rdfs:member	"links dataset"
7	"encyclopedic knowledge patterns"	rdfs:subClassOf	"patterns"
7	"wikipedia page links dataset"	rdfs:subClassOf	"dataset"
7	"links dataset"	rdfs:subClassOf	"dataset"
7	"knowledge patterns"	rdfs:subClassOf	"patterns"
7	"page links"	rdfs:subClassOf	"links"
7	"wikipedia"	rdfs:member	"wikipedia page"
7	"wikipedia page links"	rdfs:subClassOf	"links"
7	"page"	rdfs:member	"page links"
7	"knowledge"	rdfs:member	"knowledge patterns"
7	"encyclopedic"	rdfs:member	"encyclopedic knowledge"
7	"encyclopedic knowledge"	rdfs:subClassOf	"knowledge"
7	"encyclopedic knowledge"	rdfs:member	"encyclopedic knowledge patterns"
7	"page links dataset"	rdfs:subClassOf	"dataset"
7	"wikipedia page links"	rdfs:subClassOf	"page links"
7	"have discovered"	rdfs:subClassOf	"discovered"
7	"encyclopedic knowledge patterns"	rdfs:subClassOf	"knowledge patterns"
7	"describe"	vn.role:Agent	"dataset"
7	"wikipedia page"	rdfs:subClassOf	"page"
7	"wikipedia page links"	rdfs:member	"wikipedia page links evaluation"
7	"wikipedia page"	rdfs:member	"wikipedia page links"
7	"links"	rdfs:member	"links evaluation"
7	"user study"	rdfs:subClassOf	"study"
7	"links evaluation"	rdfs:subClassOf	"evaluation"
7	"page links"	rdfs:member	"page links evaluation"
7	"page links"	rdfs:subClassOf	"links"
7	"wikipedia"	rdfs:member	"wikipedia page"
7	"page links evaluation"	rdfs:subClassOf	"evaluation"
7	"page"	rdfs:member	"page links"
7	"wikipedia page links evaluation"	rdfs:subClassOf	"evaluation"
7	"wikipedia page links"	rdfs:subClassOf	"links"
7	"user"	rdfs:member	"user study"
7	"page links evaluation"	rdfs:subClassOf	"links evaluation"
7	"wikipedia page links evaluation"	rdfs:subClassOf	"page links evaluation"
7	"wikipedia page links evaluation with user study"	local:with_userstudy	"wikipedia page links evaluation"
7	"wikipedia page links evaluation with user study"	local:wikipediapagelinksevaluation_with	"user study"
7	"describe"	vn.role:Theme	"wikipedia page links evaluation with user study"
8	"present"	local:AM-LOC	"paper"
8	"present"	vn.role:Agent	"we"
8	"encyclopedic knowledge patterns"	rdfs:subClassOf	"patterns"
8	"knowledge patterns"	rdfs:subClassOf	"patterns"
8	"knowledge"	rdfs:member	"knowledge patterns"
8	"encyclopedic"	rdfs:member	"encyclopedic knowledge"
8	"encyclopedic knowledge"	rdfs:subClassOf	"knowledge"
8	"encyclopedic knowledge"	rdfs:member	"encyclopedic knowledge patterns"
8	"encyclopedic knowledge patterns"	rdfs:subClassOf	"knowledge patterns"
8	"resource of encyclopedic knowledge patterns"	local:of_encyclopedicknowledgepatterns	"resource"
8	"resource of encyclopedic knowledge patterns"	local:resource_of	"encyclopedic knowledge patterns"
8	"present"	vn.role:Theme	"resource of encyclopedic knowledge patterns"
