6	"basis of statistics"	local:of_statistics	"basis"
6	"basis of statistics"	local:basis_of	"statistics"
6	"statistics about tags"	local:about_tags	"statistics"
6	"statistics about tags"	local:statistics_about	"tags"
6	"pertain to resource"	local:to_resource	"pertain"
6	"pertain to resource"	local:pertain_to	"resource"
6	"build"	local:AM-MNR	"basis of statistics"
6	"disregarding"	vn.role:Agent	"tags"
6	"additional"	rdfs:member	"additional evidence"
6	"additional evidence"	rdfs:subClassOf	"evidence"
6	"pertain to resource"	local:to_resource	"pertain"
6	"pertain to resource"	local:pertain_to	"resource"
6	"disregarding"	vn.role:Theme	"additional evidence"
6	"additional"	rdfs:member	"additional evidence"
6	"additional evidence"	rdfs:subClassOf	"evidence"
6	"pertain"	vn.role:Agent	"additional evidence"
6	"pertain"	vn.role:Recipient	"resource"
7	"common practice"	rdfs:subClassOf	"practice"
7	"common"	rdfs:member	"common practice"
7	"build"	vn.role:Agent	"common practice"
7	"tag-based resource"	rdfs:subClassOf	"resource"
7	"tag-based"	rdfs:member	"tag-based resource"
7	"build"	vn.role:Material	"tag-based resource"
7	"tag"	rdfs:member	"tag assignment"
7	"additional"	rdfs:member	"additional evidence"
7	"tag assignment"	rdfs:subClassOf	"assignment"
7	"additional evidence"	rdfs:subClassOf	"evidence"
7	"basis of statistics"	local:of_statistics	"basis"
7	"basis of statistics"	local:basis_of	"statistics"
7	"statistics about tags"	local:about_tags	"statistics"
7	"statistics about tags"	local:statistics_about	"tags"
7	"pertain to tag assignment"	local:to_tagassignment	"pertain"
7	"pertain to tag assignment"	local:pertain_to	"tag assignment"
7	"build"	local:AM-MNR	"basis of statistics"
7	"disregarding"	vn.role:Agent	"tags"
7	"tag"	rdfs:member	"tag assignment"
7	"additional"	rdfs:member	"additional evidence"
7	"tag assignment"	rdfs:subClassOf	"assignment"
7	"additional evidence"	rdfs:subClassOf	"evidence"
7	"pertain to tag assignment"	local:to_tagassignment	"pertain"
7	"pertain to tag assignment"	local:pertain_to	"tag assignment"
7	"disregarding"	vn.role:Theme	"additional evidence"
7	"additional"	rdfs:member	"additional evidence"
7	"additional evidence"	rdfs:subClassOf	"evidence"
7	"pertain"	vn.role:Agent	"additional evidence"
7	"tag"	rdfs:member	"tag assignment"
7	"tag assignment"	rdfs:subClassOf	"assignment"
7	"pertain"	vn.role:Theme	"tag assignment"
7	"pertain"	vn.role:Recipient	"tag"
8	"main bulk"	rdfs:subClassOf	"bulk"
8	"valuable"	rdfs:member	"valuable information"
8	"valuable information"	rdfs:subClassOf	"information"
8	"main"	rdfs:member	"main bulk"
8	"main bulk of valuable information"	local:of_valuableinformation	"main bulk"
8	"main bulk of valuable information"	local:mainbulk_of	"valuable information"
8	"ignored"	vn.role:Theme	"thus"
8	"user"	rdfs:member	"user profiles"
8	"user profiles"	rdfs:subClassOf	"profiles"
8	"ignored"	local:AM-TMP	"generating"
8	"main bulk"	rdfs:subClassOf	"bulk"
8	"valuable"	rdfs:member	"valuable information"
8	"valuable information"	rdfs:subClassOf	"information"
8	"main"	rdfs:member	"main bulk"
8	"main bulk of valuable information"	local:of_valuableinformation	"main bulk"
8	"main bulk of valuable information"	local:mainbulk_of	"valuable information"
8	"generating"	vn.role:Theme1	"thus"
8	"user"	rdfs:member	"user profiles"
8	"user profiles"	rdfs:subClassOf	"profiles"
8	"generating"	vn.role:Theme2	"user profiles"
9	"main bulk"	rdfs:subClassOf	"bulk"
9	"valuable"	rdfs:member	"valuable information"
9	"valuable information"	rdfs:subClassOf	"information"
9	"main"	rdfs:member	"main bulk"
9	"main bulk of valuable information"	local:of_valuableinformation	"main bulk"
9	"main bulk of valuable information"	local:mainbulk_of	"valuable information"
9	"ignored"	vn.role:Theme	"thus"
9	"resource"	rdfs:member	"resource profiles"
9	"resource profiles"	rdfs:subClassOf	"profiles"
9	"ignored"	local:AM-TMP	"generating"
9	"main bulk"	rdfs:subClassOf	"bulk"
9	"valuable"	rdfs:member	"valuable information"
9	"valuable information"	rdfs:subClassOf	"information"
9	"main"	rdfs:member	"main bulk"
9	"main bulk of valuable information"	local:of_valuableinformation	"main bulk"
9	"main bulk of valuable information"	local:mainbulk_of	"valuable information"
9	"generating"	vn.role:Theme1	"thus"
9	"resource"	rdfs:member	"resource profiles"
9	"resource profiles"	rdfs:subClassOf	"profiles"
9	"generating"	vn.role:Theme2	"resource profiles"
