7	"need"	vn.role:Patient	"accurate ontology of research topics"
8	"crafted"	vn.role:object	"classifications"
8	"crafted classifications"	rdfs:subClassOf	"classifications"
8	"human crafted classifications"	rdfs:subClassOf	"crafted classifications"
8	"unfortunately human crafted classifications"	rdfs:subClassOf	"human crafted classifications"
8	"tend"	vn.role:Location	"unfortunately human crafted classifications"
8	"tend"	local:AM-NEG	"not"
8	"tend"	vn.role:indirect_object	"coarse-grained"
9	"crafted"	vn.role:object	"classifications"
9	"crafted"	vn.role:object	"classifications"
9	"crafted classifications"	rdfs:subClassOf	"classifications"
9	"human crafted classifications"	rdfs:subClassOf	"crafted classifications"
9	"unfortunately human crafted classifications"	rdfs:subClassOf	"human crafted classifications"
9	"satisfy"	vn.role:Experiencer	"unfortunately human crafted classifications"
9	"satisfy"	local:AM-NEG	"not"
9	"satisfy"	vn.role:Cause	"criteria"
9	"slowly evolve"	rdfs:subClassOf	"evolve"
9	"too slowly"	rdfs:subClassOf	"slowly"
9	"crafted classifications"	rdfs:subClassOf	"classifications"
9	"human crafted classifications"	rdfs:subClassOf	"crafted classifications"
9	"satisfy"	vn.role:indirect_object	"slowly evolve"
9	"crafted classifications"	rdfs:subClassOf	"classifications"
9	"human crafted classifications"	rdfs:subClassOf	"crafted classifications"
9	"evolve"	vn.role:Location	"human crafted classifications"
9	"evolve"	local:AM-MNR	"slowly"
10	"help"	local:AM-MOD	"can"
10	"two topics"	rdfs:subClassOf	"topics"
10	"relation between two topics"	local:between_twotopics	"relation"
10	"relation between two topics"	local:relation_between	"two topics"
10	"help"	vn.role:Beneficiary	"understand"
10	"two topics"	rdfs:subClassOf	"topics"
10	"relation between two topics"	local:between_twotopics	"relation"
10	"relation between two topics"	local:relation_between	"two topics"
10	"understand"	vn.role:Proposition	"relation between two topics"
11	"help"	local:AM-MOD	"can"
11	"two topics"	rdfs:subClassOf	"topics"
11	"relation between two topics"	local:between_twotopics	"relation"
11	"relation between two topics"	local:relation_between	"two topics"
11	"help"	vn.role:Beneficiary	"understand"
11	"indirect"	rdfs:member	"indirect semantic"
11	"semantic"	rdfs:member	"semantic relationships"
11	"indirect semantic"	rdfs:member	"indirect semantic relationships"
11	"indirect semantic relationships"	rdfs:subClassOf	"relationships"
11	"semantic relationships"	rdfs:subClassOf	"relationships"
11	"indirect semantic"	rdfs:subClassOf	"semantic"
11	"indirect semantic relationships"	rdfs:subClassOf	"semantic relationships"
11	"understand"	vn.role:Agent	"indirect semantic relationships"
11	"two topics"	rdfs:subClassOf	"topics"
11	"relation between two topics"	local:between_twotopics	"relation"
11	"relation between two topics"	local:relation_between	"two topics"
11	"understand"	vn.role:Proposition	"relation between two topics"
12	"research"	rdfs:member	"research areas"
12	"research areas"	rdfs:subClassOf	"areas"
12	"ontologies of research areas"	local:of_researchareas	"ontologies"
12	"ontologies of research areas"	local:ontologies_of	"research areas"
12	"generating"	vn.role:Theme2	"ontologies of research areas"
12	"research"	rdfs:member	"research areas"
12	"research areas"	rdfs:subClassOf	"areas"
12	"ontologies of research areas"	local:of_researchareas	"ontologies"
12	"ontologies of research areas"	local:ontologies_of	"research areas"
12	"generating"	vn.role:Theme2	"ontologies of research areas"
12	"research"	rdfs:member	"research areas"
12	"research areas"	rdfs:subClassOf	"areas"
12	"automated methods"	rdfs:subClassOf	"methods"
12	"current automated methods"	rdfs:subClassOf	"automated methods"
12	"ontologies of research areas"	local:of_researchareas	"ontologies"
12	"ontologies of research areas"	local:ontologies_of	"research areas"
12	"present"	vn.role:Agent	"current automated methods"
12	"present"	local:AM-DIS	"also"
12	"automated methods"	rdfs:subClassOf	"methods"
12	"current automated methods"	rdfs:subClassOf	"automated methods"
12	"number of limitations"	local:of_limitations	"number"
12	"number of limitations"	local:number_of	"limitations"
12	"limitations such_as i"	local:such_as_i	"limitations"
12	"limitations such_as i"	local:limitations_such_as	"i"
12	"present"	vn.role:Theme	"number of limitations"
12	"rich"	rdfs:member	"rich amount"
12	"indirect"	rdfs:member	"indirect semantic"
12	"semantic"	rdfs:member	"semantic relationships"
12	"research"	rdfs:member	"research areas"
12	"indirect semantic"	rdfs:member	"indirect semantic relationships"
12	"indirect semantic relationships"	rdfs:subClassOf	"relationships"
12	"semantic relationships"	rdfs:subClassOf	"relationships"
12	"research areas"	rdfs:subClassOf	"areas"
12	"indirect semantic"	rdfs:subClassOf	"semantic"
12	"rich amount"	rdfs:subClassOf	"amount"
12	"indirect semantic relationships"	rdfs:subClassOf	"semantic relationships"
12	"not consider"	rdfs:subClassOf	"consider"
12	"do not consider"	rdfs:subClassOf	"not consider"
12	"ontologies of research areas"	local:of_researchareas	"ontologies"
12	"ontologies of research areas"	local:ontologies_of	"research areas"
12	"rich amount of indirect semantic relationships"	local:of_indirectsemanticrelationships	"rich amount"
12	"rich amount of indirect semantic relationships"	local:richamount_of	"indirect semantic relationships"
12	"present"	local:AM-PNC	"do not consider"
12	"research"	rdfs:member	"research areas"
12	"research areas"	rdfs:subClassOf	"areas"
12	"automated methods"	rdfs:subClassOf	"methods"
12	"current automated methods"	rdfs:subClassOf	"automated methods"
12	"ontologies of research areas"	local:of_researchareas	"ontologies"
12	"ontologies of research areas"	local:ontologies_of	"research areas"
12	"consider"	vn.role:Agent	"current automated methods"
12	"research"	rdfs:member	"research areas"
12	"research areas"	rdfs:subClassOf	"areas"
12	"automated methods"	rdfs:subClassOf	"methods"
12	"current automated methods"	rdfs:subClassOf	"automated methods"
12	"ontologies of research areas"	local:of_researchareas	"ontologies"
12	"ontologies of research areas"	local:ontologies_of	"research areas"
12	"consider"	vn.role:Agent	"current automated methods"
12	"consider"	local:AM-NEG	"not"
12	"rich"	rdfs:member	"rich amount"
12	"indirect"	rdfs:member	"indirect semantic"
12	"semantic"	rdfs:member	"semantic relationships"
12	"indirect semantic"	rdfs:member	"indirect semantic relationships"
12	"indirect semantic relationships"	rdfs:subClassOf	"relationships"
12	"semantic relationships"	rdfs:subClassOf	"relationships"
12	"indirect semantic"	rdfs:subClassOf	"semantic"
12	"rich amount"	rdfs:subClassOf	"amount"
12	"indirect semantic relationships"	rdfs:subClassOf	"semantic relationships"
12	"rich amount of indirect semantic relationships"	local:of_indirectsemanticrelationships	"rich amount"
12	"rich amount of indirect semantic relationships"	local:richamount_of	"indirect semantic relationships"
12	"consider"	vn.role:Theme	"rich amount of indirect semantic relationships"
13	"research"	rdfs:member	"research areas"
13	"research areas"	rdfs:subClassOf	"areas"
13	"ontologies of research areas"	local:of_researchareas	"ontologies"
13	"ontologies of research areas"	local:ontologies_of	"research areas"
13	"generating"	vn.role:Theme2	"ontologies of research areas"
13	"research"	rdfs:member	"research areas"
13	"research areas"	rdfs:subClassOf	"areas"
13	"ontologies of research areas"	local:of_researchareas	"ontologies"
13	"ontologies of research areas"	local:ontologies_of	"research areas"
13	"generating"	vn.role:Theme2	"ontologies of research areas"
13	"research"	rdfs:member	"research areas"
13	"research areas"	rdfs:subClassOf	"areas"
13	"automated methods"	rdfs:subClassOf	"methods"
13	"current automated methods"	rdfs:subClassOf	"automated methods"
13	"ontologies of research areas"	local:of_researchareas	"ontologies"
13	"ontologies of research areas"	local:ontologies_of	"research areas"
13	"present"	vn.role:Agent	"current automated methods"
13	"present"	local:AM-DIS	"also"
13	"automated methods"	rdfs:subClassOf	"methods"
13	"current automated methods"	rdfs:subClassOf	"automated methods"
13	"number of limitations"	local:of_limitations	"number"
13	"number of limitations"	local:number_of	"limitations"
13	"limitations such_as i"	local:such_as_i	"limitations"
13	"limitations such_as i"	local:limitations_such_as	"i"
13	"present"	vn.role:Theme	"number of limitations"
13	"rich"	rdfs:member	"rich amount"
13	"indirect statistical"	rdfs:member	"indirect statistical relationships"
13	"research"	rdfs:member	"research areas"
13	"statistical relationships"	rdfs:subClassOf	"relationships"
13	"indirect"	rdfs:member	"indirect statistical"
13	"research areas"	rdfs:subClassOf	"areas"
13	"indirect statistical"	rdfs:subClassOf	"statistical"
13	"rich amount"	rdfs:subClassOf	"amount"
13	"indirect statistical relationships"	rdfs:subClassOf	"relationships"
13	"statistical"	rdfs:member	"statistical relationships"
13	"indirect statistical relationships"	rdfs:subClassOf	"statistical relationships"
13	"not consider"	rdfs:subClassOf	"consider"
13	"do not consider"	rdfs:subClassOf	"not consider"
13	"ontologies of research areas"	local:of_researchareas	"ontologies"
13	"ontologies of research areas"	local:ontologies_of	"research areas"
13	"rich amount of indirect statistical relationships"	local:of_indirectstatisticalrelationships	"rich amount"
13	"rich amount of indirect statistical relationships"	local:richamount_of	"indirect statistical relationships"
13	"present"	local:AM-PNC	"do not consider"
13	"research"	rdfs:member	"research areas"
13	"research areas"	rdfs:subClassOf	"areas"
13	"automated methods"	rdfs:subClassOf	"methods"
13	"current automated methods"	rdfs:subClassOf	"automated methods"
13	"ontologies of research areas"	local:of_researchareas	"ontologies"
13	"ontologies of research areas"	local:ontologies_of	"research areas"
13	"consider"	vn.role:Agent	"current automated methods"
13	"research"	rdfs:member	"research areas"
13	"research areas"	rdfs:subClassOf	"areas"
13	"automated methods"	rdfs:subClassOf	"methods"
13	"current automated methods"	rdfs:subClassOf	"automated methods"
13	"ontologies of research areas"	local:of_researchareas	"ontologies"
13	"ontologies of research areas"	local:ontologies_of	"research areas"
13	"consider"	vn.role:Agent	"current automated methods"
13	"consider"	local:AM-NEG	"not"
13	"rich"	rdfs:member	"rich amount"
13	"indirect statistical"	rdfs:member	"indirect statistical relationships"
13	"statistical relationships"	rdfs:subClassOf	"relationships"
13	"indirect"	rdfs:member	"indirect statistical"
13	"indirect statistical"	rdfs:subClassOf	"statistical"
13	"rich amount"	rdfs:subClassOf	"amount"
13	"indirect statistical relationships"	rdfs:subClassOf	"relationships"
13	"statistical"	rdfs:member	"statistical relationships"
13	"indirect statistical relationships"	rdfs:subClassOf	"statistical relationships"
13	"rich amount of indirect statistical relationships"	local:of_indirectstatisticalrelationships	"rich amount"
13	"rich amount of indirect statistical relationships"	local:richamount_of	"indirect statistical relationships"
13	"consider"	vn.role:Theme	"rich amount of indirect statistical relationships"
14	"present"	local:AM-LOC	"paper"
14	"present"	vn.role:Agent	"we"
14	"present"	vn.role:Theme	"klink-2"
14	"knowledge sources"	rdfs:subClassOf	"sources"
14	"knowledge"	rdfs:member	"knowledge sources"
14	"available sources"	rdfs:subClassOf	"sources"
14	"available sources taking"	rdfs:subClassOf	"taking"
14	"knowledge available sources"	rdfs:subClassOf	"available sources"
14	"a knowledge available sources"	rdfs:subClassOf	"knowledge available sources"
14	"available on web"	local:on_web	"available"
14	"available on web"	local:available_on	"web"
14	"present"	local:AM-MNR	"available sources taking"
14	"taking"	vn.role:Agent	"we"
14	"taking"	vn.role:Theme	"advantage"
14	"knowledge sources"	rdfs:subClassOf	"sources"
14	"knowledge"	rdfs:member	"knowledge sources"
14	"available sources"	rdfs:subClassOf	"sources"
14	"knowledge available sources"	rdfs:subClassOf	"available sources"
14	"variety of knowledge available sources"	local:of_knowledgeavailablesources	"variety"
14	"variety of knowledge available sources"	local:variety_of	"knowledge available sources"
14	"available on web"	local:on_web	"available"
14	"available on web"	local:available_on	"web"
