4	"multi-version"	rdfs:member	"multi-version reasoning"
4	"presence of multi-version reasoning"	local:of_multi-versionreasoning	"presence"
4	"presence of multi-version reasoning"	local:presence_of	"multi-version reasoning"
4	"repairing"	local:AM-LOC	"presence of multi-version reasoning"
5	"survey"	local:AM-LOC	"paper"
5	"survey"	vn.role:Agent	"we"
5	"different approaches"	rdfs:subClassOf	"approaches"
5	"different"	rdfs:member	"different approaches"
5	"four different approaches"	rdfs:subClassOf	"different approaches"
5	"survey"	vn.role:Location	"four different approaches"
5	"dl-based ontologies"	rdfs:subClassOf	"ontologies"
5	"dl-based"	rdfs:member	"dl-based ontologies"
5	"handling in dl-based ontologies"	local:in_dl-basedontologies	"handling"
5	"handling in dl-based ontologies"	local:handling_in	"dl-based ontologies"
5	"survey"	vn.role:Theme	"handling in dl-based ontologies"
5	"reasoning in presence"	local:in_presence	"reasoning"
5	"reasoning in presence"	local:reasoning_in	"presence"
5	"presence of inconsistencies"	local:of_inconsistencies	"presence"
5	"presence of inconsistencies"	local:presence_of	"inconsistencies"
5	"survey"	local:AM-ADV	"repairing"
5	"handling"	vn.role:Theme	"we"
5	"dl-based ontologies"	rdfs:subClassOf	"ontologies"
5	"dl-based"	rdfs:member	"dl-based ontologies"
5	"inconsistency in dl-based ontologies"	local:in_dl-basedontologies	"inconsistency"
5	"inconsistency in dl-based ontologies"	local:inconsistency_in	"dl-based ontologies"
5	"handling"	vn.role:object	"inconsistency in dl-based ontologies"
5	"repairing"	local:AM-LOC	"paper"
5	"repairing"	vn.role:Experiencer	"we"
5	"inconsistencies reasoning"	local:_reasoning	"inconsistencies"
5	"inconsistencies reasoning"	local:inconsistencies_	"reasoning"
5	"reasoning in presence"	local:in_presence	"reasoning"
5	"reasoning in presence"	local:reasoning_in	"presence"
5	"presence of inconsistencies"	local:of_inconsistencies	"presence"
5	"presence of inconsistencies"	local:presence_of	"inconsistencies"
5	"repairing"	vn.role:Cause	"inconsistencies reasoning"
6	"use"	vn.role:Agent	"we"
6	"common basis"	rdfs:subClassOf	"basis"
6	"common"	rdfs:member	"common basis"
6	"use"	vn.role:Theme	"common basis"
6	"use"	vn.role:Recipient	"compare"
6	"compare"	vn.role:Patient1	"we"
6	"compare"	vn.role:Patient2	"approaches"
7	"present"	vn.role:Agent	"we"
7	"formal basis"	rdfs:subClassOf	"basis"
7	"common formal"	rdfs:subClassOf	"formal"
7	"common formal"	rdfs:member	"common formal basis"
7	"common"	rdfs:member	"common formal"
7	"common formal basis"	rdfs:subClassOf	"basis"
7	"formal"	rdfs:member	"formal basis"
7	"them basis"	rdfs:subClassOf	"basis"
7	"all them"	rdfs:subClassOf	"them"
7	"formal them basis"	rdfs:subClassOf	"them basis"
7	"common formal them basis"	rdfs:subClassOf	"formal them basis"
7	"present"	vn.role:Theme	"common formal them basis"
8	"discuss"	vn.role:Patient1	"we"
8	"discuss"	vn.role:Patient2	"conditions"
9	"discuss"	vn.role:Patient1	"we"
9	"different"	rdfs:member	"different requirements"
9	"different requirements"	rdfs:subClassOf	"requirements"
9	"different requirements for each"	local:for_each	"different requirements"
9	"different requirements for each"	local:differentrequirements_for	"each"
9	"each of methods"	local:of_methods	"each"
9	"each of methods"	local:each_of	"methods"
9	"discuss"	vn.role:Patient2	"different requirements for each"
11	"discuss"	vn.role:Patient1	"we"
11	"different usage scenarios"	rdfs:subClassOf	"scenarios"
11	"different"	rdfs:member	"different usage"
11	"usage scenarios"	rdfs:subClassOf	"scenarios"
11	"different usage"	rdfs:subClassOf	"usage"
11	"different usage"	rdfs:member	"different usage scenarios"
11	"usage"	rdfs:member	"usage scenarios"
11	"would apply"	rdfs:subClassOf	"apply"
11	"different usage scenarios"	rdfs:subClassOf	"usage scenarios"
11	"would apply to different usage scenarios"	local:to_differentusagescenarios	"would apply"
11	"would apply to different usage scenarios"	local:wouldapply_to	"different usage scenarios"
11	"discuss"	vn.role:Patient2	"different usage scenarios"
