5	"set of requirements"	local:of_requirements	"set"
5	"set of requirements"	local:set_of	"requirements"
5	"requirements against offerings"	local:against_offerings	"requirements"
5	"requirements against offerings"	local:requirements_against	"offerings"
5	"offerings of existing work"	local:of_existingwork	"offerings"
5	"offerings of existing work"	local:offerings_of	"existing work"
5	"real-life grid applications such_as owl-s"	local:such_as_owl-s	"real-life grid applications"
5	"real-life grid applications such_as owl-s"	local:real-lifegridapplications_such_as	"owl-s"
5	"gained"	vn.role:Patient	"development of real-life grid applications"
5	"produce"	vn.role:Agent	"we"
5	"existing work"	rdfs:subClassOf	"work"
5	"set of requirements"	local:of_requirements	"set"
5	"set of requirements"	local:set_of	"requirements"
5	"requirements against offerings"	local:against_offerings	"requirements"
5	"requirements against offerings"	local:requirements_against	"offerings"
5	"offerings of existing work"	local:of_existingwork	"offerings"
5	"offerings of existing work"	local:offerings_of	"existing work"
5	"set of requirements such_as owl-s"	local:such_as_owl-s	"set of requirements"
5	"set of requirements such_as owl-s"	local:setofrequirements_such_as	"owl-s"
5	"produce"	vn.role:Product	"set of requirements such_as owl-s"
5	"match"	vn.role:Patient2	"requirements"
5	"existing"	vn.role:Location	"work"
6	"based"	vn.role:indirect_object	"analysis"
6	"based"	vn.role:Cause	"we"
6	"identify"	local:AM-ADV	"analysis"
6	"identify"	vn.role:Agent	"we"
6	"current"	rdfs:member	"current research"
6	"current research"	rdfs:subClassOf	"research"
6	"not addressed"	rdfs:subClassOf	"addressed"
6	"not addressed agent current research"	local:agent_currentresearch	"not addressed"
6	"not addressed agent current research"	local:notaddressed_agent	"current research"
6	"identify"	vn.role:Theme	"not addressed agent current research"
6	"addressed"	local:AM-ADV	"identify"
6	"addressed"	vn.role:Theme	"requirements"
6	"addressed"	local:AM-NEG	"not"
6	"current"	rdfs:member	"current research"
6	"current research"	rdfs:subClassOf	"research"
6	"interaction protocol"	rdfs:subClassOf	"protocol"
6	"interaction"	rdfs:member	"interaction protocol"
6	"produce in response"	local:in_response	"produce"
6	"produce in response"	local:produce_in	"response"
6	"interaction protocol of service"	local:of_service	"interaction protocol"
6	"interaction protocol of service"	local:interactionprotocol_of	"service"
6	"describing in response"	local:in_response	"describing"
6	"describing in response"	local:describing_in	"response"
6	"addressed"	vn.role:Agent	"current research"
6	"produce"	local:AM-ADV	"analysis"
6	"current"	rdfs:member	"current research"
6	"current research"	rdfs:subClassOf	"research"
6	"not addressed"	rdfs:subClassOf	"addressed"
6	"not addressed agent current research"	local:agent_currentresearch	"not addressed"
