7	"extensive archives"	rdfs:subClassOf	"archives"
7	"match to visitor interests"	local:to_visitorinterests	"match"
7	"match to visitor interests"	local:match_to	"visitor interests"
7	"have"	vn.role:Stimulus	"extensive archives"
7	"match"	vn.role:Patient2	"resources"
7	"’ s"	rdfs:member	"’ s interests"
7	"s"	rdfs:member	"s interests"
7	"’ s"	rdfs:subClassOf	"s"
7	"s interests"	rdfs:subClassOf	"interests"
7	"’ s interests"	rdfs:subClassOf	"interests"
7	"’"	rdfs:member	"’ s"
7	"visitor interests"	rdfs:subClassOf	"interests"
7	"match"	vn.role:other	"visitor interests"
7	"present"	vn.role:Agent	"museums"
7	"present"	local:AM-TMP	"typically"
7	"present"	vn.role:Theme	"resources"
7	"visitor interests"	rdfs:subClassOf	"interests"
7	"present"	vn.role:Recipient	"visitor interests"
7	"visitor interests"	rdfs:subClassOf	"interests"
7	"facilitates"	vn.role:Agent	"visitor interests"
7	"facilitates"	vn.role:Beneficiary	"exploration"
8	"propose"	vn.role:Agent	"we"
8	"knowledge"	rdfs:member	"knowledge level"
8	"knowledge level"	rdfs:subClassOf	"level"
8	"level"	rdfs:member	"level resource"
8	"level resource descriptions"	rdfs:subClassOf	"descriptions"
8	"resource descriptions"	rdfs:subClassOf	"descriptions"
8	"level resource"	rdfs:member	"level resource descriptions"
8	"resource"	rdfs:member	"resource descriptions"
8	"knowledge level resource"	rdfs:subClassOf	"resource"
8	"knowledge level resource descriptions"	rdfs:subClassOf	"descriptions"
8	"structured"	rdfs:member	"structured presentations"
8	"knowledge level"	rdfs:member	"knowledge level resource"
8	"level resource"	rdfs:subClassOf	"resource"
8	"knowledge level resource"	rdfs:member	"knowledge level resource descriptions"
8	"structured presentations"	rdfs:subClassOf	"presentations"
8	"level resource descriptions"	rdfs:subClassOf	"resource descriptions"
8	"knowledge level resource descriptions"	rdfs:subClassOf	"level resource descriptions"
8	"use of knowledge level resource descriptions"	local:of_knowledgelevelresourcedescriptions	"use"
8	"use of knowledge level resource descriptions"	local:use_of	"knowledge level resource descriptions"
8	"propose"	vn.role:Topic	"use of knowledge level resource descriptions"
8	"knowledge"	rdfs:member	"knowledge level"
8	"knowledge level"	rdfs:subClassOf	"level"
8	"level"	rdfs:member	"level resource"
8	"level resource descriptions"	rdfs:subClassOf	"descriptions"
8	"resource descriptions"	rdfs:subClassOf	"descriptions"
8	"level resource"	rdfs:member	"level resource descriptions"
8	"resource"	rdfs:member	"resource descriptions"
8	"knowledge level resource"	rdfs:subClassOf	"resource"
8	"knowledge level resource descriptions"	rdfs:subClassOf	"descriptions"
8	"knowledge level"	rdfs:member	"knowledge level resource"
8	"level resource"	rdfs:subClassOf	"resource"
8	"knowledge level resource"	rdfs:member	"knowledge level resource descriptions"
8	"level resource descriptions"	rdfs:subClassOf	"resource descriptions"
8	"knowledge level resource descriptions"	rdfs:subClassOf	"level resource descriptions"
8	"use of knowledge level resource descriptions"	local:of_knowledgelevelresourcedescriptions	"use"
8	"use of knowledge level resource descriptions"	local:use_of	"knowledge level resource descriptions"
8	"create"	vn.role:Agent	"use of knowledge level resource descriptions"
8	"structured"	rdfs:member	"structured presentations"
8	"structured presentations"	rdfs:subClassOf	"presentations"
8	"create"	vn.role:Product	"structured presentations"
9	"propose"	vn.role:Agent	"we"
9	"knowledge"	rdfs:member	"knowledge level"
9	"knowledge level"	rdfs:subClassOf	"level"
9	"level"	rdfs:member	"level resource"
9	"level resource descriptions"	rdfs:subClassOf	"descriptions"
9	"relevant"	rdfs:member	"relevant resources"
9	"resource descriptions"	rdfs:subClassOf	"descriptions"
9	"level resource"	rdfs:member	"level resource descriptions"
9	"resource"	rdfs:member	"resource descriptions"
9	"knowledge level resource"	rdfs:subClassOf	"resource"
9	"knowledge level resource descriptions"	rdfs:subClassOf	"descriptions"
9	"knowledge level"	rdfs:member	"knowledge level resource"
9	"level resource"	rdfs:subClassOf	"resource"
9	"knowledge level resource"	rdfs:member	"knowledge level resource descriptions"
9	"relevant resources"	rdfs:subClassOf	"resources"
9	"level resource descriptions"	rdfs:subClassOf	"resource descriptions"
9	"knowledge level resource descriptions"	rdfs:subClassOf	"level resource descriptions"
9	"use of knowledge level resource descriptions"	local:of_knowledgelevelresourcedescriptions	"use"
9	"use of knowledge level resource descriptions"	local:use_of	"knowledge level resource descriptions"
9	"propose"	vn.role:Topic	"use of knowledge level resource descriptions"
9	"identify"	vn.role:Agent	"we"
9	"identify"	vn.role:Agent	"use"
9	"knowledge"	rdfs:member	"knowledge level"
9	"knowledge level"	rdfs:subClassOf	"level"
9	"level"	rdfs:member	"level resource"
9	"level resource descriptions"	rdfs:subClassOf	"descriptions"
9	"resource descriptions"	rdfs:subClassOf	"descriptions"
9	"level resource"	rdfs:member	"level resource descriptions"
9	"resource"	rdfs:member	"resource descriptions"
9	"knowledge level resource"	rdfs:subClassOf	"resource"
9	"knowledge level resource descriptions"	rdfs:subClassOf	"descriptions"
9	"knowledge level"	rdfs:member	"knowledge level resource"
9	"level resource"	rdfs:subClassOf	"resource"
9	"knowledge level resource"	rdfs:member	"knowledge level resource descriptions"
9	"level resource descriptions"	rdfs:subClassOf	"resource descriptions"
9	"knowledge level resource descriptions"	rdfs:subClassOf	"level resource descriptions"
9	"identify"	vn.role:Agent	"knowledge level resource descriptions"
9	"relevant resources"	rdfs:subClassOf	"resources"
9	"relevant"	rdfs:member	"relevant resources"
9	"identify"	vn.role:Theme	"relevant resources"
11	"embodies"	vn.role:indirect_object	"system"
11	"embodies"	vn.role:Location	"approach"
