9	"generic type"	rdfs:subClassOf	"type"
9	"single generic"	rdfs:member	"single generic type"
9	"knowledge"	rdfs:member	"knowledge bases"
9	"background knowledge bases"	rdfs:subClassOf	"bases"
9	"knowledge bases"	rdfs:subClassOf	"bases"
9	"single generic type"	rdfs:subClassOf	"type"
9	"not given"	rdfs:subClassOf	"given"
9	"background knowledge bases"	rdfs:subClassOf	"knowledge bases"
9	"single generic type"	rdfs:subClassOf	"generic type"
9	"single generic type in background knowledge bases"	local:in_backgroundknowledgebases	"single generic type"
9	"single generic type in background knowledge bases"	local:singlegenerictype_in	"background knowledge bases"
9	"associated"	vn.role:Agent	"single generic type in background knowledge bases"
9	"however entity"	rdfs:subClassOf	"entity"
9	"given"	vn.role:Asset	"however entity"
9	"given"	local:AM-NEG	"not"
9	"document"	rdfs:member	"document context"
9	"document context"	rdfs:subClassOf	"context"
9	"given"	vn.role:object	"document context"
10	"however entity"	rdfs:subClassOf	"entity"
10	"associated"	vn.role:Patient2	"however entity"
10	"associated"	local:AM-TMP	"usually"
10	"associated"	local:AM-NEG	"not"
10	"document"	rdfs:member	"document context"
10	"document context"	rdfs:subClassOf	"context"
10	"more specific"	rdfs:member	"more specific types"
10	"specific"	rdfs:member	"specific types"
10	"more specific types"	rdfs:subClassOf	"types"
10	"specific types"	rdfs:subClassOf	"types"
10	"more"	rdfs:member	"more specific"
10	"more specific"	rdfs:subClassOf	"specific"
10	"not given"	rdfs:subClassOf	"given"
10	"more specific types"	rdfs:subClassOf	"specific types"
10	"set of more specific types"	local:of_morespecifictypes	"set"
10	"set of more specific types"	local:set_of	"more specific types"
10	"set of more specific types of not given"	local:of_notgiven	"set of more specific types"
10	"set of more specific types of not given"	local:setofmorespecifictypes_of	"not given"
10	"associated"	vn.role:Agent	"set of more specific types of not given"
10	"however entity"	rdfs:subClassOf	"entity"
10	"given"	vn.role:Asset	"however entity"
10	"given"	local:AM-NEG	"not"
10	"document"	rdfs:member	"document context"
10	"document context"	rdfs:subClassOf	"context"
10	"given"	vn.role:object	"document context"
11	"example one"	local:_one	"example"
11	"example one"	local:example_	"one"
11	"find"	vn.role:Agent	"example one"
11	"find"	local:AM-MOD	"can"
11	"data cloud"	rdfs:subClassOf	"cloud"
11	"open data"	rdfs:subClassOf	"data"
11	"open"	rdfs:member	"open data"
11	"data"	rdfs:member	"data cloud"
11	"open data"	rdfs:member	"open data cloud"
11	"open data cloud"	rdfs:subClassOf	"cloud"
11	"open data cloud"	rdfs:subClassOf	"data cloud"
11	"linked open data cloud"	rdfs:subClassOf	"open data cloud"
11	"find"	local:AM-LOC	"linked open data cloud"
11	"find"	vn.role:Theme	"fact"
12	"example one"	local:_one	"example"
12	"example one"	local:example_	"one"
12	"find"	vn.role:Agent	"example one"
12	"find"	local:AM-MOD	"can"
12	"data cloud"	rdfs:subClassOf	"cloud"
12	"open data"	rdfs:subClassOf	"data"
12	"open"	rdfs:member	"open data"
12	"data"	rdfs:member	"data cloud"
12	"open data"	rdfs:member	"open data cloud"
12	"open data cloud"	rdfs:subClassOf	"cloud"
12	"open data cloud"	rdfs:subClassOf	"data cloud"
12	"linked open data cloud"	rdfs:subClassOf	"open data cloud"
12	"find"	local:AM-LOC	"linked open data cloud"
12	"find"	vn.role:Theme	"fact"
13	"example one"	local:_one	"example"
13	"example one"	local:example_	"one"
13	"find"	vn.role:Agent	"example one"
13	"find"	local:AM-MOD	"can"
13	"data cloud"	rdfs:subClassOf	"cloud"
13	"open data"	rdfs:subClassOf	"data"
13	"open"	rdfs:member	"open data"
13	"data"	rdfs:member	"data cloud"
13	"open data"	rdfs:member	"open data cloud"
13	"open data cloud"	rdfs:subClassOf	"cloud"
13	"open data cloud"	rdfs:subClassOf	"data cloud"
13	"linked open data cloud"	rdfs:subClassOf	"open data cloud"
13	"find"	local:AM-LOC	"linked open data cloud"
15	"known"	vn.role:Theme	"other"
15	"known"	local:AM-MOD	"may"
15	"known"	local:AM-TMP	"already"
15	"known"	vn.role:Predicate	"user"
16	"known"	vn.role:Theme	"other"
16	"known"	local:AM-MOD	"may"
16	"known"	local:AM-TMP	"already"
16	"known"	vn.role:Predicate	"actor"
19	"given"	vn.role:object	"person"
19	"concord california"	local:_california	"concord"
19	"concord california"	local:concord_	"california"
19	"given"	vn.role:indirect_object	"concord california"
20	"known"	vn.role:Theme	"other"
20	"known"	local:AM-MOD	"may"
20	"known"	local:AM-TMP	"already"
20	"known"	vn.role:Predicate	"user"
21	"browsing context"	rdfs:subClassOf	"context"
21	"current browsing context"	rdfs:subClassOf	"browsing context"
21	"given"	vn.role:object	"current browsing context"
21	"browsing"	vn.role:Agent	"context"
22	"browsing context"	rdfs:subClassOf	"context"
22	"current browsing context"	rdfs:subClassOf	"browsing context"
22	"given"	vn.role:object	"current browsing context"
22	"browsing"	vn.role:Agent	"context"
23	"given"	vn.role:object	"person"
23	"concord california"	local:_california	"concord"
23	"concord california"	local:concord_	"california"
23	"given"	vn.role:indirect_object	"concord california"
24	"known"	vn.role:Theme	"other"
24	"known"	local:AM-MOD	"may"
24	"known"	local:AM-TMP	"already"
24	"known"	vn.role:Predicate	"actor"
25	"define"	local:AM-LOC	"paper"
25	"define"	vn.role:Agent	"we"
25	"entity types"	rdfs:subClassOf	"types"
25	"new task"	rdfs:subClassOf	"task"
25	"entity"	rdfs:member	"entity types"
25	"new"	rdfs:member	"new task"
25	"ranking entity types"	rdfs:subClassOf	"entity types"
25	"new task of ranking entity types"	local:of_rankingentitytypes	"new task"
25	"new task of ranking entity types"	local:newtask_of	"ranking entity types"
25	"new task of ranking entity types given entity"	local:given_entity	"new task of ranking entity types"
25	"new task of ranking entity types given entity"	local:newtaskofrankingentitytypes_given	"entity"
25	"define"	vn.role:Theme	"new task of ranking entity types given entity"
25	"entity types"	rdfs:subClassOf	"types"
25	"new task"	rdfs:subClassOf	"task"
25	"entity"	rdfs:member	"entity types"
25	"new"	rdfs:member	"new task"
25	"ranking entity types"	rdfs:subClassOf	"entity types"
25	"new task of ranking entity types"	local:of_rankingentitytypes	"new task"
25	"new task of ranking entity types"	local:newtask_of	"ranking entity types"
25	"given"	vn.role:object	"new task of ranking entity types"
25	"given"	vn.role:object	"entity"
26	"define"	local:AM-LOC	"paper"
26	"define"	vn.role:Agent	"we"
26	"entity"	rdfs:member	"entity context"
26	"new task"	rdfs:subClassOf	"task"
26	"new"	rdfs:member	"new task"
26	"entity types"	rdfs:subClassOf	"types"
26	"entity"	rdfs:member	"entity types"
26	"entity context"	rdfs:subClassOf	"context"
26	"ranking entity types"	rdfs:subClassOf	"entity types"
26	"new task of ranking entity types"	local:of_rankingentitytypes	"new task"
26	"new task of ranking entity types"	local:newtask_of	"ranking entity types"
26	"new task of ranking entity types given entity context"	local:given_entitycontext	"new task of ranking entity types"
26	"new task of ranking entity types given entity context"	local:newtaskofrankingentitytypes_given	"entity context"
26	"define"	vn.role:Theme	"new task of ranking entity types given entity context"
26	"entity types"	rdfs:subClassOf	"types"
26	"new task"	rdfs:subClassOf	"task"
26	"entity"	rdfs:member	"entity types"
26	"new"	rdfs:member	"new task"
26	"ranking entity types"	rdfs:subClassOf	"entity types"
26	"new task of ranking entity types"	local:of_rankingentitytypes	"new task"
26	"new task of ranking entity types"	local:newtask_of	"ranking entity types"
26	"given"	vn.role:object	"new task of ranking entity types"
26	"entity"	rdfs:member	"entity context"
26	"entity context"	rdfs:subClassOf	"context"
26	"given"	vn.role:object	"entity context"
27	"propose"	vn.role:Agent	"we"
27	"graph structure"	rdfs:subClassOf	"structure"
27	"entity"	rdfs:member	"entity type"
27	"new"	rdfs:member	"new methods"
27	"most"	rdfs:member	"most relevant"
27	"graph"	rdfs:member	"graph structure"
27	"new methods"	rdfs:subClassOf	"methods"
27	"most relevant entity type"	rdfs:subClassOf	"type"
27	"relevant entity"	rdfs:member	"relevant entity type"
27	"most relevant entity"	rdfs:subClassOf	"entity"
27	"most relevant"	rdfs:subClassOf	"relevant"
27	"relevant"	rdfs:member	"relevant entity"
27	"relevant entity"	rdfs:subClassOf	"entity"
27	"most relevant"	rdfs:member	"most relevant entity"
27	"entity type"	rdfs:subClassOf	"type"
27	"relevant entity type"	rdfs:subClassOf	"type"
27	"most relevant entity"	rdfs:member	"most relevant entity type"
27	"interconnecting types"	rdfs:subClassOf	"types"
27	"relevant entity type"	rdfs:subClassOf	"entity type"
27	"relevant entity type based"	local:_based	"relevant entity type"
27	"relevant entity type based"	local:relevantentitytype_	"based"
27	"based on graph structure"	local:on_graphstructure	"based"
27	"based on graph structure"	local:based_on	"graph structure"
27	"propose"	vn.role:Topic	"new methods"
27	"find"	vn.role:Agent	"we"
27	"graph structure"	rdfs:subClassOf	"structure"
27	"entity"	rdfs:member	"entity type"
27	"graph"	rdfs:member	"graph structure"
27	"relevant entity"	rdfs:member	"relevant entity type"
27	"relevant"	rdfs:member	"relevant entity"
27	"relevant entity"	rdfs:subClassOf	"entity"
27	"entity type"	rdfs:subClassOf	"type"
27	"relevant entity type"	rdfs:subClassOf	"type"
27	"interconnecting types"	rdfs:subClassOf	"types"
27	"relevant entity type"	rdfs:subClassOf	"entity type"
27	"relevant entity type based"	local:_based	"relevant entity type"
27	"relevant entity type based"	local:relevantentitytype_	"based"
27	"based on graph structure"	local:on_graphstructure	"based"
27	"based on graph structure"	local:based_on	"graph structure"
27	"find"	vn.role:Theme	"relevant entity type based"
27	"entity"	rdfs:member	"entity type"
27	"relevant entity"	rdfs:member	"relevant entity type"
27	"relevant"	rdfs:member	"relevant entity"
27	"relevant entity"	rdfs:subClassOf	"entity"
27	"entity type"	rdfs:subClassOf	"type"
27	"relevant entity type"	rdfs:subClassOf	"type"
27	"relevant entity type"	rdfs:subClassOf	"entity type"
27	"based"	vn.role:Cause	"relevant entity type"
27	"graph"	rdfs:member	"graph structure"
27	"graph structure"	rdfs:subClassOf	"structure"
27	"interconnecting types"	rdfs:subClassOf	"types"
27	"structure interconnecting types"	rdfs:subClassOf	"interconnecting types"
27	"based"	local:AM-LOC	"structure interconnecting types"
27	"graph structure"	rdfs:subClassOf	"structure"
27	"entity"	rdfs:member	"entity type"
27	"graph"	rdfs:member	"graph structure"
