0	"used"	local:AM-MNR	"widely"
6	"event-based"	rdfs:member	"event-based descriptions"
6	"event-based descriptions"	rdfs:subClassOf	"descriptions"
6	"representations of entities"	local:of_entities	"representations"
6	"representations of entities"	local:representations_of	"entities"
6	"occur in event-based descriptions"	local:in_event-baseddescriptions	"occur"
6	"occur in event-based descriptions"	local:occur_in	"event-based descriptions"
6	"event-based descriptions of years"	local:of_years	"event-based descriptions"
6	"event-based descriptions of years"	local:event-baseddescriptions_of	"years"
6	"encode"	local:AM-MNR	"aggregating"
6	"event-based"	rdfs:member	"event-based descriptions"
6	"event-based descriptions"	rdfs:subClassOf	"descriptions"
6	"representations of entities"	local:of_entities	"representations"
6	"representations of entities"	local:representations_of	"entities"
6	"occur in event-based descriptions"	local:in_event-baseddescriptions	"occur"
6	"occur in event-based descriptions"	local:occur_in	"event-based descriptions"
6	"event-based descriptions of years"	local:of_years	"event-based descriptions"
6	"event-based descriptions of years"	local:event-baseddescriptions_of	"years"
6	"aggregating"	vn.role:Theme	"representations of entities"
6	"occur"	vn.role:Location	"entities"
6	"event-based"	rdfs:member	"event-based descriptions"
6	"event-based descriptions"	rdfs:subClassOf	"descriptions"
6	"event-based descriptions of years"	local:of_years	"event-based descriptions"
6	"event-based descriptions of years"	local:event-baseddescriptions_of	"years"
6	"occur"	local:AM-LOC	"event-based descriptions of years"
7	"occur"	vn.role:Location	"entities"
7	"event-based"	rdfs:member	"event-based descriptions"
7	"event-based descriptions"	rdfs:subClassOf	"descriptions"
7	"event-based descriptions of years"	local:of_years	"event-based descriptions"
7	"event-based descriptions of years"	local:event-baseddescriptions_of	"years"
7	"occur"	local:AM-TMP	"event-based descriptions of years"
7	"event-based"	rdfs:member	"event-based descriptions"
7	"event-based descriptions"	rdfs:subClassOf	"descriptions"
7	"representations of entities"	local:of_entities	"representations"
7	"representations of entities"	local:representations_of	"entities"
7	"occur in event-based descriptions"	local:in_event-baseddescriptions	"occur"
7	"occur in event-based descriptions"	local:occur_in	"event-based descriptions"
7	"event-based descriptions of years"	local:of_years	"event-based descriptions"
7	"event-based descriptions of years"	local:event-baseddescriptions_of	"years"
7	"used"	vn.role:Theme	"representations of entities"
7	"time-aware"	rdfs:member	"time-aware similarity"
7	"implicit"	rdfs:member	"implicit effect"
7	"entity"	rdfs:member	"entity similarity"
7	"time-aware similarity"	rdfs:subClassOf	"similarity"
7	"entity similarity"	rdfs:subClassOf	"similarity"
7	"time-aware similarity"	rdfs:member	"time-aware similarity measures"
7	"time-aware similarity measures"	rdfs:subClassOf	"measures"
7	"similarity measures"	rdfs:subClassOf	"measures"
7	"similarity"	rdfs:member	"similarity measures"
7	"implicit effect"	rdfs:subClassOf	"effect"
7	"time-aware similarity measures"	rdfs:subClassOf	"similarity measures"
7	"two time-aware similarity measures"	rdfs:subClassOf	"time-aware similarity measures"
7	"implicit effect of time"	local:of_time	"implicit effect"
7	"implicit effect of time"	local:impliciteffect_of	"time"
7	"implicit effect of time on entity similarity"	local:on_entitysimilarity	"implicit effect of time"
7	"implicit effect of time on entity similarity"	local:impliciteffectoftime_on	"entity similarity"
7	"used"	vn.role:Recipient	"define"
7	"event-based"	rdfs:member	"event-based descriptions"
7	"event-based descriptions"	rdfs:subClassOf	"descriptions"
7	"representations of entities"	local:of_entities	"representations"
7	"representations of entities"	local:representations_of	"entities"
7	"occur in event-based descriptions"	local:in_event-baseddescriptions	"occur"
7	"occur in event-based descriptions"	local:occur_in	"event-based descriptions"
7	"event-based descriptions of years"	local:of_years	"event-based descriptions"
7	"event-based descriptions of years"	local:event-baseddescriptions_of	"years"
7	"define"	vn.role:Agent	"representations of entities"
7	"time-aware"	rdfs:member	"time-aware similarity"
7	"implicit"	rdfs:member	"implicit effect"
7	"entity"	rdfs:member	"entity similarity"
7	"time-aware similarity"	rdfs:subClassOf	"similarity"
7	"entity similarity"	rdfs:subClassOf	"similarity"
7	"time-aware similarity"	rdfs:member	"time-aware similarity measures"
7	"time-aware similarity measures"	rdfs:subClassOf	"measures"
7	"similarity measures"	rdfs:subClassOf	"measures"
7	"similarity"	rdfs:member	"similarity measures"
7	"implicit effect"	rdfs:subClassOf	"effect"
7	"time-aware similarity measures"	rdfs:subClassOf	"similarity measures"
7	"two time-aware similarity measures"	rdfs:subClassOf	"time-aware similarity measures"
7	"implicit effect of time"	local:of_time	"implicit effect"
7	"implicit effect of time"	local:impliciteffect_of	"time"
7	"implicit effect of time on entity similarity"	local:on_entitysimilarity	"implicit effect of time"
7	"implicit effect of time on entity similarity"	local:impliciteffectoftime_on	"entity similarity"
7	"define"	vn.role:Theme	"two time-aware similarity measures"
7	"time-aware"	rdfs:member	"time-aware similarity"
7	"time-aware similarity"	rdfs:subClassOf	"similarity"
7	"time-aware similarity"	rdfs:member	"time-aware similarity measures"
7	"time-aware similarity measures"	rdfs:subClassOf	"measures"
7	"similarity measures"	rdfs:subClassOf	"measures"
7	"similarity"	rdfs:member	"similarity measures"
7	"time-aware similarity measures"	rdfs:subClassOf	"similarity measures"
7	"two time-aware similarity measures"	rdfs:subClassOf	"time-aware similarity measures"
7	"control"	vn.role:Agent	"two time-aware similarity measures"
7	"implicit"	rdfs:member	"implicit effect"
7	"implicit effect"	rdfs:subClassOf	"effect"
7	"entity similarity"	rdfs:subClassOf	"similarity"
7	"entity"	rdfs:member	"entity similarity"
7	"implicit effect of time"	local:of_time	"implicit effect"
7	"implicit effect of time"	local:impliciteffect_of	"time"
7	"implicit effect of time on entity similarity"	local:on_entitysimilarity	"implicit effect of time"
7	"implicit effect of time on entity similarity"	local:impliciteffectoftime_on	"entity similarity"
7	"control"	vn.role:Patient	"implicit effect of time on entity similarity"
8	"experimental results"	rdfs:subClassOf	"results"
8	"experimental"	rdfs:member	"experimental results"
8	"show"	vn.role:Agent	"experimental results"
8	"linear order"	rdfs:subClassOf	"order"
8	"time effect"	rdfs:subClassOf	"effect"
8	"linear"	rdfs:member	"linear order"
8	"time"	rdfs:member	"time flow"
8	"entity similarity"	rdfs:subClassOf	"similarity"
8	"natural time"	rdfs:member	"natural time flow"
8	"natural time"	rdfs:subClassOf	"time"
8	"time"	rdfs:member	"time effect"
8	"entity"	rdfs:member	"entity similarity"
8	"natural time flow"	rdfs:subClassOf	"flow"
8	"time flow"	rdfs:subClassOf	"flow"
8	"natural"	rdfs:member	"natural time"
8	"natural time flow"	rdfs:subClassOf	"time flow"
8	"highly correlated"	rdfs:subClassOf	"correlated"
8	"our model"	rdfs:subClassOf	"model"
8	"highly correlated with natural time flow"	local:with_naturaltimeflow	"highly correlated"
8	"highly correlated with natural time flow"	local:highlycorrelated_with	"natural time flow"
8	"time effect on entity similarity"	local:on_entitysimilarity	"time effect"
8	"time effect on entity similarity"	local:timeeffect_on	"entity similarity"
8	"show"	vn.role:Theme	"highly correlated with natural time flow"
8	"our model"	rdfs:subClassOf	"model"
8	"obtained"	vn.role:object	"using"
8	"using"	vn.role:Theme	"model"
8	"linear order"	rdfs:subClassOf	"order"
8	"linear"	rdfs:member	"linear order"
8	"our model"	rdfs:subClassOf	"model"
8	"correlated"	vn.role:Patient2	"linear order"
8	"correlated"	local:AM-EXT	"highly"
8	"time effect"	rdfs:subClassOf	"effect"
8	"time"	rdfs:member	"time flow"
8	"entity similarity"	rdfs:subClassOf	"similarity"
8	"natural time"	rdfs:member	"natural time flow"
8	"natural time"	rdfs:subClassOf	"time"
8	"time"	rdfs:member	"time effect"
8	"entity"	rdfs:member	"entity similarity"
8	"natural time flow"	rdfs:subClassOf	"flow"
8	"time flow"	rdfs:subClassOf	"flow"
8	"natural"	rdfs:member	"natural time"
8	"natural time flow"	rdfs:subClassOf	"time flow"
8	"time effect on entity similarity"	local:on_entitysimilarity	"time effect"
8	"time effect on entity similarity"	local:timeeffect_on	"entity similarity"
8	"correlated"	vn.role:Agent	"natural time flow"
8	"time effect"	rdfs:subClassOf	"effect"
8	"entity similarity"	rdfs:subClassOf	"similarity"
8	"time"	rdfs:member	"time effect"
8	"entity"	rdfs:member	"entity similarity"
8	"time effect on entity similarity"	local:on_entitysimilarity	"time effect"
8	"time effect on entity similarity"	local:timeeffect_on	"entity similarity"
8	"flatten"	vn.role:Patient	"time effect on entity similarity"
9	"experimental results"	rdfs:subClassOf	"results"
9	"experimental"	rdfs:member	"experimental results"
9	"show"	vn.role:Agent	"experimental results"
9	"linear order"	rdfs:subClassOf	"order"
9	"time effect"	rdfs:subClassOf	"effect"
9	"linear"	rdfs:member	"linear order"
9	"entity similarity"	rdfs:subClassOf	"similarity"
9	"time"	rdfs:member	"time effect"
9	"entity"	rdfs:member	"entity similarity"
9	"highly correlated"	rdfs:subClassOf	"correlated"
9	"our model"	rdfs:subClassOf	"model"
9	"highly correlated with effectiveness"	local:with_effectiveness	"highly correlated"
9	"highly correlated with effectiveness"	local:highlycorrelated_with	"effectiveness"
9	"time effect on entity similarity"	local:on_entitysimilarity	"time effect"
9	"time effect on entity similarity"	local:timeeffect_on	"entity similarity"
9	"show"	vn.role:Theme	"highly correlated with effectiveness"
9	"our model"	rdfs:subClassOf	"model"
9	"obtained"	vn.role:object	"using"
9	"using"	vn.role:Theme	"model"
9	"linear order"	rdfs:subClassOf	"order"
9	"linear"	rdfs:member	"linear order"
9	"our model"	rdfs:subClassOf	"model"
9	"correlated"	vn.role:Patient2	"linear order"
9	"correlated"	local:AM-EXT	"highly"
9	"time effect"	rdfs:subClassOf	"effect"
9	"entity similarity"	rdfs:subClassOf	"similarity"
9	"time"	rdfs:member	"time effect"
9	"entity"	rdfs:member	"entity similarity"
9	"time effect on entity similarity"	local:on_entitysimilarity	"time effect"
9	"time effect on entity similarity"	local:timeeffect_on	"entity similarity"
9	"correlated"	vn.role:Agent	"effectiveness"
9	"linear order"	rdfs:subClassOf	"order"
9	"linear"	rdfs:member	"linear order"
9	"our model"	rdfs:subClassOf	"model"
9	"flatten"	vn.role:Agent	"linear order"
9	"time effect"	rdfs:subClassOf	"effect"
9	"entity similarity"	rdfs:subClassOf	"similarity"
9	"time"	rdfs:member	"time effect"
9	"entity"	rdfs:member	"entity similarity"
9	"time effect on entity similarity"	local:on_entitysimilarity	"time effect"
9	"time effect on entity similarity"	local:timeeffect_on	"entity similarity"
9	"flatten"	vn.role:Patient	"time effect on entity similarity"
