4	"versatile knowledge management"	rdfs:subClassOf	"management"
4	"management mechanism"	rdfs:subClassOf	"mechanism"
4	"knowledge management"	rdfs:member	"knowledge management mechanism"
4	"knowledge"	rdfs:member	"knowledge management"
4	"versatile knowledge management mechanism"	rdfs:subClassOf	"mechanism"
4	"management"	rdfs:member	"management mechanism"
4	"knowledge management mechanism"	rdfs:subClassOf	"management mechanism"
4	"versatile knowledge management mechanism"	rdfs:subClassOf	"knowledge management mechanism"
4	"providing"	vn.role:Agent	"versatile knowledge management mechanism"
4	"find"	vn.role:Agent	"users"
4	"find"	vn.role:Theme	"easy"
4	"understand."	vn.role:subject	"users"
5	"emerged"	vn.role:Theme	"tagging"
5	"de-facto"	rdfs:member	"de-facto standard"
5	"versatile knowledge"	rdfs:subClassOf	"knowledge"
5	"versatile knowledge"	rdfs:member	"versatile knowledge management"
5	"knowledge management"	rdfs:subClassOf	"management"
5	"knowledge management mechanism"	rdfs:subClassOf	"mechanism"
5	"versatile"	rdfs:member	"versatile knowledge"
5	"such"	rdfs:member	"such resources"
5	"such resources"	rdfs:subClassOf	"resources"
5	"versatile knowledge management"	rdfs:subClassOf	"management"
5	"versatile knowledge management"	rdfs:member	"versatile knowledge management mechanism"
5	"management mechanism"	rdfs:subClassOf	"mechanism"
5	"knowledge management"	rdfs:member	"knowledge management mechanism"
5	"knowledge"	rdfs:member	"knowledge management"
5	"versatile knowledge management mechanism"	rdfs:subClassOf	"mechanism"
5	"management"	rdfs:member	"management mechanism"
5	"de-facto standard"	rdfs:subClassOf	"standard"
5	"knowledge management mechanism"	rdfs:subClassOf	"management mechanism"
5	"versatile knowledge management mechanism"	rdfs:subClassOf	"knowledge management mechanism"
5	"de-facto standard for organisation"	local:for_organisation	"de-facto standard"
5	"de-facto standard for organisation"	local:de-factostandard_for	"organisation"
5	"organisation of such resources"	local:of_suchresources	"organisation"
5	"organisation of such resources"	local:organisation_of	"such resources"
5	"de-facto standard for organisation providing"	local:_providing	"de-facto standard for organisation"
5	"de-facto standard for organisation providing"	local:de-factostandardfororganisation_	"providing"
5	"emerged"	vn.role:Location	"de-facto standard for organisation providing"
5	"providing"	vn.role:Recipient	"resources"
5	"versatile knowledge"	rdfs:subClassOf	"knowledge"
5	"versatile knowledge"	rdfs:member	"versatile knowledge management"
5	"knowledge management"	rdfs:subClassOf	"management"
5	"knowledge management mechanism"	rdfs:subClassOf	"mechanism"
5	"versatile"	rdfs:member	"versatile knowledge"
5	"versatile knowledge management"	rdfs:member	"versatile knowledge management mechanism"
5	"versatile knowledge management"	rdfs:subClassOf	"management"
5	"management mechanism"	rdfs:subClassOf	"mechanism"
5	"knowledge management"	rdfs:member	"knowledge management mechanism"
5	"knowledge"	rdfs:member	"knowledge management"
5	"versatile knowledge management mechanism"	rdfs:subClassOf	"mechanism"
5	"management"	rdfs:member	"management mechanism"
5	"knowledge management mechanism"	rdfs:subClassOf	"management mechanism"
5	"versatile knowledge management mechanism"	rdfs:subClassOf	"knowledge management mechanism"
5	"providing"	vn.role:Agent	"versatile knowledge management mechanism"
5	"find"	vn.role:Agent	"users"
5	"find"	vn.role:Theme	"easy"
5	"use."	vn.role:subject	"users"
6	"emerged"	vn.role:Theme	"tagging"
6	"de-facto"	rdfs:member	"de-facto standard"
6	"reactive knowledge management"	rdfs:member	"reactive knowledge management mechanism"
6	"reactive knowledge management"	rdfs:subClassOf	"management"
6	"reactive knowledge"	rdfs:member	"reactive knowledge management"
6	"reactive knowledge management mechanism"	rdfs:subClassOf	"mechanism"
6	"reactive"	rdfs:member	"reactive knowledge"
6	"knowledge management mechanism"	rdfs:subClassOf	"mechanism"
6	"knowledge management"	rdfs:subClassOf	"management"
6	"such"	rdfs:member	"such resources"
6	"such resources"	rdfs:subClassOf	"resources"
6	"management mechanism"	rdfs:subClassOf	"mechanism"
6	"reactive knowledge"	rdfs:subClassOf	"knowledge"
