5	"systematic"	rdfs:member	"systematic study"
5	"systematic study"	rdfs:subClassOf	"study"
5	"tackle"	vn.role:Agent	"systematic study"
5	"real-world"	rdfs:member	"real-world ontologies"
5	"real-world ontologies"	rdfs:subClassOf	"ontologies"
5	"350 real-world ontologies"	rdfs:subClassOf	"real-world ontologies"
5	"over 350"	rdfs:subClassOf	"350"
5	"learning techniques"	rdfs:subClassOf	"techniques"
5	"machine learning techniques"	rdfs:subClassOf	"learning techniques"
5	"problem using"	local:_using	"problem"
5	"problem using"	local:problem_	"using"
5	"tackle"	vn.role:Theme	"problem using"
5	"using"	vn.role:Theme	"machine"
5	"real-world"	rdfs:member	"real-world ontologies"
5	"real-world ontologies"	rdfs:subClassOf	"ontologies"
5	"350 real-world ontologies"	rdfs:subClassOf	"real-world ontologies"
5	"over 350"	rdfs:subClassOf	"350"
5	"using"	vn.role:Recipient	"learning"
5	"learning"	vn.role:Agent	"machine"
5	"real-world"	rdfs:member	"real-world ontologies"
5	"real-world ontologies"	rdfs:subClassOf	"ontologies"
5	"350 real-world ontologies"	rdfs:subClassOf	"real-world ontologies"
5	"over 350"	rdfs:subClassOf	"350"
5	"techniques covering"	local:_covering	"techniques"
5	"techniques covering"	local:techniques_	"covering"
5	"learning"	vn.role:Theme	"techniques covering"
5	"covering"	vn.role:indirect_object	"techniques"
5	"real-world"	rdfs:member	"real-world ontologies"
5	"real-world ontologies"	rdfs:subClassOf	"ontologies"
5	"350 real-world ontologies"	rdfs:subClassOf	"real-world ontologies"
5	"covering"	vn.role:Theme2	"350 real-world ontologies"
7	"learn"	vn.role:Source	"firstly"
7	"learn"	vn.role:Agent	"we"
7	"various"	rdfs:member	"various classifiers"
7	"various classifiers"	rdfs:subClassOf	"classifiers"
7	"learn"	vn.role:Theme	"various classifiers"
8	"various"	rdfs:member	"various classifiers"
8	"various classifiers"	rdfs:subClassOf	"classifiers"
8	"predict"	vn.role:Recipient	"various classifiers"
8	"predict"	local:AM-MNR	"accurately"
8	"metric"	rdfs:member	"metric values"
8	"classification time"	rdfs:subClassOf	"time"
8	"classification"	rdfs:member	"classification time"
8	"metric values"	rdfs:subClassOf	"values"
8	"ontology metric values"	rdfs:subClassOf	"metric values"
8	"classification time for ontology"	local:for_ontology	"classification time"
8	"classification time for ontology"	local:classificationtime_for	"ontology"
8	"ontology based_on ontology metric values"	local:based_on_ontologymetricvalues	"ontology"
8	"ontology based_on ontology metric values"	local:ontology_based_on	"ontology metric values"
8	"predict"	vn.role:Cause	"classification time for ontology"
8	"metric"	rdfs:member	"metric values"
8	"metric values"	rdfs:subClassOf	"values"
8	"ontology metric values"	rdfs:subClassOf	"metric values"
8	"based"	vn.role:indirect_object	"ontology metric values"
9	"used"	vn.role:Theme	"metrics"
9	"used"	local:AM-MOD	"can"
9	"can used"	rdfs:subClassOf	"used"
9	"can used to effectively"	local:to_effectively	"can used"
9	"can used to effectively"	local:canused_to	"effectively"
9	"predict"	vn.role:Recipient	"metrics"
9	"predict"	vn.role:Cause	"reasoning"
9	"predict"	vn.role:Recipient	"performance"
10	"identify"	vn.role:Agent	"we"
10	"number of metrics"	local:of_metrics	"number"
10	"number of metrics"	local:number_of	"metrics"
10	"identify"	vn.role:Theme	"number of metrics"
11	"prediction"	vn.role:Theme1	"we"
11	"over 80"	rdfs:subClassOf	"80"
11	"highly effective"	rdfs:subClassOf	"effective"
11	"have shown"	rdfs:subClassOf	"shown"
11	"accuracy of over 80"	local:of_over80	"accuracy"
11	"accuracy of over 80"	local:accuracy_of	"over 80"
11	"prediction"	vn.role:Theme2	"have shown"
11	"shown"	vn.role:Theme	"models"
11	"achieving"	vn.role:Agent	"models"
11	"highly effective"	rdfs:subClassOf	"effective"
11	"achieving"	vn.role:Agent	"highly effective"
11	"over 80"	rdfs:subClassOf	"80"
11	"accuracy of over 80"	local:of_over80	"accuracy"
11	"accuracy of over 80"	local:accuracy_of	"over 80"
11	"achieving"	vn.role:Theme	"accuracy of over 80"
