5	"expressiveness of particular query languages"	local:expressiveness_of	"particular query languages"
5	"conclude"	vn.role:Theme	"comparison of expressiveness"
6	"describe"	vn.role:Agent	"we"
6	"several practical usage"	rdfs:subClassOf	"usage"
6	"usage examples"	rdfs:subClassOf	"examples"
6	"several practical usage examples"	rdfs:subClassOf	"examples"
6	"usage"	rdfs:member	"usage examples"
6	"practical usage"	rdfs:member	"practical usage examples"
6	"several"	rdfs:member	"several practical"
6	"several practical"	rdfs:member	"several practical usage"
6	"several practical"	rdfs:subClassOf	"practical"
6	"practical"	rdfs:member	"practical usage"
6	"practical usage examples"	rdfs:subClassOf	"examples"
6	"rdf queries"	rdfs:subClassOf	"queries"
6	"rdf"	rdfs:member	"rdf queries"
6	"several practical usage"	rdfs:member	"several practical usage examples"
6	"practical usage"	rdfs:subClassOf	"usage"
6	"practical usage examples"	rdfs:subClassOf	"usage examples"
6	"several practical usage examples"	rdfs:subClassOf	"practical usage examples"
6	"several practical usage examples for rdf queries"	local:for_rdfqueries	"several practical usage examples"
6	"several practical usage examples for rdf queries"	local:severalpracticalusageexamples_for	"rdf queries"
6	"describe"	vn.role:Theme	"several practical usage examples for rdf queries"
