7	"inventory of cost drivers"	local:of_costdrivers	"inventory"
7	"inventory of cost drivers"	local:inventory_of	"cost drivers"
7	"introduce"	vn.role:Patient	"inventory of cost drivers"
8	"performed"	vn.role:Agent	"activities"
8	"life cycle"	rdfs:subClassOf	"cycle"
8	"ontology"	rdfs:member	"ontology life"
8	"ontology life cycle"	rdfs:subClassOf	"cycle"
8	"ontology life"	rdfs:member	"ontology life cycle"
8	"life"	rdfs:member	"life cycle"
8	"ontology life"	rdfs:subClassOf	"life"
8	"ontology life cycle"	rdfs:subClassOf	"life cycle"
8	"performed"	local:AM-TMP	"ontology life cycle"
9	"introduce"	vn.role:Agent	"we"
9	"introduce"	vn.role:Patient	"methodology"
9	"particular"	rdfs:member	"particular ontology"
9	"particular ontology development"	rdfs:member	"particular ontology development strategy"
9	"cost model"	rdfs:subClassOf	"model"
9	"particular ontology"	rdfs:member	"particular ontology development"
9	"particular ontology development strategy"	rdfs:subClassOf	"strategy"
9	"ontology development"	rdfs:member	"ontology development strategy"
9	"ontology development"	rdfs:subClassOf	"development"
9	"particular ontology"	rdfs:subClassOf	"ontology"
9	"cost"	rdfs:member	"cost model"
9	"ontology"	rdfs:member	"ontology development"
9	"development strategy"	rdfs:subClassOf	"strategy"
9	"ontology development strategy"	rdfs:subClassOf	"strategy"
9	"development"	rdfs:member	"development strategy"
9	"particular ontology development"	rdfs:subClassOf	"development"
9	"ontology development strategy"	rdfs:subClassOf	"development strategy"
9	"particular ontology development strategy"	rdfs:subClassOf	"ontology development strategy"
9	"cost model adapted"	local:_adapted	"cost model"
9	"cost model adapted"	local:costmodel_	"adapted"
9	"adapted to particular ontology development strategy"	local:to_particularontologydevelopmentstrategy	"adapted"
9	"adapted to particular ontology development strategy"	local:adapted_to	"particular ontology development strategy"
9	"introduce"	local:AM-PNC	"generate"
9	"generate"	vn.role:Theme1	"we"
9	"particular"	rdfs:member	"particular ontology"
9	"particular ontology development"	rdfs:member	"particular ontology development strategy"
9	"cost model"	rdfs:subClassOf	"model"
9	"particular ontology"	rdfs:member	"particular ontology development"
9	"particular ontology development strategy"	rdfs:subClassOf	"strategy"
9	"ontology development"	rdfs:member	"ontology development strategy"
9	"ontology development"	rdfs:subClassOf	"development"
9	"particular ontology"	rdfs:subClassOf	"ontology"
9	"cost"	rdfs:member	"cost model"
9	"ontology"	rdfs:member	"ontology development"
9	"development strategy"	rdfs:subClassOf	"strategy"
9	"ontology development strategy"	rdfs:subClassOf	"strategy"
9	"development"	rdfs:member	"development strategy"
9	"particular ontology development"	rdfs:subClassOf	"development"
9	"ontology development strategy"	rdfs:subClassOf	"development strategy"
9	"particular ontology development strategy"	rdfs:subClassOf	"ontology development strategy"
9	"adapted to particular ontology development strategy"	local:to_particularontologydevelopmentstrategy	"adapted"
9	"adapted to particular ontology development strategy"	local:adapted_to	"particular ontology development strategy"
9	"generate"	vn.role:Theme2	"adapted to particular ontology development strategy"
9	"cost model"	rdfs:subClassOf	"model"
9	"cost"	rdfs:member	"cost model"
9	"adapted"	vn.role:Patient	"cost model"
9	"particular"	rdfs:member	"particular ontology"
9	"particular ontology development"	rdfs:member	"particular ontology development strategy"
9	"particular ontology"	rdfs:member	"particular ontology development"
9	"particular ontology development strategy"	rdfs:subClassOf	"strategy"
9	"ontology development"	rdfs:member	"ontology development strategy"
9	"ontology development"	rdfs:subClassOf	"development"
9	"particular ontology"	rdfs:subClassOf	"ontology"
9	"ontology"	rdfs:member	"ontology development"
9	"development strategy"	rdfs:subClassOf	"strategy"
9	"ontology development strategy"	rdfs:subClassOf	"strategy"
9	"development"	rdfs:member	"development strategy"
9	"particular ontology development"	rdfs:subClassOf	"development"
9	"ontology development strategy"	rdfs:subClassOf	"development strategy"
9	"particular ontology development strategy"	rdfs:subClassOf	"ontology development strategy"
9	"adapted"	vn.role:indirect_object	"particular ontology development strategy"
10	"cost"	rdfs:member	"cost drivers"
10	"cost drivers"	rdfs:subClassOf	"drivers"
10	"influence"	vn.role:Experiencer	"cost drivers"
10	"amount of effort"	local:of_effort	"amount"
10	"amount of effort"	local:amount_of	"effort"
10	"influence"	vn.role:Cause	"amount of effort"
11	"invested"	vn.role:Theme	"effort"
11	"invested"	vn.role:Recipient	"activities"
12	"data points"	rdfs:subClassOf	"points"
12	"data"	rdfs:member	"data points"
12	"36 data points"	rdfs:subClassOf	"data points"
12	"collected"	vn.role:Theme	"36 data points"
12	"real-world"	rdfs:member	"real-world projects"
12	"real-world projects"	rdfs:subClassOf	"projects"
12	"collected"	vn.role:indirect_object	"real-world projects"
13	"present"	vn.role:Agent	"we"
13	"present"	local:AM-ADV	"further"
13	"model"	rdfs:member	"model validation"
13	"model validation"	rdfs:subClassOf	"validation"
13	"validation"	rdfs:member	"validation procedure"
13	"validation procedure"	rdfs:subClassOf	"procedure"
13	"model validation procedure"	rdfs:subClassOf	"procedure"
13	"model validation"	rdfs:member	"model validation procedure"
13	"model validation procedure"	rdfs:subClassOf	"validation procedure"
13	"results of model validation procedure"	local:of_modelvalidationprocedure	"results"
13	"results of model validation procedure"	local:results_of	"model validation procedure"
13	"present"	vn.role:Theme	"results of model validation procedure"
14	"model"	rdfs:member	"model validation"
14	"model validation"	rdfs:subClassOf	"validation"
14	"validation"	rdfs:member	"validation procedure"
14	"validation procedure"	rdfs:subClassOf	"procedure"
14	"model validation procedure"	rdfs:subClassOf	"procedure"
14	"model validation"	rdfs:member	"model validation procedure"
14	"model validation procedure"	rdfs:subClassOf	"validation procedure"
14	"covered"	vn.role:indirect_object	"model validation procedure"
14	"expert-driven"	rdfs:member	"expert-driven evaluation"
14	"expert-driven evaluation"	rdfs:subClassOf	"evaluation"
14	"covered"	vn.role:Theme2	"expert-driven evaluation"
14	"data points"	rdfs:subClassOf	"points"
14	"data"	rdfs:member	"data points"
14	"36 data points"	rdfs:subClassOf	"data points"
14	"covered"	vn.role:indirect_object	"36 data points"
15	"model"	rdfs:member	"model validation"
15	"model validation"	rdfs:subClassOf	"validation"
15	"validation"	rdfs:member	"validation procedure"
15	"validation procedure"	rdfs:subClassOf	"procedure"
15	"model validation procedure"	rdfs:subClassOf	"procedure"
15	"model validation"	rdfs:member	"model validation procedure"
15	"model validation procedure"	rdfs:subClassOf	"validation procedure"
15	"covered"	vn.role:indirect_object	"model validation procedure"
15	"data points"	rdfs:subClassOf	"points"
15	"statistical"	rdfs:member	"statistical calibration"
15	"statistical calibration"	rdfs:subClassOf	"calibration"
15	"data"	rdfs:member	"data points"
15	"36 data points"	rdfs:subClassOf	"data points"
15	"statistical calibration on 36 data points"	local:on_36datapoints	"statistical calibration"
15	"statistical calibration on 36 data points"	local:statisticalcalibration_on	"36 data points"
15	"covered"	vn.role:Theme2	"statistical calibration on 36 data points"
16	"revealed"	vn.role:Agent	"validation"
16	"ontology"	rdfs:member	"ontology engineering"
16	"ontology engineering"	rdfs:member	"ontology engineering processes"
16	"high learning"	rdfs:subClassOf	"learning"
16	"engineering"	rdfs:member	"engineering processes"
16	"learning"	rdfs:member	"learning rate"
16	"ontology engineering processes"	rdfs:subClassOf	"processes"
16	"learning rate"	rdfs:subClassOf	"rate"
16	"high learning"	rdfs:member	"high learning rate"
16	"ontology engineering"	rdfs:subClassOf	"engineering"
16	"high"	rdfs:member	"high learning"
16	"high learning rate"	rdfs:subClassOf	"rate"
16	"engineering processes"	rdfs:subClassOf	"processes"
16	"high learning rate"	rdfs:subClassOf	"learning rate"
16	"ontology engineering processes"	rdfs:subClassOf	"engineering processes"
16	"revealed"	vn.role:Theme	"have"
16	"ontology"	rdfs:member	"ontology engineering"
16	"ontology engineering"	rdfs:member	"ontology engineering processes"
16	"engineering"	rdfs:member	"engineering processes"
16	"ontology engineering processes"	rdfs:subClassOf	"processes"
16	"ontology engineering"	rdfs:subClassOf	"engineering"
16	"engineering processes"	rdfs:subClassOf	"processes"
16	"ontology engineering processes"	rdfs:subClassOf	"engineering processes"
16	"have"	vn.role:Experiencer	"ontology engineering processes"
16	"learning rate"	rdfs:subClassOf	"rate"
16	"high learning rate"	rdfs:subClassOf	"learning rate"
16	"have"	vn.role:Stimulus	"high learning rate"
17	"high learning"	rdfs:subClassOf	"learning"
17	"learning"	rdfs:member	"learning rate"
17	"high learning"	rdfs:member	"high learning rate"
17	"learning rate"	rdfs:subClassOf	"rate"
17	"high"	rdfs:member	"high learning"
17	"high learning rate"	rdfs:subClassOf	"rate"
17	"high learning rate"	rdfs:subClassOf	"learning rate"
17	"indicating"	vn.role:Recipient	"high learning rate"
17	"very large"	rdfs:subClassOf	"large"
17	"very"	rdfs:member	"very large"
17	"very large"	rdfs:member	"very large ontologies"
17	"large"	rdfs:member	"large ontologies"
17	"large ontologies"	rdfs:subClassOf	"ontologies"
17	"very large ontologies"	rdfs:subClassOf	"ontologies"
17	"building of large ontologies"	local:of_largeontologies	"building"
17	"building of large ontologies"	local:building_of	"large ontologies"
17	"indicating"	vn.role:Cause	"building of large ontologies"
18	"domain analysis"	rdfs:subClassOf	"analysis"
18	"domain"	rdfs:member	"domain analysis"
18	"complexity of domain analysis"	local:of_domainanalysis	"complexity"
18	"complexity of domain analysis"	local:complexity_of	"domain analysis"
18	"proved"	vn.role:Theme	"moreover"
18	"domain analysis"	rdfs:subClassOf	"analysis"
18	"domain"	rdfs:member	"domain analysis"
18	"complexity of domain analysis"	local:of_domainanalysis	"complexity"
18	"complexity of domain analysis"	local:complexity_of	"domain analysis"
18	"have"	vn.role:Experiencer	"moreover"
18	"final ontology"	rdfs:member	"final ontology engineering"
