7	"still accounting"	rdfs:subClassOf	"accounting"
7	"still accounting for used owl constructs"	local:for_usedowlconstructs	"still accounting"
7	"still accounting for used owl constructs"	local:stillaccounting_for	"used owl constructs"
7	"social interaction around distributed ontology editing"	local:around_distributedontologyediting	"social interaction"
7	"social interaction around distributed ontology editing"	local:socialinteraction_around	"distributed ontology editing"
7	"social interaction around distributed ontology editing as part"	local:as_part	"social interaction around distributed ontology editing"
7	"social interaction around distributed ontology editing as part"	local:socialinteractionarounddistributedontologyediting_as	"part"
7	"part of core tool design"	local:of_coretooldesign	"part"
7	"part of core tool design"	local:part_of	"core tool design"
7	"use"	local:AM-TMP	"still accounting for used owl constructs"
7	"accounting"	vn.role:Agent	"tool"
7	"accounting"	local:AM-TMP	"still"
7	"social"	rdfs:member	"social interaction"
7	"owl constructs"	rdfs:subClassOf	"constructs"
7	"social interaction"	rdfs:subClassOf	"interaction"
7	"owl"	rdfs:member	"owl constructs"
7	"used owl constructs"	rdfs:subClassOf	"owl constructs"
7	"commonly used"	rdfs:subClassOf	"used"
7	"accounting"	vn.role:Theme	"used owl constructs"
7	"used"	local:AM-MNR	"commonly"
7	"social"	rdfs:member	"social interaction"
7	"social interaction"	rdfs:subClassOf	"interaction"
7	"used"	vn.role:Theme	"constructs"
7	"used owl"	rdfs:subClassOf	"owl"
7	"commonly used"	rdfs:subClassOf	"used"
7	"still accounting"	rdfs:subClassOf	"accounting"
7	"still accounting for used owl"	local:for_usedowl	"still accounting"
7	"still accounting for used owl"	local:stillaccounting_for	"used owl"
7	"constructs;"	vn.role:subject	"still accounting for used owl"
7	"social"	rdfs:member	"social interaction"
7	"social interaction"	rdfs:subClassOf	"interaction"
7	"constructs;"	vn.role:object	"social interaction"
7	"ontology editing"	rdfs:subClassOf	"editing"
7	"distributed"	vn.role:Theme	"ontology editing"
7	"core tool"	rdfs:member	"core tool design"
7	"tool design"	rdfs:subClassOf	"design"
7	"core tool design"	rdfs:subClassOf	"design"
7	"core"	rdfs:member	"core tool"
7	"core tool"	rdfs:subClassOf	"tool"
7	"tool"	rdfs:member	"tool design"
7	"core tool design"	rdfs:subClassOf	"tool design"
7	"part of core tool design"	local:of_coretooldesign	"part"
7	"part of core tool design"	local:part_of	"core tool design"
7	"distributed"	local:AM-PNC	"part of core tool design"
8	"designed"	vn.role:Agent	"we"
8	"new version"	rdfs:subClassOf	"version"
8	"publicly available"	rdfs:subClassOf	"available"
8	"available"	rdfs:member	"available ontologies"
8	"publicly"	rdfs:member	"publicly available"
8	"publicly available"	rdfs:member	"publicly available ontologies"
8	"owl constructs"	rdfs:subClassOf	"constructs"
8	"owl"	rdfs:member	"owl constructs"
8	"large corpus"	rdfs:subClassOf	"corpus"
8	"new"	rdfs:member	"new version"
8	"publicly available ontologies"	rdfs:subClassOf	"ontologies"
8	"user interface"	rdfs:subClassOf	"interface"
8	"large"	rdfs:member	"large corpus"
8	"available ontologies"	rdfs:subClassOf	"ontologies"
8	"user"	rdfs:member	"user interface"
8	"empirically version"	rdfs:subClassOf	"version"
8	"webprotégé user interface"	rdfs:subClassOf	"user interface"
8	"new empirically version"	rdfs:subClassOf	"empirically version"
8	"new empirically version of webprotégé user interface"	local:of_webprotégéuserinterface	"new empirically version"
8	"new empirically version of webprotégé user interface"	local:newempiricallyversion_of	"webprotégé user interface"
8	"use of owl constructs"	local:of_owlconstructs	"use"
