00.3	"search engines"	rdfs:subClassOf	"engines"
00.3	"search"	rdfs:member	"search engines"
00.3	"number of search engines"	local:of_searchengines	"number"
00.3	"number of search engines"	local:number_of	"search engines"
00.3	"facilitate"	vn.role:Agent	"number of search engines"
00.3	"potentially relevant"	rdfs:subClassOf	"relevant"
00.3	"relevant ontologies"	rdfs:subClassOf	"ontologies"
00.3	"potentially"	rdfs:member	"potentially relevant"
00.3	"potentially relevant ontologies"	rdfs:subClassOf	"ontologies"
00.3	"potentially relevant"	rdfs:member	"potentially relevant ontologies"
00.3	"relevant"	rdfs:member	"relevant ontologies"
00.3	"facilitate"	vn.role:Beneficiary	"locating"
00.3	"search engines"	rdfs:subClassOf	"engines"
00.3	"search"	rdfs:member	"search engines"
00.3	"number of search engines"	local:of_searchengines	"number"
00.3	"number of search engines"	local:number_of	"search engines"
00.3	"locating"	vn.role:Agent	"number of search engines"
00.3	"potentially relevant"	rdfs:subClassOf	"relevant"
00.3	"relevant ontologies"	rdfs:subClassOf	"ontologies"
00.3	"potentially"	rdfs:member	"potentially relevant"
00.3	"potentially relevant ontologies"	rdfs:subClassOf	"ontologies"
00.3	"potentially relevant"	rdfs:member	"potentially relevant ontologies"
00.3	"relevant"	rdfs:member	"relevant ontologies"
00.3	"locating"	vn.role:Theme	"relevant ontologies"
00.4	"ontology"	rdfs:member	"ontology libraries"
00.4	"ontology libraries"	rdfs:subClassOf	"libraries"
00.4	"number of ontology libraries"	local:of_ontologylibraries	"number"
00.4	"number of ontology libraries"	local:number_of	"ontology libraries"
00.4	"coming"	vn.role:Location	"number of ontology libraries"
00.4	"coming"	vn.role:other	"existence"
00.4	"potentially relevant"	rdfs:subClassOf	"relevant"
00.4	"relevant ontologies"	rdfs:subClassOf	"ontologies"
00.4	"potentially"	rdfs:member	"potentially relevant"
00.4	"potentially relevant ontologies"	rdfs:subClassOf	"ontologies"
00.4	"potentially relevant"	rdfs:member	"potentially relevant ontologies"
00.4	"relevant"	rdfs:member	"relevant ontologies"
00.4	"coming"	local:AM-PNC	"facilitate"
00.4	"ontology"	rdfs:member	"ontology libraries"
00.4	"ontology libraries"	rdfs:subClassOf	"libraries"
00.4	"number of ontology libraries"	local:of_ontologylibraries	"number"
00.4	"number of ontology libraries"	local:number_of	"ontology libraries"
00.4	"facilitate"	vn.role:Agent	"number of ontology libraries"
00.4	"potentially relevant"	rdfs:subClassOf	"relevant"
00.4	"relevant ontologies"	rdfs:subClassOf	"ontologies"
00.4	"potentially"	rdfs:member	"potentially relevant"
00.4	"potentially relevant ontologies"	rdfs:subClassOf	"ontologies"
00.4	"potentially relevant"	rdfs:member	"potentially relevant ontologies"
00.4	"relevant"	rdfs:member	"relevant ontologies"
00.4	"facilitate"	vn.role:Beneficiary	"retrieving"
00.4	"ontology"	rdfs:member	"ontology libraries"
00.4	"ontology libraries"	rdfs:subClassOf	"libraries"
00.4	"number of ontology libraries"	local:of_ontologylibraries	"number"
00.4	"number of ontology libraries"	local:number_of	"ontology libraries"
00.4	"retrieving"	vn.role:Agent	"number of ontology libraries"
00.4	"potentially relevant"	rdfs:subClassOf	"relevant"
