7	"separately patterns"	rdfs:subClassOf	"patterns"
7	"expresses"	local:AM-MNR	"separately patterns"
8	"separately"	rdfs:member	"separately patterns"
8	"separately patterns"	rdfs:subClassOf	"patterns"
8	"describe"	local:AM-MNR	"separately patterns"
8	"web navigation"	rdfs:member	"web navigation paths"
8	"web"	rdfs:member	"web navigation"
8	"navigation paths"	rdfs:subClassOf	"paths"
8	"web navigation"	rdfs:subClassOf	"navigation"
8	"navigation"	rdfs:member	"navigation paths"
8	"web navigation paths"	rdfs:subClassOf	"paths"
8	"web navigation paths"	rdfs:subClassOf	"navigation paths"
8	"describe"	vn.role:Theme	"web navigation paths"
9	"study"	vn.role:Agent	"we"
9	"expressiveness of language"	local:of_language	"expressiveness"
9	"expressiveness of language"	local:expressiveness_of	"language"
9	"study"	vn.role:Theme	"expressiveness of language"
10	"present"	vn.role:Agent	"we"
10	"formal"	rdfs:member	"formal syntax"
10	"formal syntax"	rdfs:subClassOf	"syntax"
10	"present"	vn.role:Theme	"formal syntax"
10	"prove"	vn.role:Agent	"we"
10	"formal"	rdfs:member	"formal syntax"
10	"formal syntax"	rdfs:subClassOf	"syntax"
10	"prove"	vn.role:Agent	"formal syntax"
10	"equivalence rules"	rdfs:subClassOf	"rules"
10	"equivalence"	rdfs:member	"equivalence rules"
10	"prove"	vn.role:Theme	"equivalence rules"
11	"query"	rdfs:member	"query formalisms"
11	"query formalisms"	rdfs:subClassOf	"formalisms"
11	"proposed"	vn.role:Topic	"query formalisms"
11	"proposed"	local:AM-TMP	"previously"
11	"linked data"	rdfs:subClassOf	"data"
11	"proposed"	local:AM-PNC	"linked data"
11	"proposed"	local:AM-LOC	"web"
12	"show"	local:AM-LOC	"particular"
12	"show"	vn.role:Agent	"we"
12	"query"	rdfs:member	"query formalisms"
12	"query formalisms"	rdfs:subClassOf	"formalisms"
12	"more expressive"	rdfs:subClassOf	"expressive"
12	"strictly more expressive"	rdfs:subClassOf	"more expressive"
12	"strictly more expressive than query formalisms"	local:than_queryformalisms	"strictly more expressive"
12	"strictly more expressive than query formalisms"	local:strictlymoreexpressive_than	"query formalisms"
12	"show"	vn.role:Theme	"strictly more expressive than query formalisms"
13	"high"	rdfs:member	"high expressiveness"
13	"high expressiveness"	rdfs:subClassOf	"expressiveness"
13	"allows"	vn.role:Agent	"high expressiveness"
13	"allows"	vn.role:Theme	"ldql"
13	"define"	vn.role:Agent	"ldql"
13	"define"	vn.role:Theme	"queries"
15	"provide"	vn.role:Recipient	"we"
15	"provide"	local:AM-MNR	"formally"
15	"sufficient"	rdfs:member	"sufficient condition"
15	"problem"	rdfs:member	"problem queries"
15	"syntactic sufficient"	rdfs:subClassOf	"sufficient"
15	"syntactic"	rdfs:member	"syntactic sufficient"
15	"problem queries"	rdfs:subClassOf	"queries"
15	"syntactic sufficient condition"	rdfs:subClassOf	"condition"
15	"sufficient condition"	rdfs:subClassOf	"condition"
15	"syntactic sufficient"	rdfs:member	"syntactic sufficient condition"
15	"linked data"	rdfs:subClassOf	"data"
15	"effectively evaluated"	rdfs:subClassOf	"evaluated"
15	"syntactic sufficient condition"	rdfs:subClassOf	"sufficient condition"
15	"effectively evaluated over web"	local:over_web	"effectively evaluated"
15	"effectively evaluated over web"	local:effectivelyevaluated_over	"web"
15	"web of linked data"	local:of_linkeddata	"web"
15	"web of linked data"	local:web_of	"linked data"
15	"provide"	vn.role:Agent	"syntactic sufficient condition"
15	"avoid"	vn.role:Agent	"we"
15	"problem queries"	rdfs:subClassOf	"queries"
15	"problem"	rdfs:member	"problem queries"
15	"avoid"	vn.role:Location	"problem queries"
15	"sufficient"	rdfs:member	"sufficient condition"
15	"problem"	rdfs:member	"problem queries"
15	"syntactic sufficient"	rdfs:subClassOf	"sufficient"
15	"syntactic"	rdfs:member	"syntactic sufficient"
15	"problem queries"	rdfs:subClassOf	"queries"
15	"syntactic sufficient condition"	rdfs:subClassOf	"condition"
15	"sufficient condition"	rdfs:subClassOf	"condition"
15	"syntactic sufficient"	rdfs:member	"syntactic sufficient condition"
15	"syntactic sufficient condition"	rdfs:subClassOf	"sufficient condition"
15	"ensured"	vn.role:Theme	"syntactic sufficient condition"
15	"linked data"	rdfs:subClassOf	"data"
