3	"seemingly innocuous"	rdfs:subClassOf	"innocuous"
3	"seemingly innocuous"	rdfs:member	"seemingly innocuous changes"
3	"owl"	rdfs:member	"owl ontology"
3	"innocuous changes"	rdfs:subClassOf	"changes"
3	"seemingly"	rdfs:member	"seemingly innocuous"
3	"owl ontology"	rdfs:subClassOf	"ontology"
3	"innocuous"	rdfs:member	"innocuous changes"
3	"innocuous changes to owl ontology"	local:to_owlontology	"innocuous changes"
3	"innocuous changes to owl ontology"	local:innocuouschanges_to	"owl ontology"
3	"wait"	vn.role:Location	"innocuous changes to owl ontology"
3	"wait"	vn.role:indirect_object	"for"
4	"switching"	vn.role:Agent	"similarly"
4	"switching"	vn.role:Patient	"e.g."
4	"specific features"	rdfs:subClassOf	"features"
4	"specific"	rdfs:member	"specific features"
4	"take of specific features"	local:of_specificfeatures	"take"
4	"take of specific features"	local:take_of	"specific features"
4	"switching"	vn.role:Source	"take of specific features"
4	"take"	vn.role:Agent	"similarly"
4	"take"	vn.role:Theme	"advantage"
4	"specific features"	rdfs:subClassOf	"features"
4	"specific"	rdfs:member	"specific features"
4	"take"	vn.role:Source	"specific features"
4	"specific features"	rdfs:subClassOf	"features"
4	"specific"	rdfs:member	"specific features"
4	"e.g. switching"	rdfs:subClassOf	"switching"
4	"similarly take"	rdfs:subClassOf	"take"
4	"advantage of specific features"	local:of_specificfeatures	"advantage"
4	"advantage of specific features"	local:advantage_of	"specific features"
4	"result"	vn.role:Location	"similarly take"
4	"result"	local:AM-MOD	"can"
4	"different classification"	rdfs:subClassOf	"classification"
4	"different"	rdfs:member	"different classification"
4	"classification times"	rdfs:subClassOf	"times"
4	"wildly different classification times"	rdfs:subClassOf	"times"
4	"wildly different"	rdfs:subClassOf	"different"
4	"different classification"	rdfs:member	"different classification times"
4	"wildly different classification"	rdfs:member	"wildly different classification times"
4	"classification"	rdfs:member	"classification times"
4	"wildly different classification"	rdfs:subClassOf	"classification"
4	"different classification times"	rdfs:subClassOf	"times"
4	"wildly"	rdfs:member	"wildly different"
4	"wildly different"	rdfs:member	"wildly different classification"
4	"different classification times"	rdfs:subClassOf	"classification times"
4	"result"	vn.role:indirect_object	"different classification times"
5	"switching"	vn.role:Agent	"reasoners"
5	"result"	vn.role:indirect_object	"similarly"
5	"result"	local:AM-MOD	"can"
5	"different classification"	rdfs:subClassOf	"classification"
5	"different"	rdfs:member	"different classification"
5	"classification times"	rdfs:subClassOf	"times"
5	"wildly different classification times"	rdfs:subClassOf	"times"
5	"wildly different"	rdfs:subClassOf	"different"
5	"different classification"	rdfs:member	"different classification times"
5	"wildly different classification"	rdfs:member	"wildly different classification times"
5	"classification"	rdfs:member	"classification times"
5	"wildly different classification"	rdfs:subClassOf	"classification"
5	"different classification times"	rdfs:subClassOf	"times"
5	"wildly"	rdfs:member	"wildly different"
5	"wildly different"	rdfs:member	"wildly different classification"
5	"different classification times"	rdfs:subClassOf	"classification times"
5	"result"	vn.role:indirect_object	"different classification times"
6	"subsets of ontology"	local:of_ontology	"subsets"
6	"subsets of ontology"	local:subsets_of	"ontology"
6	"identify"	vn.role:Theme	"subsets of ontology"
7	"investigate"	local:AM-LOC	"paper"
7	"investigate"	vn.role:Agent	"we"
7	"performance"	rdfs:member	"performance variability"
7	"performance variability phenomena"	rdfs:subClassOf	"phenomena"
7	"owl ontologies"	rdfs:subClassOf	"ontologies"
7	"variability phenomena"	rdfs:subClassOf	"phenomena"
7	"owl"	rdfs:member	"owl ontologies"
7	"performance variability"	rdfs:subClassOf	"variability"
7	"variability"	rdfs:member	"variability phenomena"
7	"performance variability"	rdfs:member	"performance variability phenomena"
7	"performance variability phenomena"	rdfs:subClassOf	"variability phenomena"
7	"performance variability phenomena in owl ontologies"	local:in_owlontologies	"performance variability phenomena"
7	"performance variability phenomena in owl ontologies"	local:performancevariabilityphenomena_in	"owl ontologies"
7	"investigate"	vn.role:Location	"performance variability phenomena in owl ontologies"
8	"performance-degrading"	vn.role:object	"ontology"
8	"performance-degrading"	vn.role:indirect_object	"reasoner"
8	"given"	vn.role:object	"reasoner"
9	"ideally small"	rdfs:subClassOf	"small"
