9	"overall design of we"	local:overalldesign_of	"we"
9	"choreography"	vn.role:Agent	"overall design of we"
9	"based on irs-iii"	local:on_irs-iii	"based"
9	"based on irs-iii"	local:based_on	"irs-iii"
9	"choreography"	vn.role:Theme	"based on irs-iii"
9	"overall"	rdfs:member	"overall design"
9	"overall design"	rdfs:subClassOf	"design"
9	"choreography framework"	rdfs:subClassOf	"framework"
9	"overall design of choreography framework"	local:of_choreographyframework	"overall design"
9	"overall design of choreography framework"	local:overalldesign_of	"choreography framework"
9	"based"	vn.role:indirect_object	"overall design of choreography framework"
9	"based"	vn.role:indirect_object	"irs-iii"
10	"choreography"	vn.role:Agent	"we"
10	"choreography"	vn.role:Theme	"based"
10	"overall"	rdfs:member	"overall design"
10	"overall design"	rdfs:subClassOf	"design"
10	"choreography framework"	rdfs:subClassOf	"framework"
10	"overall design of choreography framework"	local:of_choreographyframework	"overall design"
10	"overall design of choreography framework"	local:overalldesign_of	"choreography framework"
10	"based"	vn.role:Cause	"overall design of choreography framework"
10	"based"	vn.role:indirect_object	"has"
10	"has"	vn.role:Experiencer	"actor"
10	"has"	vn.role:Stimulus	"ability"
10	"suspend"	vn.role:Agent	"actor"
10	"suspend"	vn.role:Theme	"communication"
11	"overall"	rdfs:member	"overall design"
11	"overall design"	rdfs:subClassOf	"design"
11	"overall design of we"	local:of_we	"overall design"
11	"overall design of we"	local:overalldesign_of	"we"
11	"choreography"	vn.role:Agent	"overall design of we"
11	"based on use"	local:on_use	"based"
11	"based on use"	local:based_on	"use"
11	"use of state"	local:of_state	"use"
11	"use of state"	local:use_of	"state"
11	"choreography"	vn.role:Theme	"based on use"
11	"overall"	rdfs:member	"overall design"
11	"overall design"	rdfs:subClassOf	"design"
11	"choreography framework"	rdfs:subClassOf	"framework"
11	"overall design of choreography framework"	local:of_choreographyframework	"overall design"
11	"overall design of choreography framework"	local:overalldesign_of	"choreography framework"
11	"based"	vn.role:Cause	"overall design of choreography framework"
11	"based"	vn.role:Cause	"on"
11	"use of state"	local:of_state	"use"
11	"use of state"	local:use_of	"state"
11	"based"	vn.role:indirect_object	"use of state"
13	"choreography"	vn.role:Agent	"we"
13	"formal semantics"	rdfs:subClassOf	"semantics"
13	"formal"	rdfs:member	"formal semantics"
